symbol,target_coverage_pct,common_coverage_pct,target_expected_hours,target_actual_hours,common_expected_hours,common_actual_hours,gaps_gt_2h,gaps_gt_6h,gaps_gt_24h,duplicate_count,malformed_ohlc_count,stale_bar_count,raw_sha256,normalized_sha256
EURUSD,65.84,99.98,25969,17097,17101,17097,80,79,78,0,0,0,630b8a4052fe962bc7d87c6d49d83bc1524c7ddd83cd15e902fe504c998d3f77,daf562f0418a4d2b7513fd86ef3156377438495f5e81bb801ea8408db5d250de
GBPUSD,84.8,99.97,25969,22021,17101,17096,177,176,0,0,0,0,7e20180add1607d6d74b31b5c89c36c6977a806b74deabd687cbdae51cf19c30,7c3d7965608ef8d9d511bf7b438245edfa7dc2db59cabf86de30eb328b16162d
USDJPY,84.8,99.97,25969,22021,17101,17096,177,176,0,0,0,2,ee081796cb1b48e005e66c0c5bf548e825138b2a36fcc9c04fc2417b1bd3da31,3f23961233d34e83048a3b2a607b475dc2e1f97a8d34ebf173021f8de8bbcd1e
USDCHF,65.83,99.97,25969,17096,17101,17096,80,79,78,0,0,0,8af6de6bedf58794d5182c52f85507091cafbb9ced067443740775bc47dbf09a,7273a11d2fa59c5b1d487457c90222d40dc420dd3754effae937234148e1e12a
EURGBP,82.63,98.68,25969,21458,17101,16876,194,187,10,0,0,2,faada0ad6dded338970d734d3f5d3b1d4e245cbdd697f4f9f45e6a529fce286f,83935c83270cf40286b3b8bb77a570ef5e1668cf73db960ceca6283c7c5057b8
EURJPY,82.63,98.68,25969,21458,17101,16876,194,187,10,0,0,0,f678494d51a75b6facf1e9921fa408488a6828cbd7061248f7b6ebad31e8400f,5299a3bc8aa13c1db590df3e245ec43fb536ee241ce998d96d945ebe3745989f
GBPJPY,84.8,99.97,25969,22021,17101,17096,177,176,0,0,0,0,5d5c7cfee4f50ec6f18e0dd4df64fba8c042ef84de96ab8a2c1c9e38a841f9c6,1569088290dccb66979ed1cda72442670fcc7ee2c96263902339168a612e682a
CHFJPY,84.8,99.97,25969,22021,17101,17096,177,176,0,0,0,0,ff5203fde90b9a7bd0c7e80e6247a879933d6d4fa213705e467dcd81281db376,1a486409895a2bae24c028ae1ee503903d7d0d3be219acc4c70dc9b0634eca64
EURCHF,83.6,98.68,25969,21710,17101,16876,182,176,10,0,0,0,6b85db409665e82b576fc4736e2ceaf49f5d0bfbc279ce64d036abf1d1572a0b,023f6c4b0eec11152076519cf8725834a775342d6b28fda75ac58c16808dbd0c
GBPCHF,84.8,99.97,25969,22021,17101,17096,177,176,0,0,0,0,43f2679d47d3064f8f08bde04cfb9da85baa3adbb775b388884a0985cdbd26e4,a06dc3c63ac5776b083809c4e564243e41002fb25f30b0df8a971d3cff5e048a
