symbol,gap_start,gap_end,gap_hours,classification
EURUSD,2023-12-25 11:00:00+00:00,2023-12-25 19:00:00+00:00,9,small_gap
EURUSD,2024-01-01 00:00:00+00:00,2024-01-01 18:00:00+00:00,19,small_gap
EURUSD,2024-09-10 07:00:00+00:00,2024-09-10 10:00:00+00:00,4,small_gap
EURUSD,2024-12-25 00:00:00+00:00,2024-12-25 23:00:00+00:00,24,small_gap
EURUSD,2025-01-01 00:00:00+00:00,2025-01-01 23:00:00+00:00,24,small_gap
EURUSD,2025-12-25 00:00:00+00:00,2025-12-25 23:00:00+00:00,24,small_gap
EURUSD,2026-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,24,small_gap
GBPUSD,2024-01-01 00:00:00+00:00,2024-01-01 17:00:00+00:00,18,small_gap
GBPUSD,2024-09-10 07:00:00+00:00,2024-09-10 10:00:00+00:00,4,small_gap
GBPUSD,2024-12-25 00:00:00+00:00,2024-12-25 23:00:00+00:00,24,small_gap
GBPUSD,2025-01-01 00:00:00+00:00,2025-01-01 23:00:00+00:00,24,small_gap
GBPUSD,2025-04-28 18:00:00+00:00,2025-04-28 18:00:00+00:00,1,minor_gap
GBPUSD,2025-12-25 00:00:00+00:00,2025-12-25 23:00:00+00:00,24,small_gap
GBPUSD,2026-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,24,small_gap
USDJPY,2024-01-01 00:00:00+00:00,2024-01-01 18:00:00+00:00,19,small_gap
USDJPY,2024-09-10 07:00:00+00:00,2024-09-10 10:00:00+00:00,4,small_gap
USDJPY,2024-12-25 00:00:00+00:00,2024-12-25 23:00:00+00:00,24,small_gap
USDJPY,2025-01-01 00:00:00+00:00,2025-01-01 23:00:00+00:00,24,small_gap
USDJPY,2025-04-28 18:00:00+00:00,2025-04-28 18:00:00+00:00,1,minor_gap
USDJPY,2025-12-25 00:00:00+00:00,2025-12-25 23:00:00+00:00,24,small_gap
USDJPY,2026-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,24,small_gap
USDCHF,2024-01-01 00:00:00+00:00,2024-01-01 18:00:00+00:00,19,small_gap
USDCHF,2024-09-10 07:00:00+00:00,2024-09-10 10:00:00+00:00,4,small_gap
USDCHF,2024-12-25 00:00:00+00:00,2024-12-25 23:00:00+00:00,24,small_gap
USDCHF,2025-01-01 00:00:00+00:00,2025-01-01 23:00:00+00:00,24,small_gap
USDCHF,2025-04-28 18:00:00+00:00,2025-04-28 18:00:00+00:00,1,minor_gap
USDCHF,2025-12-25 00:00:00+00:00,2025-12-25 23:00:00+00:00,24,small_gap
USDCHF,2026-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,24,small_gap
EURGBP,2023-11-10 19:00:00+00:00,2023-11-10 19:00:00+00:00,1,minor_gap
EURGBP,2023-11-17 19:00:00+00:00,2023-11-17 19:00:00+00:00,1,minor_gap
EURGBP,2023-11-24 19:00:00+00:00,2023-11-24 19:00:00+00:00,1,minor_gap
EURGBP,2023-12-01 19:00:00+00:00,2023-12-01 19:00:00+00:00,1,minor_gap
EURGBP,2023-12-08 19:00:00+00:00,2023-12-08 19:00:00+00:00,1,minor_gap
EURGBP,2023-12-15 19:00:00+00:00,2023-12-15 19:00:00+00:00,1,minor_gap
EURGBP,2023-12-22 19:00:00+00:00,2023-12-22 19:00:00+00:00,1,minor_gap
EURGBP,2023-12-29 19:00:00+00:00,2023-12-29 19:00:00+00:00,1,minor_gap
EURGBP,2024-01-01 00:00:00+00:00,2024-01-01 14:00:00+00:00,15,small_gap
EURGBP,2024-01-05 19:00:00+00:00,2024-01-05 19:00:00+00:00,1,minor_gap
EURGBP,2024-01-12 19:00:00+00:00,2024-01-12 19:00:00+00:00,1,minor_gap
EURGBP,2024-01-19 19:00:00+00:00,2024-01-19 19:00:00+00:00,1,minor_gap
EURGBP,2024-01-26 19:00:00+00:00,2024-01-26 19:00:00+00:00,1,minor_gap
EURGBP,2024-02-02 19:00:00+00:00,2024-02-02 19:00:00+00:00,1,minor_gap
EURGBP,2024-02-09 19:00:00+00:00,2024-02-09 19:00:00+00:00,1,minor_gap
EURGBP,2024-02-16 19:00:00+00:00,2024-02-16 19:00:00+00:00,1,minor_gap
EURGBP,2024-02-23 19:00:00+00:00,2024-02-23 19:00:00+00:00,1,minor_gap
EURGBP,2024-03-01 19:00:00+00:00,2024-03-01 19:00:00+00:00,1,minor_gap
EURGBP,2024-03-08 19:00:00+00:00,2024-03-08 19:00:00+00:00,1,minor_gap
EURGBP,2024-09-10 03:00:00+00:00,2024-09-10 06:00:00+00:00,4,small_gap
EURGBP,2024-11-08 19:00:00+00:00,2024-11-08 19:00:00+00:00,1,minor_gap
EURGBP,2024-11-15 19:00:00+00:00,2024-11-15 19:00:00+00:00,1,minor_gap
EURGBP,2024-11-22 19:00:00+00:00,2024-11-22 19:00:00+00:00,1,minor_gap
EURGBP,2024-11-29 19:00:00+00:00,2024-11-29 19:00:00+00:00,1,minor_gap
EURGBP,2024-12-06 19:00:00+00:00,2024-12-06 19:00:00+00:00,1,minor_gap
EURGBP,2024-12-13 19:00:00+00:00,2024-12-13 19:00:00+00:00,1,minor_gap
EURGBP,2024-12-20 19:00:00+00:00,2024-12-20 19:00:00+00:00,1,minor_gap
EURGBP,2024-12-24 19:00:00+00:00,2024-12-25 18:00:00+00:00,24,small_gap
EURGBP,2024-12-27 19:00:00+00:00,2024-12-27 19:00:00+00:00,1,minor_gap
EURGBP,2024-12-31 19:00:00+00:00,2025-01-01 18:00:00+00:00,24,small_gap
EURGBP,2025-01-03 19:00:00+00:00,2025-01-03 19:00:00+00:00,1,minor_gap
EURGBP,2025-01-10 19:00:00+00:00,2025-01-10 19:00:00+00:00,1,minor_gap
EURGBP,2025-01-17 19:00:00+00:00,2025-01-17 19:00:00+00:00,1,minor_gap
EURGBP,2025-01-24 19:00:00+00:00,2025-01-24 19:00:00+00:00,1,minor_gap
EURGBP,2025-01-31 19:00:00+00:00,2025-01-31 19:00:00+00:00,1,minor_gap
EURGBP,2025-02-07 19:00:00+00:00,2025-02-07 19:00:00+00:00,1,minor_gap
EURGBP,2025-02-14 19:00:00+00:00,2025-02-14 19:00:00+00:00,1,minor_gap
EURGBP,2025-02-21 19:00:00+00:00,2025-02-21 19:00:00+00:00,1,minor_gap
EURGBP,2025-02-28 19:00:00+00:00,2025-02-28 19:00:00+00:00,1,minor_gap
EURGBP,2025-03-07 19:00:00+00:00,2025-03-07 19:00:00+00:00,1,minor_gap
EURGBP,2025-04-28 14:00:00+00:00,2025-04-28 14:00:00+00:00,1,minor_gap
EURGBP,2025-11-07 19:00:00+00:00,2025-11-07 19:00:00+00:00,1,minor_gap
EURGBP,2025-11-14 19:00:00+00:00,2025-11-14 19:00:00+00:00,1,minor_gap
EURGBP,2025-11-21 19:00:00+00:00,2025-11-21 19:00:00+00:00,1,minor_gap
EURGBP,2025-11-28 19:00:00+00:00,2025-11-28 19:00:00+00:00,1,minor_gap
EURGBP,2025-12-05 19:00:00+00:00,2025-12-05 19:00:00+00:00,1,minor_gap
EURGBP,2025-12-12 19:00:00+00:00,2025-12-12 19:00:00+00:00,1,minor_gap
EURGBP,2025-12-19 19:00:00+00:00,2025-12-19 19:00:00+00:00,1,minor_gap
EURGBP,2025-12-24 19:00:00+00:00,2025-12-25 18:00:00+00:00,24,small_gap
EURGBP,2025-12-26 19:00:00+00:00,2025-12-26 19:00:00+00:00,1,minor_gap
EURGBP,2025-12-31 19:00:00+00:00,2026-01-01 18:00:00+00:00,24,small_gap
