pair,n,r2,rmse,mae,corr,resid_mean,resid_std,resid_p95_abs,resid_p99_abs
EURUSD,17272,0.697355,0.00050483,0.00035659,0.849721,3e-08,0.00050485,0.00100647,0.00168443
GBPUSD,17272,0.96628,0.00017195,0.00012276,0.983079,1e-08,0.00017196,0.00035198,0.00056922
USDJPY,17272,0.932293,0.00032195,0.00022092,0.967233,-2e-08,0.00032196,0.00062545,0.00106303
USDCHF,17272,0.94091,0.00025417,0.00017002,0.970851,6e-08,0.00025418,0.00052262,0.00094911
EURGBP,17272,-0.042935,0.00061364,0.00043293,0.494007,6e-08,0.00061366,0.00123524,0.00205361
EURJPY,17272,0.403863,0.00086696,0.00059396,0.645198,-2e-08,0.00086698,0.0016833,0.00284573
GBPJPY,17272,0.91903,0.00033865,0.00023469,0.966931,-1e-08,0.00033866,0.00066726,0.00109907
CHFJPY,17272,0.874313,0.00037446,0.0002505,0.947033,5e-08,0.00037447,0.00076505,0.00137107
EURCHF,17272,0.400539,0.00055975,0.00039623,0.662068,-8e-08,0.00055976,0.00109464,0.00185556
GBPCHF,17272,0.901738,0.00028767,0.00019992,0.963623,7e-08,0.00028767,0.00059819,0.0009844
