origin_currency,direction,severity,session,horizon_h,destination,n_events,count,prob,ci_low,ci_high,se,group_by,regime_dispersion,regime_vol,network_state
CHF,ACCUMULATION,LOW,Asia,1,EUR,41,41,0.0975609756097561,0.024390243902439025,0.1951219512195122,0.04223788788117652,severity_session,,,
CHF,ACCUMULATION,LOW,Asia,1,GBP,41,41,0.24390243902439024,0.14634146341463414,0.3902439024390244,0.06198707600593924,severity_session,,,
CHF,ACCUMULATION,LOW,Asia,1,USD,41,41,0.1951219512195122,0.09695121951219514,0.3170731707317073,0.0597216321186824,severity_session,,,
CHF,ACCUMULATION,LOW,Asia,1,CHF,41,41,0.21951219512195122,0.07317073170731707,0.34146341463414637,0.0686897522973741,severity_session,,,
CHF,ACCUMULATION,LOW,Asia,1,JPY,41,41,0.24390243902439024,0.12134146341463416,0.3902439024390244,0.07275271780886891,severity_session,,,
CHF,ACCUMULATION,LOW,London,1,EUR,140,140,0.17142857142857143,0.11428571428571428,0.22857142857142856,0.030915487335543234,severity_session,,,
CHF,ACCUMULATION,LOW,London,1,GBP,140,140,0.24285714285714285,0.18571428571428572,0.32875000000000004,0.03626946448382145,severity_session,,,
CHF,ACCUMULATION,LOW,London,1,USD,140,140,0.21428571428571427,0.15714285714285714,0.2785714285714286,0.0317460955570867,severity_session,,,
CHF,ACCUMULATION,LOW,London,1,CHF,140,140,0.15714285714285714,0.1,0.22142857142857142,0.031368780003971225,severity_session,,,
CHF,ACCUMULATION,LOW,London,1,JPY,140,140,0.21428571428571427,0.14285714285714285,0.2785714285714286,0.03650086783182927,severity_session,,,
CHF,ACCUMULATION,LOW,NY_Late,1,EUR,100,100,0.09,0.04,0.15,0.02865476360724225,severity_session,,,
CHF,ACCUMULATION,LOW,NY_Late,1,GBP,100,100,0.2,0.13,0.29025000000000006,0.04256251683342962,severity_session,,,
CHF,ACCUMULATION,LOW,NY_Late,1,USD,100,100,0.32,0.23975,0.43,0.05090416160140257,severity_session,,,
CHF,ACCUMULATION,LOW,NY_Late,1,CHF,100,100,0.16,0.09,0.23,0.03922618344086872,severity_session,,,
CHF,ACCUMULATION,LOW,NY_Late,1,JPY,100,100,0.22,0.14975,0.3202500000000001,0.04109065844027419,severity_session,,,
CHF,ACCUMULATION,LOW,NY_Overlap,1,EUR,102,102,0.049019607843137254,0.00980392156862745,0.09803921568627451,0.02191364075403032,severity_session,,,
CHF,ACCUMULATION,LOW,NY_Overlap,1,GBP,102,102,0.2647058823529412,0.18627450980392157,0.3431372549019608,0.04284154143720498,severity_session,,,
CHF,ACCUMULATION,LOW,NY_Overlap,1,USD,102,102,0.22549019607843138,0.1568627450980392,0.3235294117647059,0.041639518086535016,severity_session,,,
CHF,ACCUMULATION,LOW,NY_Overlap,1,CHF,102,102,0.20588235294117646,0.12745098039215685,0.27450980392156865,0.03860617949403649,severity_session,,,
CHF,ACCUMULATION,LOW,NY_Overlap,1,JPY,102,102,0.2549019607843137,0.16666666666666666,0.3431372549019608,0.04273667680219119,severity_session,,,
CHF,ACCUMULATION,MEDIUM,Asia,1,EUR,14,14,0.07142857142857142,0.0,0.21428571428571427,0.0685333930764232,severity_session,,,
CHF,ACCUMULATION,MEDIUM,Asia,1,GBP,14,14,0.21428571428571427,0.0,0.42857142857142855,0.11193746880911892,severity_session,,,
CHF,ACCUMULATION,MEDIUM,Asia,1,USD,14,14,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.13862910560236172,severity_session,,,
CHF,ACCUMULATION,MEDIUM,Asia,1,CHF,14,14,0.14285714285714285,0.0,0.35714285714285715,0.09362841652777927,severity_session,,,
CHF,ACCUMULATION,MEDIUM,Asia,1,JPY,14,14,0.14285714285714285,0.0,0.35714285714285715,0.09136031977803956,severity_session,,,
CHF,ACCUMULATION,MEDIUM,London,1,EUR,30,30,0.16666666666666666,0.06666666666666667,0.3,0.06382905702248527,severity_session,,,
CHF,ACCUMULATION,MEDIUM,London,1,GBP,30,30,0.16666666666666666,0.06666666666666667,0.3008333333333335,0.0723766977439982,severity_session,,,
CHF,ACCUMULATION,MEDIUM,London,1,USD,30,30,0.16666666666666666,0.06666666666666667,0.3008333333333335,0.06958258733388813,severity_session,,,
CHF,ACCUMULATION,MEDIUM,London,1,CHF,30,30,0.26666666666666666,0.1,0.4,0.08415441392148064,severity_session,,,
CHF,ACCUMULATION,MEDIUM,London,1,JPY,30,30,0.23333333333333334,0.1,0.40083333333333354,0.07906418033438803,severity_session,,,
CHF,ACCUMULATION,MEDIUM,NY_Late,1,EUR,14,14,0.07142857142857142,0.0,0.21428571428571427,0.07026967261592862,severity_session,,,
CHF,ACCUMULATION,MEDIUM,NY_Late,1,GBP,14,14,0.42857142857142855,0.21250000000000002,0.7142857142857143,0.13251074108510139,severity_session,,,
CHF,ACCUMULATION,MEDIUM,NY_Late,1,USD,14,14,0.5,0.21428571428571427,0.7142857142857143,0.1332963661877071,severity_session,,,
CHF,ACCUMULATION,MEDIUM,NY_Late,1,CHF,14,14,0.0,0.0,0.0,0.0,severity_session,,,
CHF,ACCUMULATION,MEDIUM,NY_Late,1,JPY,14,14,0.0,0.0,0.0,0.0,severity_session,,,
CHF,ACCUMULATION,MEDIUM,NY_Overlap,1,EUR,25,25,0.08,0.0,0.2,0.053856686804591304,severity_session,,,
CHF,ACCUMULATION,MEDIUM,NY_Overlap,1,GBP,25,25,0.16,0.04,0.28100000000000025,0.07150809069731816,severity_session,,,
CHF,ACCUMULATION,MEDIUM,NY_Overlap,1,USD,25,25,0.28,0.12,0.4410000000000002,0.09013022404516789,severity_session,,,
CHF,ACCUMULATION,MEDIUM,NY_Overlap,1,CHF,25,25,0.2,0.04,0.36,0.07958788322212682,severity_session,,,
CHF,ACCUMULATION,MEDIUM,NY_Overlap,1,JPY,25,25,0.28,0.12,0.4410000000000002,0.09194711173704109,severity_session,,,
CHF,LIQUIDATION,LOW,Asia,1,EUR,44,44,0.11363636363636363,0.045454545454545456,0.20454545454545456,0.045824074677063974,severity_session,,,
CHF,LIQUIDATION,LOW,Asia,1,GBP,44,44,0.13636363636363635,0.04488636363636365,0.25,0.05321537676055294,severity_session,,,
CHF,LIQUIDATION,LOW,Asia,1,USD,44,44,0.29545454545454547,0.18125000000000002,0.38636363636363635,0.06499310326415396,severity_session,,,
CHF,LIQUIDATION,LOW,Asia,1,CHF,44,44,0.22727272727272727,0.13579545454545455,0.3409090909090909,0.059005521291131374,severity_session,,,
CHF,LIQUIDATION,LOW,Asia,1,JPY,44,44,0.22727272727272727,0.13636363636363635,0.3409090909090909,0.05909343477752322,severity_session,,,
CHF,LIQUIDATION,LOW,London,1,EUR,138,138,0.18115942028985507,0.12300724637681161,0.2463768115942029,0.032436976548431376,severity_session,,,
