origin_currency,direction,n,initial_GBP_lead_rate,GBP_lead_rate_2h,GBP_lead_rate_4h,GBP_lead_rate_8h,GBP_lead_rate_24h,GBP_lead_decay,after_GBP_dest_4,after_GBP_dest_8,after_GBP_dest_12,after_GBP_dest_24,row_type,first_to_peak_GBP,first_to_peak_CHF,first_to_peak_JPY,first_to_peak_USD,mean_time_to_GBP,mean_time_to_CHF,mean_time_to_JPY,mean_time_to_USD
CHF,ACCUMULATION,466,0.23390557939914164,0.22532188841201717,0.20600858369098712,0.1781115879828326,0.15236051502145923,0.08154506437768241,GBP,GBP,GBP,GBP,GBP_BRIDGE,,,,,,,,
CHF,LIQUIDATION,408,0.17892156862745098,0.19607843137254902,0.25245098039215685,0.23039215686274508,0.19607843137254902,-0.017156862745098034,GBP,GBP,GBP,GBP,GBP_BRIDGE,,,,,,,,
EUR,ACCUMULATION,440,0.2159090909090909,0.18181818181818182,0.28863636363636364,0.28863636363636364,0.20909090909090908,0.006818181818181834,GBP,GBP,GBP,GBP,GBP_BRIDGE,,,,,,,,
EUR,LIQUIDATION,460,0.18695652173913044,0.21739130434782608,0.1282608695652174,0.1108695652173913,0.15434782608695652,0.03260869565217392,GBP,GBP,GBP,GBP,GBP_BRIDGE,,,,,,,,
GBP,ACCUMULATION,378,0.21957671957671956,0.1984126984126984,0.22486772486772486,0.21693121693121692,0.17989417989417988,0.03968253968253968,GBP,GBP,GBP,JPY,GBP_BRIDGE,,,,,,,,
GBP,LIQUIDATION,480,0.2708333333333333,0.2625,0.2604166666666667,0.23333333333333334,0.22708333333333333,0.04374999999999998,GBP,GBP,GBP,GBP,GBP_BRIDGE,,,,,,,,
JPY,ACCUMULATION,475,0.1957894736842105,0.24421052631578946,0.2063157894736842,0.20210526315789473,0.17473684210526316,0.02105263157894735,GBP,GBP,GBP,GBP,GBP_BRIDGE,,,,,,,,
JPY,LIQUIDATION,408,0.22303921568627452,0.21323529411764705,0.25245098039215685,0.23039215686274508,0.23774509803921567,-0.014705882352941152,GBP,GBP,GBP,GBP,GBP_BRIDGE,,,,,,,,
USD,ACCUMULATION,379,0.22163588390501318,0.22163588390501318,0.21899736147757257,0.1820580474934037,0.19261213720316622,0.02902374670184696,GBP,GBP,GBP,USD,GBP_BRIDGE,,,,,,,,
USD,LIQUIDATION,463,0.20086393088552915,0.21382289416846653,0.19870410367170627,0.183585313174946,0.16198704103671707,0.038876889848812074,GBP,GBP,GBP,GBP,GBP_BRIDGE,,,,,,,,
CHF,,874,,,,,,,,,,,LEAD_LAG_SEQUENCE,395.0,231.0,151.0,91.0,4.649769585253456,5.013824884792626,4.716589861751152,4.548387096774194
CHFJPY,,258,,,,,,,,,,,LEAD_LAG_SEQUENCE,105.0,75.0,50.0,28.0,4.441860465116279,6.325581395348837,4.9728682170542635,5.3604651162790695
EUR,,900,,,,,,,,,,,LEAD_LAG_SEQUENCE,402.0,220.0,174.0,102.0,4.393095768374165,5.010022271714922,4.82293986636971,4.60913140311804
EURCHF,,422,,,,,,,,,,,LEAD_LAG_SEQUENCE,181.0,109.0,88.0,43.0,4.7007125890736345,5.484560570071259,4.527315914489312,4.334916864608076
EURGBP,,247,,,,,,,,,,,LEAD_LAG_SEQUENCE,115.0,66.0,45.0,20.0,4.215447154471545,4.605691056910569,4.849593495934959,4.845528455284553
EURJPY,,245,,,,,,,,,,,LEAD_LAG_SEQUENCE,88.0,71.0,64.0,22.0,4.942857142857143,5.012244897959183,4.326530612244898,5.2693877551020405
EURUSD,,411,,,,,,,,,,,LEAD_LAG_SEQUENCE,195.0,103.0,72.0,41.0,4.335766423357664,5.386861313868613,4.447688564476886,4.841849148418492
GBP,,858,,,,,,,,,,,LEAD_LAG_SEQUENCE,412.0,209.0,134.0,94.0,4.599528857479387,5.237926972909305,5.095406360424028,4.706713780918728
GBPCHF,,150,,,,,,,,,,,LEAD_LAG_SEQUENCE,73.0,42.0,22.0,13.0,3.6533333333333333,5.173333333333333,5.746666666666667,5.46
GBPJPY,,152,,,,,,,,,,,LEAD_LAG_SEQUENCE,61.0,47.0,25.0,18.0,4.735099337748345,5.7947019867549665,4.682119205298013,4.4635761589403975
GBPUSD,,478,,,,,,,,,,,LEAD_LAG_SEQUENCE,233.0,110.0,76.0,55.0,4.312236286919831,4.9789029535864975,5.367088607594937,4.390295358649789
JPY,,883,,,,,,,,,,,LEAD_LAG_SEQUENCE,413.0,231.0,155.0,79.0,4.539863325740319,4.945330296127563,4.7004555808656034,4.625284738041002
USD,,842,,,,,,,,,,,LEAD_LAG_SEQUENCE,389.0,230.0,143.0,71.0,4.9627851140456185,5.482593037214886,5.111644657863145,5.084033613445378
USDCHF,,252,,,,,,,,,,,LEAD_LAG_SEQUENCE,96.0,73.0,45.0,36.0,4.412,5.708,5.676,4.18
USDJPY,,257,,,,,,,,,,,LEAD_LAG_SEQUENCE,120.0,60.0,47.0,25.0,4.392857142857143,5.507936507936508,4.531746031746032,4.365079365079365
