origin_currency,direction,n,JPY_lead_rate_1h,JPY_lead_rate_2h,JPY_lead_rate_4h,JPY_lead_rate_6h,JPY_lead_rate_8h,JPY_lead_rate_12h,JPY_lead_rate_24h,JPY_lead_rate_48h,JPY_forward_mean_1h,JPY_forward_mean_2h,JPY_forward_mean_4h,JPY_forward_mean_6h,JPY_forward_mean_8h,JPY_forward_mean_12h,JPY_forward_mean_24h,JPY_forward_mean_48h,JPY_rank_improvement_1h,JPY_rank_improvement_2h,JPY_rank_improvement_4h,JPY_rank_improvement_6h,JPY_rank_improvement_8h,JPY_rank_improvement_12h,JPY_rank_improvement_24h,JPY_rank_improvement_48h,median_time_to_JPY_leadership_h
CHF,ACCUMULATION,466,0.22317596566523606,0.2296137339055794,0.19742489270386265,0.21244635193133046,0.22317596566523606,0.21244635193133046,0.22532188841201717,0.21030042918454936,-3.47613691049675e-06,-2.9800183046995305e-05,-1.7424005262482356e-05,2.880253953273467e-05,2.4054875550694277e-05,-3.9300309330197524e-05,-0.00016349524250231165,-0.00025073837896847544,0.3247311827956989,0.2731182795698925,0.221505376344086,0.2709677419354839,0.27956989247311825,0.2086021505376344,0.1053763440860215,0.06666666666666667,2.0
CHF,LIQUIDATION,408,0.19607843137254902,0.20098039215686275,0.22549019607843138,0.2034313725490196,0.19852941176470587,0.2107843137254902,0.2107843137254902,0.18627450980392157,-1.3208939831064641e-05,6.793568032438302e-06,9.259866489045734e-06,-1.8580785749877227e-05,-4.201662640348907e-05,-0.00010921951450080525,-0.00030205698727554553,-0.0002819888854521132,-0.5533498759305211,-0.5037220843672456,-0.5086848635235732,-0.5409429280397022,-0.511166253101737,-0.5806451612903226,-0.5955334987593052,-0.6534653465346535,2.0
EUR,ACCUMULATION,440,0.19772727272727272,0.2,0.14545454545454545,0.13636363636363635,0.14545454545454545,0.15227272727272728,0.19090909090909092,0.17727272727272728,-7.48899590671695e-05,-7.959882993649078e-05,-0.0004760541838329591,-0.0007217086567864598,-0.0007747288388601851,-0.0007670481229383998,-0.0006345502017518703,-0.0008678266973634819,0.48291571753986334,0.5216400911161732,0.2460136674259681,0.13211845102505695,0.15261958997722094,0.19362186788154898,0.33029612756264237,0.28929384965831434,2.0
EUR,LIQUIDATION,460,0.20652173913043478,0.21739130434782608,0.32608695652173914,0.36086956521739133,0.3391304347826087,0.3217391304347826,0.30869565217391304,0.26956521739130435,-1.2825428566361705e-05,-1.0402289714201397e-05,0.0005632020543279024,0.0007562550931942373,0.0007896818758499504,0.0007152194306827562,0.0005846381647384961,0.0005812757140778657,-0.8976034858387799,-0.8954248366013072,-0.45751633986928103,-0.3747276688453159,-0.4989106753812636,-0.5337690631808278,-0.681917211328976,-0.7015250544662309,4.0
GBP,ACCUMULATION,378,0.16666666666666666,0.21693121693121692,0.19047619047619047,0.18253968253968253,0.20899470899470898,0.23015873015873015,0.2275132275132275,0.24074074074074073,-6.490339941397613e-05,1.421461544110387e-05,-3.724869213903654e-05,-5.240135615112399e-05,-2.8676754142733177e-05,-2.295450973867763e-05,0.00011476589045476503,0.00018196060390507425,0.8021390374331551,0.8850267379679144,0.8556149732620321,0.7887700534759359,0.8796791443850267,0.8529411764705882,0.893048128342246,0.893048128342246,2.0
GBP,LIQUIDATION,480,0.20625,0.21666666666666667,0.21875,0.23541666666666666,0.19791666666666666,0.2125,0.22291666666666668,0.20625,-4.874369584450691e-05,-7.27617098656634e-05,-6.21610995030346e-05,-4.754088634648673e-05,-0.00012195078788462707,-0.00014880532232444156,-0.00029649023884542093,-0.000375615233089491,-1.2252631578947368,-1.2589473684210526,-1.231578947368421,-1.1957894736842105,-1.2021052631578948,-1.2273684210526317,-1.2589473684210526,-1.3705263157894736,2.0
JPY,ACCUMULATION,475,0.25684210526315787,0.25894736842105265,0.3178947368421053,0.3031578947368421,0.2694736842105263,0.25263157894736843,0.25684210526315787,0.24842105263157896,-1.724941965041767e-05,-1.646184736521651e-05,0.00028549681911273537,0.0003750895876947291,0.0003613442865329462,0.00032883832952918646,0.00023549968006924654,0.00026128443600724103,-2.108050847457627,-2.082627118644068,-1.8453389830508475,-1.8326271186440677,-1.9173728813559323,-1.9597457627118644,-1.985200845665962,-2.046511627906977,2.0
JPY,LIQUIDATION,408,0.23529411764705882,0.2426470588235294,0.1568627450980392,0.17401960784313725,0.16176470588235295,0.1642156862745098,0.17892156862745098,0.2034313725490196,-5.310957446453955e-05,-1.4939911282942866e-05,-0.00034985675675804236,-0.0004474822659694724,-0.000570594430220521,-0.0006214717138303681,-0.0006552681509248226,-0.0005691852156939634,1.891358024691358,1.8864197530864197,1.5382716049382716,1.525925925925926,1.4691358024691359,1.4938271604938271,1.5333333333333334,1.634567901234568,2.0
USD,ACCUMULATION,379,0.18733509234828497,0.19261213720316622,0.20844327176781002,0.20052770448548812,0.19261213720316622,0.22427440633245382,0.21108179419525067,0.19261213720316622,-2.0342920529277434e-05,-6.040143111988805e-05,-5.472686873032847e-05,-6.325127290771874e-05,-0.00010793291127336891,-0.00013694674887978058,-0.00014675776014427952,-0.0002699000353685616,0.3502673796791444,0.27540106951871657,0.31016042780748665,0.2620320855614973,0.2620320855614973,0.31283422459893045,0.2914438502673797,0.24064171122994651,2.0
USD,LIQUIDATION,463,0.24622030237580994,0.2548596112311015,0.24622030237580994,0.2267818574514039,0.21382289416846653,0.22894168466522677,0.23110151187904968,0.20518358531317496,-4.5310319553984395e-06,8.216502770948131e-05,0.00011329665849127139,6.432545799309838e-05,0.00010540039123443226,6.169227848692205e-05,3.679818568524298e-05,-0.00022426950364955365,-0.5480349344978166,-0.5294117647058824,-0.514161220043573,-0.616557734204793,-0.6230936819172114,-0.6361655773420479,-0.6514161220043573,-0.7472766884531591,2.0
