relationship_id,origin,direction,destination,horizon_h,2023H2_effect,2023H2_n,2024H1_effect,2024H1_n,2024H2_effect,2024H2_n,2025H1_effect,2025H1_n,HOLDOUT_effect,HOLDOUT_n
CHF_ACCUMULATION_TO_GBP_H6,CHF,ACCUMULATION,GBP,6,-0.046275634513621704,81,-0.06765365051755684,77,-0.3409215398967589,90,-0.0836485573500411,85,-0.012885073814067663,132
CHF_ACCUMULATION_TO_GBP_H24,CHF,ACCUMULATION,GBP,24,-0.1565715131092674,81,-0.13570072978224254,77,-0.30570586861520405,90,-0.05180393040304698,85,0.03566144421225463,132
CHF_ACCUMULATION_TO_GBP_H48,CHF,ACCUMULATION,GBP,48,-0.2158019227543201,81,0.0003218967177680056,77,-0.26115022937043014,90,-0.18228712580845544,85,0.05451723195344408,132
EUR_ACCUMULATION_TO_GBP_H4,EUR,ACCUMULATION,GBP,4,0.36331578871411657,72,0.5322712662625102,73,0.3935626803934656,70,0.16873985976492178,77,-0.04031183335702111,147
EUR_ACCUMULATION_TO_GBP_H6,EUR,ACCUMULATION,GBP,6,0.4325224044677441,72,0.624096741497676,73,0.27977366173234214,70,0.28438451718485513,77,-0.02922750897897993,147
EUR_ACCUMULATION_TO_GBP_H8,EUR,ACCUMULATION,GBP,8,0.3195401874979959,72,0.6315617805741646,73,0.3337741843635282,70,0.3022495889297007,77,-0.06408655163254598,147
EUR_ACCUMULATION_TO_GBP_H12,EUR,ACCUMULATION,GBP,12,0.3137547942782735,72,0.3772640471417444,73,0.3293703387771712,70,0.20939868061064812,77,-0.10283121077662603,147
EUR_ACCUMULATION_TO_JPY_H4,EUR,ACCUMULATION,JPY,4,-0.3039981890495893,72,-0.3145656579978484,73,-0.45632931426630147,70,-0.31239228637291966,77,-0.15349890091178317,147
EUR_ACCUMULATION_TO_JPY_H6,EUR,ACCUMULATION,JPY,6,-0.3319989126551879,72,-0.4739267388557974,73,-0.3803002070972543,70,-0.38729277439111526,77,-0.3020290174090399,147
EUR_ACCUMULATION_TO_JPY_H8,EUR,ACCUMULATION,JPY,8,-0.19238774198543332,72,-0.41913639025381133,73,-0.4356407936374925,70,-0.3773177631788555,77,-0.3006502600736175,147
EUR_ACCUMULATION_TO_JPY_H12,EUR,ACCUMULATION,JPY,12,-0.14959845308629752,72,-0.29993970108316603,73,-0.3763262785301406,70,-0.28306173245501626,77,-0.2777291985505499,147
EUR_LIQUIDATION_TO_GBP_H4,EUR,LIQUIDATION,GBP,4,-0.4390340478608497,81,-0.45215617946996894,84,-0.39671900336964827,86,-0.24336145153948377,72,-0.05933834960437707,136
EUR_LIQUIDATION_TO_GBP_H6,EUR,LIQUIDATION,GBP,6,-0.35069380593990807,81,-0.4350435820340449,84,-0.43456734426639326,86,-0.39635307380936846,72,-0.047282867188077726,136
EUR_LIQUIDATION_TO_GBP_H8,EUR,LIQUIDATION,GBP,8,-0.3111102053959425,81,-0.38618385904226304,84,-0.3798226022708962,86,-0.4019534725721564,72,-0.02904081225907386,136
EUR_LIQUIDATION_TO_GBP_H12,EUR,LIQUIDATION,GBP,12,-0.355626519136456,81,-0.27840738311695656,84,-0.3361829993941586,86,-0.2585156728339063,72,0.044412590015037896,136
EUR_LIQUIDATION_TO_GBP_H24,EUR,LIQUIDATION,GBP,24,-0.33361039409537974,81,-0.27484380104185113,84,-0.36344064119346303,86,-7.08259351264778e-05,72,0.05634811828911774,136
EUR_LIQUIDATION_TO_GBP_H48,EUR,LIQUIDATION,GBP,48,-0.3400629160296584,81,-0.15825224854462014,84,-0.39703984930490305,86,-0.018244316440990362,72,-0.021815747238798977,136
EUR_LIQUIDATION_TO_JPY_H4,EUR,LIQUIDATION,JPY,4,0.2908359293850471,81,0.30008652484810494,84,0.44748137480024314,86,0.20997882440496032,72,0.2805553143660999,136
EUR_LIQUIDATION_TO_JPY_H6,EUR,LIQUIDATION,JPY,6,0.33787183008878025,81,0.34626338600214296,84,0.41833328925475144,86,0.2617307499476224,72,0.2908175664479989,136
EUR_LIQUIDATION_TO_JPY_H8,EUR,LIQUIDATION,JPY,8,0.32973017737998433,81,0.2734022091069031,84,0.3282227679218754,86,0.3042135993902752,72,0.2565936303608915,136
EUR_LIQUIDATION_TO_JPY_H12,EUR,LIQUIDATION,JPY,12,0.2930120511146888,81,0.1839251164390768,84,0.2664542182330006,86,0.25492817202940854,72,0.18244817896108967,136
EUR_LIQUIDATION_TO_JPY_H24,EUR,LIQUIDATION,JPY,24,0.19568879686393653,81,0.10941802205211269,84,0.20087307257813916,86,0.14672452074703587,72,0.06839272650725237,136
EUR_LIQUIDATION_TO_JPY_H48,EUR,LIQUIDATION,JPY,48,0.11745887562619736,81,-0.010961686737246724,84,0.2679257024417496,86,0.2265744809423138,72,0.009788747718439848,136
JPY_LIQUIDATION_TO_CHF_H48,JPY,LIQUIDATION,CHF,48,0.21630498984321678,65,0.051734876519165786,77,-0.08246780744501982,73,0.3624682334189776,69,0.15951574290468667,121
JPY_LIQUIDATION_TO_GBP_H4,JPY,LIQUIDATION,GBP,4,0.1634199542364955,65,0.24280576273721,77,0.11726996007332634,73,0.2087091887950241,69,0.010715793116499929,121
JPY_LIQUIDATION_TO_GBP_H6,JPY,LIQUIDATION,GBP,6,0.25227583255036395,65,0.1505027615064776,77,0.08968651122886831,73,0.223661188724187,69,-0.01861645120723408,121
JPY_LIQUIDATION_TO_GBP_H8,JPY,LIQUIDATION,GBP,8,0.21637542656707182,65,0.1264900715732281,77,0.1875275692955106,73,0.17169921786590542,69,-0.04058543042060305,121
