pair,hold_h,A_long_n,A_long_mean_net_bps,A_long_win,A_long_mfe,A_long_mae,B_short_n,B_short_mean_net_bps,B_short_win,B_short_mfe,B_short_mae,asymmetry_ratio
CHFJPY,4,213,4.772050754719432,0.6103286384976526,14.528827864886862,-10.869488329221658,251,6.665168793081407,0.5816733067729084,15.887068443389564,-9.392155477567828,0.7159684777485195
EURJPY,4,213,-1.2165574779986545,0.47417840375586856,8.616204497609088,-8.64244929265077,251,-1.6118215181301279,0.4103585657370518,10.331417182511437,-9.824664320128765,0.7547718306987125
GBPJPY,4,213,10.117065785470777,0.647887323943662,18.949285565832817,-10.028868396740604,251,13.91170428599859,0.6653386454183267,20.54724978165783,-8.160496570290265,0.7272341028448311
USDJPY,4,213,8.810107140041701,0.5539906103286385,16.50529562042813,-10.00856195783935,251,11.628306442272104,0.6055776892430279,19.228667749480593,-9.683038001962519,0.7576431859427551
CHFJPY,6,213,8.611926292312727,0.6150234741784038,21.540294662682587,-12.928810644145333,251,10.51727968344095,0.5936254980079682,23.815509609661532,-11.924240123677599,0.8188359111407746
EURJPY,6,213,-2.2928910581500155,0.4460093896713615,11.786596806481558,-13.02618845244159,251,-1.0988018825144936,0.4541832669322709,14.494435489736153,-13.343202211261302,2.0867192663548892
GBPJPY,6,213,14.443676760678416,0.704225352112676,27.82986588559717,-12.261729727440585,251,18.661586336554176,0.6733067729083665,31.43840322080289,-10.45384105862792,0.7739790444495198
USDJPY,6,213,11.452801094294298,0.6384976525821596,23.76119960739462,-12.134634393351336,251,14.10720231769995,0.6095617529880478,28.18470390827484,-12.857664596639642,0.8118407063549913
CHFJPY,8,213,8.645944185772981,0.6103286384976526,24.720449661198213,-14.641334270119904,251,9.841403125260578,0.5856573705179283,27.073974318366044,-14.311621787574936,0.8785275916175881
EURJPY,8,213,-1.828737764848222,0.49295774647887325,14.777588972750234,-16.651984356783455,251,-1.7199781486586097,0.46613545816733065,17.510908658641096,-16.382980635601857,1.0632331383247122
GBPJPY,8,213,15.253001831708618,0.6713615023474179,31.66424614758043,-14.088362117549911,251,18.133047504563162,0.6294820717131474,35.99859123411153,-12.544461080112374,0.8411714483111686
USDJPY,8,213,12.092817285148408,0.6384976525821596,27.26302010690682,-14.46368435891638,251,13.859585780823195,0.5816733067729084,32.87751766397408,-15.711353470311325,0.8725237158155639
CHFJPY,12,213,8.044573997606177,0.596244131455399,28.99665753957973,-18.490420401904526,251,8.68444910573042,0.5936254980079682,31.969564238640427,-17.871654506821624,0.9263194360017583
EURJPY,12,213,-1.0165054283556791,0.5070422535211268,18.72113780907473,-20.151320031883905,251,-3.6450637132035917,0.4541832669322709,21.110028907754575,-21.676048962596983,0.2788717861565958
GBPJPY,12,213,15.68373517898469,0.6525821596244131,37.45855764658683,-18.717476584459813,251,18.15533675363222,0.6095617529880478,42.466246224709934,-16.435662807793065,0.8638636336969595
USDJPY,12,213,12.251094763680058,0.6056338028169014,34.081086807994915,-20.442873730152744,251,14.011686187648191,0.5617529880478087,38.716902130612,-19.71318851706993,0.8743483546241452
