prim_type,direction,ts,minutes_from_t0,bucket,event_id,family,aligned,event_time
p90,bull,2023-07-10 11:00:00+00:00,0.0,0_15,EUR_ORIGIN_202307101100,A,1,2023-07-10 11:00:00+00:00
p90,bear,2023-07-10 11:40:00+00:00,40.0,30_45,EUR_ORIGIN_202307101100,A,-1,2023-07-10 11:00:00+00:00
p90,bear,2023-07-10 11:55:00+00:00,55.0,45_60,EUR_ORIGIN_202307101100,A,-1,2023-07-10 11:00:00+00:00
p90,bull,2023-07-10 12:30:00+00:00,90.0,90_120,EUR_ORIGIN_202307101100,A,1,2023-07-10 11:00:00+00:00
p90,bear,2023-07-11 10:00:00+00:00,0.0,0_15,EUR_ORIGIN_202307111000,B,1,2023-07-11 10:00:00+00:00
tier_impulse,bear,2023-07-11 10:00:00+00:00,0.0,0_15,EUR_ORIGIN_202307111000,B,1,2023-07-11 10:00:00+00:00
p90,bull,2023-07-11 10:05:00+00:00,5.0,0_15,EUR_ORIGIN_202307111000,B,-1,2023-07-11 10:00:00+00:00
p90,bull,2023-07-11 10:10:00+00:00,10.0,0_15,EUR_ORIGIN_202307111000,B,-1,2023-07-11 10:00:00+00:00
p90,bear,2023-07-11 10:30:00+00:00,30.0,30_45,EUR_ORIGIN_202307111000,B,1,2023-07-11 10:00:00+00:00
p90,bear,2023-07-11 10:35:00+00:00,35.0,30_45,EUR_ORIGIN_202307111000,B,1,2023-07-11 10:00:00+00:00
tier_impulse,bear,2023-07-11 10:35:00+00:00,35.0,30_45,EUR_ORIGIN_202307111000,B,1,2023-07-11 10:00:00+00:00
p90,bear,2023-07-11 10:45:00+00:00,45.0,45_60,EUR_ORIGIN_202307111000,B,1,2023-07-11 10:00:00+00:00
tier_impulse,bear,2023-07-11 10:45:00+00:00,45.0,45_60,EUR_ORIGIN_202307111000,B,1,2023-07-11 10:00:00+00:00
p90,bull,2023-07-11 10:55:00+00:00,55.0,45_60,EUR_ORIGIN_202307111000,B,-1,2023-07-11 10:00:00+00:00
p90,bear,2023-07-11 11:05:00+00:00,65.0,60_90,EUR_ORIGIN_202307111000,B,1,2023-07-11 10:00:00+00:00
tier_impulse,bear,2023-07-11 11:05:00+00:00,65.0,60_90,EUR_ORIGIN_202307111000,B,1,2023-07-11 10:00:00+00:00
p90,bull,2023-07-11 11:45:00+00:00,105.0,90_120,EUR_ORIGIN_202307111000,B,-1,2023-07-11 10:00:00+00:00
p90,bear,2023-07-11 11:55:00+00:00,115.0,90_120,EUR_ORIGIN_202307111000,B,1,2023-07-11 10:00:00+00:00
tier_impulse,bear,2023-07-11 11:55:00+00:00,115.0,90_120,EUR_ORIGIN_202307111000,B,1,2023-07-11 10:00:00+00:00
p90,bear,2023-07-11 14:20:00+00:00,20.0,15_30,EUR_ORIGIN_202307111400,B,1,2023-07-11 14:00:00+00:00
tier_impulse,bear,2023-07-11 14:20:00+00:00,20.0,15_30,EUR_ORIGIN_202307111400,B,1,2023-07-11 14:00:00+00:00
p90,bull,2023-07-11 14:40:00+00:00,40.0,30_45,EUR_ORIGIN_202307111400,B,-1,2023-07-11 14:00:00+00:00
mid_cross,bear,2023-07-13 16:25:00+00:00,25.0,15_30,EUR_ORIGIN_202307131600,A,-1,2023-07-13 16:00:00+00:00
mid_cross,bull,2023-07-13 17:25:00+00:00,85.0,60_90,EUR_ORIGIN_202307131600,A,1,2023-07-13 16:00:00+00:00
mid_cross,bear,2023-07-13 17:30:00+00:00,90.0,90_120,EUR_ORIGIN_202307131600,A,-1,2023-07-13 16:00:00+00:00
p90,bull,2023-07-14 11:15:00+00:00,15.0,15_30,EUR_ORIGIN_202307141100,A,1,2023-07-14 11:00:00+00:00
tier_impulse,bull,2023-07-14 11:15:00+00:00,15.0,15_30,EUR_ORIGIN_202307141100,A,1,2023-07-14 11:00:00+00:00
p90,bear,2023-07-14 11:25:00+00:00,25.0,15_30,EUR_ORIGIN_202307141100,A,-1,2023-07-14 11:00:00+00:00
p90,bull,2023-07-14 11:40:00+00:00,40.0,30_45,EUR_ORIGIN_202307141100,A,1,2023-07-14 11:00:00+00:00
tier_impulse,bull,2023-07-14 11:40:00+00:00,40.0,30_45,EUR_ORIGIN_202307141100,A,1,2023-07-14 11:00:00+00:00
p90,bull,2023-07-14 11:55:00+00:00,55.0,45_60,EUR_ORIGIN_202307141100,A,1,2023-07-14 11:00:00+00:00
tier_impulse,bull,2023-07-14 11:55:00+00:00,55.0,45_60,EUR_ORIGIN_202307141100,A,1,2023-07-14 11:00:00+00:00
p90,bull,2023-07-14 12:40:00+00:00,100.0,90_120,EUR_ORIGIN_202307141100,A,1,2023-07-14 11:00:00+00:00
tier_impulse,bull,2023-07-14 12:40:00+00:00,100.0,90_120,EUR_ORIGIN_202307141100,A,1,2023-07-14 11:00:00+00:00
p90,bull,2023-07-14 13:00:00+00:00,120.0,nan,EUR_ORIGIN_202307141100,A,1,2023-07-14 11:00:00+00:00
tier_impulse,bull,2023-07-14 13:00:00+00:00,120.0,nan,EUR_ORIGIN_202307141100,A,1,2023-07-14 11:00:00+00:00
p90,bear,2023-07-17 11:10:00+00:00,10.0,0_15,EUR_ORIGIN_202307171100,A,-1,2023-07-17 11:00:00+00:00
mid_cross,bear,2023-07-17 11:10:00+00:00,10.0,0_15,EUR_ORIGIN_202307171100,A,-1,2023-07-17 11:00:00+00:00
p90,bear,2023-07-17 11:35:00+00:00,35.0,30_45,EUR_ORIGIN_202307171100,A,-1,2023-07-17 11:00:00+00:00
tier_impulse,bear,2023-07-17 11:35:00+00:00,35.0,30_45,EUR_ORIGIN_202307171100,A,-1,2023-07-17 11:00:00+00:00
p90,bull,2023-07-17 12:05:00+00:00,65.0,60_90,EUR_ORIGIN_202307171100,A,1,2023-07-17 11:00:00+00:00
p90,bear,2023-07-17 12:30:00+00:00,90.0,90_120,EUR_ORIGIN_202307171100,A,-1,2023-07-17 11:00:00+00:00
tier_impulse,bear,2023-07-17 12:30:00+00:00,90.0,90_120,EUR_ORIGIN_202307171100,A,-1,2023-07-17 11:00:00+00:00
p90,bear,2023-07-17 12:35:00+00:00,95.0,90_120,EUR_ORIGIN_202307171100,A,-1,2023-07-17 11:00:00+00:00
tier_impulse,bear,2023-07-17 12:35:00+00:00,95.0,90_120,EUR_ORIGIN_202307171100,A,-1,2023-07-17 11:00:00+00:00
p90,bear,2023-07-17 12:45:00+00:00,105.0,90_120,EUR_ORIGIN_202307171100,A,-1,2023-07-17 11:00:00+00:00
tier_impulse,bear,2023-07-17 12:45:00+00:00,105.0,90_120,EUR_ORIGIN_202307171100,A,-1,2023-07-17 11:00:00+00:00
p90,bull,2023-07-18 11:20:00+00:00,20.0,15_30,EUR_ORIGIN_202307181100,B,-1,2023-07-18 11:00:00+00:00
p90,bull,2023-07-18 11:35:00+00:00,35.0,30_45,EUR_ORIGIN_202307181100,B,-1,2023-07-18 11:00:00+00:00
p90,bear,2023-07-18 12:20:00+00:00,80.0,60_90,EUR_ORIGIN_202307181100,B,1,2023-07-18 11:00:00+00:00
tier_impulse,bear,2023-07-18 12:20:00+00:00,80.0,60_90,EUR_ORIGIN_202307181100,B,1,2023-07-18 11:00:00+00:00
p90,bull,2023-07-19 07:45:00+00:00,105.0,90_120,EUR_ORIGIN_202307190600,A,1,2023-07-19 06:00:00+00:00
tier_impulse,bull,2023-07-19 07:45:00+00:00,105.0,90_120,EUR_ORIGIN_202307190600,A,1,2023-07-19 06:00:00+00:00
p90,bear,2023-07-19 14:55:00+00:00,115.0,90_120,EUR_ORIGIN_202307191300,B,1,2023-07-19 13:00:00+00:00
p90,bear,2023-07-21 07:05:00+00:00,65.0,60_90,EUR_ORIGIN_202307210600,A,-1,2023-07-21 06:00:00+00:00
p90,bear,2023-07-21 07:20:00+00:00,80.0,60_90,EUR_ORIGIN_202307210600,A,-1,2023-07-21 06:00:00+00:00
p90,bull,2023-07-24 07:25:00+00:00,85.0,60_90,EUR_ORIGIN_202307240600,B,-1,2023-07-24 06:00:00+00:00
p90,bear,2023-07-24 07:35:00+00:00,95.0,90_120,EUR_ORIGIN_202307240600,B,1,2023-07-24 06:00:00+00:00
p90,bear,2023-07-24 07:40:00+00:00,100.0,90_120,EUR_ORIGIN_202307240600,B,1,2023-07-24 06:00:00+00:00
p90,bull,2023-07-24 07:50:00+00:00,110.0,90_120,EUR_ORIGIN_202307240600,B,-1,2023-07-24 06:00:00+00:00
p90,bear,2023-07-24 10:00:00+00:00,0.0,0_15,EUR_ORIGIN_202307241000,B,1,2023-07-24 10:00:00+00:00
tier_impulse,bear,2023-07-24 10:00:00+00:00,0.0,0_15,EUR_ORIGIN_202307241000,B,1,2023-07-24 10:00:00+00:00
p90,bull,2023-07-24 10:05:00+00:00,5.0,0_15,EUR_ORIGIN_202307241000,B,-1,2023-07-24 10:00:00+00:00
p90,bull,2023-07-24 10:10:00+00:00,10.0,0_15,EUR_ORIGIN_202307241000,B,-1,2023-07-24 10:00:00+00:00
p90,bear,2023-07-24 10:15:00+00:00,15.0,15_30,EUR_ORIGIN_202307241000,B,1,2023-07-24 10:00:00+00:00
tier_impulse,bear,2023-07-24 10:15:00+00:00,15.0,15_30,EUR_ORIGIN_202307241000,B,1,2023-07-24 10:00:00+00:00
p90,bull,2023-07-24 10:25:00+00:00,25.0,15_30,EUR_ORIGIN_202307241000,B,-1,2023-07-24 10:00:00+00:00
p90,bull,2023-07-24 10:50:00+00:00,50.0,45_60,EUR_ORIGIN_202307241000,B,-1,2023-07-24 10:00:00+00:00
p90,bull,2023-07-24 11:10:00+00:00,70.0,60_90,EUR_ORIGIN_202307241000,B,-1,2023-07-24 10:00:00+00:00
p90,bear,2023-07-24 11:30:00+00:00,90.0,90_120,EUR_ORIGIN_202307241000,B,1,2023-07-24 10:00:00+00:00
p90,bear,2023-07-24 11:40:00+00:00,100.0,90_120,EUR_ORIGIN_202307241000,B,1,2023-07-24 10:00:00+00:00
rekey,bear,2023-07-26 21:00:00+00:00,0.0,0_15,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 21:05:00+00:00,5.0,0_15,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 21:35:00+00:00,35.0,30_45,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 21:40:00+00:00,40.0,30_45,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 21:45:00+00:00,45.0,45_60,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 21:50:00+00:00,50.0,45_60,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 21:55:00+00:00,55.0,45_60,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 22:00:00+00:00,60.0,60_90,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 22:05:00+00:00,65.0,60_90,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 22:10:00+00:00,70.0,60_90,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 22:15:00+00:00,75.0,60_90,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 22:20:00+00:00,80.0,60_90,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 22:25:00+00:00,85.0,60_90,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 22:30:00+00:00,90.0,90_120,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 22:35:00+00:00,95.0,90_120,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 22:40:00+00:00,100.0,90_120,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 22:45:00+00:00,105.0,90_120,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 22:50:00+00:00,110.0,90_120,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
rekey,bear,2023-07-26 22:55:00+00:00,115.0,90_120,EUR_ORIGIN_202307262100,A,-1,2023-07-26 21:00:00+00:00
p90,bull,2023-07-27 09:20:00+00:00,20.0,15_30,EUR_ORIGIN_202307270900,A,1,2023-07-27 09:00:00+00:00
p90,bear,2023-07-27 09:25:00+00:00,25.0,15_30,EUR_ORIGIN_202307270900,A,-1,2023-07-27 09:00:00+00:00
p90,bear,2023-07-27 09:55:00+00:00,55.0,45_60,EUR_ORIGIN_202307270900,A,-1,2023-07-27 09:00:00+00:00
p90,bear,2023-07-27 10:00:00+00:00,60.0,60_90,EUR_ORIGIN_202307270900,A,-1,2023-07-27 09:00:00+00:00
