n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,sequence_code,eligible,status,expect_ci_low,expect_ci_high,expect_se
10,0.047619047619047616,0.4,-0.18390759633681997,-4.223413660618239,0.9797977577547133,15.146415071233097,-11.502110485452866,2.9,3.3,0.6,A,RO-RO-RO-RO,False,exploratory,-11.051981033982441,10.95034255995583,6.747552089886005
9,0.04285714285714286,0.8888888888888888,24.616353026677036,23.808244472327882,6.080244759459183,35.13842358150895,-6.569857758270314,5.0,1.7777777777777777,0.1111111111111111,A,MO-MA-MO-MA,False,exploratory,,,
8,0.0380952380952381,0.625,10.075159701854618,15.759967966364298,1.9351432269085085,23.31505492406675,-12.240728550007734,3.25,2.5,0.375,A,MA-MO-MA-MO,False,exploratory,,,
8,0.0321285140562249,0.625,13.067456209690587,13.377842267465878,3.568314002318173,24.868638437396257,-5.826915232556092,3.0,4.0,0.375,B,MA,False,exploratory,,,
8,0.0380952380952381,0.625,12.030433547197338,14.86921449089251,4.42090438796015,23.100533192429907,-6.934755632953902,3.5,2.625,0.375,A,MA,False,exploratory,,,
8,0.0321285140562249,0.75,6.269601032799741,13.137079248390386,1.7450905201782585,21.121095862691497,-8.561992913908142,2.625,3.625,0.25,B,MO,False,exploratory,,,
7,0.028112449799196786,0.7142857142857143,15.870193325163575,24.146983250923693,3.1842728332893735,29.742420619170172,-7.8778943527702046,1.8571428571428572,4.142857142857143,0.2857142857142857,B,MA-MO-MA-MO,False,exploratory,,,
6,0.024096385542168676,0.6666666666666666,-0.18973099969843688,4.828037774426684,0.9826873626674876,16.981121935419363,-10.832630856608914,2.6666666666666665,3.1666666666666665,0.3333333333333333,B,MA-MO-MA,False,exploratory,,,
6,0.024096385542168676,0.6666666666666666,3.1382623803385905,10.39280033439399,1.2112329432944224,24.911426965529426,-15.485980547937588,2.6666666666666665,3.5,0.3333333333333333,B,MO-MA-MO-MA,False,exploratory,,,
6,0.024096385542168676,0.5,-2.7603767611192667,-4.096436056309144,0.8505444010540691,18.46875837368489,-19.825307919745537,3.1666666666666665,3.0,0.5,B,PO-TO-TO-PO,False,exploratory,,,
6,0.024096385542168676,0.8333333333333334,33.629419932705524,24.660881965308334,13.106177919370532,40.23787439224169,-5.018240660654644,2.6666666666666665,5.333333333333333,0.16666666666666666,B,MA-MO,False,exploratory,,,
5,0.020080321285140562,0.2,-14.066039874286037,-14.342415311228654,0.1361845830272478,7.43871484719287,-16.63578351983517,5.0,3.6,0.8,B,RO-RO-RO-RO,False,exploratory,,,
5,0.020080321285140562,0.4,-4.132132785206151,-18.38390720180174,0.7148339328126971,18.747200072200258,-13.333139223425857,3.2,3.0,0.6,B,MO-MA-MO,False,exploratory,,,
5,0.023809523809523808,0.4,2.0575893345738634,-3.9151666813396266,1.231115038792453,16.917291026797578,-12.781146925283895,4.2,3.0,0.6,A,PO-TO-TO-PO,False,exploratory,,,
5,0.020080321285140562,1.0,27.027585785971393,33.54431373874508,,31.83365006776497,-2.7759749743896633,2.2,4.8,0.0,B,PO,False,exploratory,,,
4,0.01904761904761905,0.5,4.784793115824234,-3.235337417770842,2.136344865655975,16.280303481519347,-6.626271530188618,3.25,3.0,0.5,A,PA-TA-PO-PO,False,exploratory,,,
4,0.01606425702811245,0.75,12.746910938135526,12.32098951626034,4.744524704311029,21.78257764135698,-6.3911727787415185,2.25,4.25,0.25,B,PA,False,exploratory,,,
4,0.01904761904761905,1.0,36.18274591567835,40.450674926302895,,41.54636315794837,0.0,4.25,1.0,0.0,A,PA-TA,False,exploratory,,,
4,0.01904761904761905,0.5,-9.32328739171079,-1.2267750412061675,0.5065741366995975,15.056344187242146,-21.862504435189933,2.75,3.75,0.5,A,PO-PO-PO-PA,False,exploratory,,,
4,0.01606425702811245,0.5,-0.7330040297919487,5.792761597764186,0.9528703451119498,19.594765303435352,-18.253299959123865,4.0,3.5,0.5,B,PO-TO-PA-PO,False,exploratory,,,
4,0.01606425702811245,0.5,-0.5820995067387864,-0.689857878762453,0.9215466039008938,17.279878009543715,-11.244391197518986,3.0,3.0,0.5,B,PA-TA-PO-PO,False,exploratory,,,
4,0.01606425702811245,0.75,43.638845400345794,21.434051322993874,8.07723094331037,55.13666562736299,-6.417960437020238,2.5,4.5,0.25,B,PO-PO-PA-TA,False,exploratory,,,
4,0.01606425702811245,0.0,-33.41121746179198,-27.442784800519036,0.0,1.6573521908580169,-36.266686705753955,5.25,1.75,1.0,B,PO-PA-TA-PA,False,exploratory,,,
3,0.014285714285714285,0.0,-26.73205402973295,-12.155790971762691,0.0,12.508577893516971,-25.186600700581668,2.3333333333333335,6.0,1.0,A,MO-MA,False,exploratory,,,
3,0.014285714285714285,1.0,24.773273268423242,14.603978110182574,,29.156856786421404,-2.127349791307676,3.3333333333333335,2.0,0.0,A,PA-PA-PO-PO,False,exploratory,,,
