profile,f_pct,account_usd,dollar_1R,minus_0_5R_usd,minus_1R_usd,minus_2R_usd,minus_3R_usd,minus_3_66R_A_worst_usd,expected_event_gain_usd,typical_2pos_gross_risk_usd
RM-S0_PRESERVATION,0.4,5000.0,20.0,-10.0,-20.0,-40.0,-60.0,-73.10767255936358,6.98571807768821,40.0
RM-S1_CONSERVATIVE,0.75,5000.0,37.5,-18.75,-37.5,-75.0,-112.5,-137.07688604880673,13.098221395665394,75.0
RM-S2_BALANCED,2.0,5000.0,100.0,-50.0,-100.0,-200.0,-300.0,-365.5383627968179,34.92859038844105,200.0
RM-S3_GROWTH,3.0,5000.0,150.0,-75.0,-150.0,-300.0,-450.0,-548.3075441952269,52.39288558266158,300.0
RM-S4_FULL_PRESS_RESEARCH,5.0,5000.0,250.0,-125.0,-250.0,-500.0,-750.0,-913.8459069920448,87.32147597110263,500.0
RM-S0_PRESERVATION,0.4,10000.0,40.0,-20.0,-40.0,-80.0,-120.0,-146.21534511872716,13.97143615537642,80.0
RM-S1_CONSERVATIVE,0.75,10000.0,75.0,-37.5,-75.0,-150.0,-225.0,-274.15377209761346,26.19644279133079,150.0
RM-S2_BALANCED,2.0,10000.0,200.0,-100.0,-200.0,-400.0,-600.0,-731.0767255936358,69.8571807768821,400.0
RM-S3_GROWTH,3.0,10000.0,300.0,-150.0,-300.0,-600.0,-900.0,-1096.6150883904538,104.78577116532315,600.0
RM-S4_FULL_PRESS_RESEARCH,5.0,10000.0,500.0,-250.0,-500.0,-1000.0,-1500.0,-1827.6918139840895,174.64295194220526,1000.0
RM-S0_PRESERVATION,0.4,25000.0,100.0,-50.0,-100.0,-200.0,-300.0,-365.5383627968179,34.92859038844105,200.0
RM-S1_CONSERVATIVE,0.75,25000.0,187.5,-93.75,-187.5,-375.0,-562.5,-685.3844302440336,65.49110697832697,375.0
RM-S2_BALANCED,2.0,25000.0,500.0,-250.0,-500.0,-1000.0,-1500.0,-1827.6918139840895,174.64295194220526,1000.0
RM-S3_GROWTH,3.0,25000.0,750.0,-375.0,-750.0,-1500.0,-2250.0,-2741.5377209761346,261.9644279133079,1500.0
RM-S4_FULL_PRESS_RESEARCH,5.0,25000.0,1250.0,-625.0,-1250.0,-2500.0,-3750.0,-4569.229534960225,436.6073798555131,2500.0
RM-S0_PRESERVATION,0.4,50000.0,200.0,-100.0,-200.0,-400.0,-600.0,-731.0767255936358,69.8571807768821,400.0
RM-S1_CONSERVATIVE,0.75,50000.0,375.0,-187.5,-375.0,-750.0,-1125.0,-1370.7688604880673,130.98221395665394,750.0
RM-S2_BALANCED,2.0,50000.0,1000.0,-500.0,-1000.0,-2000.0,-3000.0,-3655.383627968179,349.2859038844105,2000.0
RM-S3_GROWTH,3.0,50000.0,1500.0,-750.0,-1500.0,-3000.0,-4500.0,-5483.075441952269,523.9288558266157,3000.0
RM-S4_FULL_PRESS_RESEARCH,5.0,50000.0,2500.0,-1250.0,-2500.0,-5000.0,-7500.0,-9138.45906992045,873.2147597110262,5000.0
RM-S0_PRESERVATION,0.4,100000.0,400.0,-200.0,-400.0,-800.0,-1200.0,-1462.1534511872717,139.7143615537642,800.0
RM-S1_CONSERVATIVE,0.75,100000.0,750.0,-375.0,-750.0,-1500.0,-2250.0,-2741.5377209761346,261.9644279133079,1500.0
RM-S2_BALANCED,2.0,100000.0,2000.0,-1000.0,-2000.0,-4000.0,-6000.0,-7310.767255936358,698.571807768821,4000.0
RM-S3_GROWTH,3.0,100000.0,3000.0,-1500.0,-3000.0,-6000.0,-9000.0,-10966.150883904538,1047.8577116532315,6000.0
RM-S4_FULL_PRESS_RESEARCH,5.0,100000.0,5000.0,-2500.0,-5000.0,-10000.0,-15000.0,-18276.9181398409,1746.4295194220524,10000.0
