family,level_R,N_reached,share_of_trades,share_of_winners,median_time_h,p25_time_h,p75_time_h,final_expectancy_R_after_reaching,final_loss_probability_after_reaching
A,0.1,339,0.7847222222222222,1.2282608695652173,1.0,1.0,2.0,0.788251980775578,0.19174041297935104
A,0.25,316,0.7314814814814815,1.144927536231884,1.0,1.0,2.0,0.8762145060122545,0.15822784810126583
A,0.5,274,0.6342592592592593,0.9927536231884058,2.0,1.0,2.0,1.03693150454912,0.09854014598540146
A,0.75,208,0.48148148148148145,0.7536231884057971,2.0,1.0,3.0,1.3374031157658643,0.014423076923076924
A,1.0,154,0.35648148148148145,0.5579710144927537,3.0,2.0,4.0,1.6028648127081553,0.0
A,1.5,70,0.16203703703703703,0.2536231884057971,3.0,2.0,4.0,2.2985549271655454,0.0
A,2.0,38,0.08796296296296297,0.13768115942028986,4.0,3.0,4.75,2.8247694661045095,0.0
B,0.1,355,0.7751091703056768,1.2633451957295374,2.0,1.0,2.0,0.7099253288747481,0.21690140845070421
B,0.25,327,0.7139737991266376,1.1637010676156583,2.0,1.0,3.0,0.8194887523445871,0.16819571865443425
B,0.5,282,0.6157205240174672,1.00355871886121,2.0,2.0,3.0,0.9900100516100622,0.09574468085106383
B,0.75,216,0.47161572052401746,0.7686832740213523,2.0,2.0,3.0,1.2387171473579184,0.018518518518518517
B,1.0,152,0.3318777292576419,0.5409252669039146,3.0,2.0,4.0,1.5399372125169137,0.0
B,1.5,73,0.15938864628820962,0.2597864768683274,4.0,3.0,5.0,2.1260479553061256,0.0
B,2.0,33,0.07205240174672489,0.11743772241992882,4.0,4.0,5.0,2.72741411927812,0.0
A+B,0.1,694,0.7797752808988764,1.2459605026929983,1.0,1.0,2.0,0.7481857539386981,0.20461095100864554
A+B,0.25,643,0.7224719101123596,1.1543985637342908,2.0,1.0,2.0,0.8473664166664888,0.16329704510108864
A+B,0.5,556,0.6247191011235955,0.9982046678635548,2.0,1.0,3.0,1.0131332136699576,0.09712230215827339
A+B,0.75,424,0.4764044943820225,0.7612208258527827,2.0,2.0,3.0,1.2871291318599298,0.01650943396226415
A+B,1.0,306,0.3438202247191011,0.5493716337522442,3.0,2.0,4.0,1.5716066583647936,0.0
A+B,1.5,143,0.16067415730337078,0.25673249551166966,3.0,3.0,4.0,2.2104919275450032,0.0
A+B,2.0,71,0.07977528089887641,0.12746858168761221,4.0,3.0,5.0,2.7795197978612585,0.0
