edge_pct,envelope,max_f_pct,constraint,bound,P_dd_ge_10,P_dd_ge_20,P_dd_ge_30,P_dd_ge_40,P_dd_ge_50,P_technical_ruin,exp_cagr
100,SURVIVAL,5.0,P_dd_ge_50,0.05,0.31505370786516856,0.12187955056179775,0.05440831460674157,0.014314157303370786,0.003488988764044944,0.0,150.3843882894155
100,AGGRESSIVE,5.0,P_dd_ge_40,0.1,0.31505370786516856,0.12187955056179775,0.05440831460674157,0.014314157303370786,0.003488988764044944,0.0,150.3843882894155
100,VERY_AGGRESSIVE,5.0,P_dd_ge_40,0.3,0.31505370786516856,0.12187955056179775,0.05440831460674157,0.014314157303370786,0.003488988764044944,0.0,150.3843882894155
100,PROP,1.5,P_dd_ge_10,0.05,0.04297662921348314,0.0011285393258426966,9.887640449438202e-06,0.0,0.0,0.0,3.900383538044432
100,MAX_GEOMETRIC_GROWTH,5.0,none,,,,,0.014314157303370786,0.003488988764044944,0.0,150.3843882894155
75,SURVIVAL,5.0,P_dd_ge_50,0.05,0.4695305617977528,0.2518568539325843,0.14041775280898877,0.06945730337078651,0.028732808988764045,0.0,12.321425104629471
75,AGGRESSIVE,5.0,P_dd_ge_40,0.1,0.4695305617977528,0.2518568539325843,0.14041775280898877,0.06945730337078651,0.028732808988764045,0.0,12.321425104629471
75,VERY_AGGRESSIVE,5.0,P_dd_ge_40,0.3,0.4695305617977528,0.2518568539325843,0.14041775280898877,0.06945730337078651,0.028732808988764045,0.0,12.321425104629471
75,PROP,1.0,P_dd_ge_10,0.05,0.040656179775280896,0.001509438202247191,1.146067415730337e-05,0.0,0.0,0.0,0.7511151930784463
75,MAX_GEOMETRIC_GROWTH,5.0,none,,,,,0.06945730337078651,0.028732808988764045,0.0,12.321425104629471
50,SURVIVAL,1.5,P_dd_ge_50,0.05,0.5505750561797753,0.30484157303370785,0.14913595505617977,0.05937505617977528,0.01868808988764045,0.0,0.07165463930881387
50,AGGRESSIVE,1.5,P_dd_ge_40,0.1,0.5505750561797753,0.30484157303370785,0.14913595505617977,0.05937505617977528,0.01868808988764045,0.0,0.07165463930881387
50,VERY_AGGRESSIVE,3.0,P_dd_ge_40,0.3,0.7414732584269663,0.5694680898876404,0.42201887640449437,0.2932741573033708,0.18743460674157303,0.0,0.11343837090753935
50,PROP,0.3,P_dd_ge_10,0.05,0.0430561797752809,0.00040202247191011237,0.0,0.0,0.0,0.0,0.016429592374866218
50,MAX_GEOMETRIC_GROWTH,4.0,none,,,,,0.4228020224719101,0.3120898876404494,0.0,0.12243581813870928
