policy_id,kind,cap_mult,treatment,w_A_pct,w_B_pct,partition_type,partition,N,N_rejected,reject_rate,mean_admitted_f,within_partition_max_dd,worst_episode_R,partition_net_R
H0,H0,,REJECT,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,0,0.0,0.5,2.1305906734112043,-1.967268405161442,46.93384862580961
H0,H0,,REJECT,50.0,50.0,split,inner_sel,461,0,0.0,0.5,1.04680840141895,-3.0685232166139733,81.19791833594883
H0,H0,,REJECT,50.0,50.0,split,inner_val,149,0,0.0,0.5,13.643643258899798,-1.8936078132111276,27.300460266804258
H0,H0,,REJECT,50.0,50.0,year,2023,150,0,0.0,0.5,1.0085607855589738,-2.749008184280776,17.90586835892429
H0,H0,,REJECT,50.0,50.0,year,2024,311,0,0.0,0.5,553.4849013836548,-3.0685232166139733,63.29204997702453
H0,H0,,REJECT,50.0,50.0,year,2025,311,0,0.0,0.5,2299.138595961655,-1.8936078132111276,60.76425337552736
H0,H0,,REJECT,50.0,50.0,year,2026,118,0,0.0,0.5,6.293751875035538,-1.967268405161442,13.470055517086498
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,2,0.007142857142857143,0.5,2.130590673411205,-1.967268405161442,46.08113078462078
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,split,inner_sel,461,10,0.021691973969631236,0.5,1.172206950887657,-3.0685232166139733,81.52273589856443
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,split,inner_val,149,2,0.013422818791946308,0.5,13.643643258899797,-1.8936078132111276,26.69792968592639
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,year,2023,150,3,0.02,0.5,1.0085607855589738,-2.523088290993595,16.879039948962586
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,year,2024,311,7,0.022508038585209004,0.5,680.349297839471,-3.0685232166139733,64.64369594960183
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,year,2025,311,2,0.006430868167202572,0.5,1971.1220755858208,-1.8936078132111276,60.16172279464949
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,year,2026,118,2,0.01694915254237288,0.5,3.6510688786817482,-1.967268405161442,12.617337675897671
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,0,0.0,0.5,2.1305906734112043,-1.967268405161442,46.93384862580961
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,split,inner_sel,461,0,0.0,0.5,1.04680840141895,-3.0685232166139733,81.19791833594883
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,split,inner_val,149,0,0.0,0.5,13.643643258899798,-1.8936078132111276,27.300460266804258
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,year,2023,150,0,0.0,0.5,1.0085607855589738,-2.749008184280776,17.90586835892429
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,year,2024,311,0,0.0,0.5,553.4849013836548,-3.0685232166139733,63.29204997702453
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,year,2025,311,0,0.0,0.5,2299.138595961655,-1.8936078132111276,60.76425337552736
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,year,2026,118,0,0.0,0.5,6.293751875035538,-1.967268405161442,13.470055517086498
H1-2.00-REJ,H1,2.0,REJECT,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,0,0.0,0.5,2.1305906734112043,-1.967268405161442,46.93384862580961
H1-2.00-REJ,H1,2.0,REJECT,50.0,50.0,split,inner_sel,461,0,0.0,0.5,1.04680840141895,-3.0685232166139733,81.19791833594883
H1-2.00-REJ,H1,2.0,REJECT,50.0,50.0,split,inner_val,149,0,0.0,0.5,13.643643258899798,-1.8936078132111276,27.300460266804258
H1-2.00-REJ,H1,2.0,REJECT,50.0,50.0,year,2023,150,0,0.0,0.5,1.0085607855589738,-2.749008184280776,17.90586835892429
H1-2.00-REJ,H1,2.0,REJECT,50.0,50.0,year,2024,311,0,0.0,0.5,553.4849013836548,-3.0685232166139733,63.29204997702453
H1-2.00-REJ,H1,2.0,REJECT,50.0,50.0,year,2025,311,0,0.0,0.5,2299.138595961655,-1.8936078132111276,60.76425337552736
H1-2.00-REJ,H1,2.0,REJECT,50.0,50.0,year,2026,118,0,0.0,0.5,6.293751875035538,-1.967268405161442,13.470055517086498
H1-3.00-REJ,H1,3.0,REJECT,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,0,0.0,0.5,2.1305906734112043,-1.967268405161442,46.93384862580961
H1-3.00-REJ,H1,3.0,REJECT,50.0,50.0,split,inner_sel,461,0,0.0,0.5,1.04680840141895,-3.0685232166139733,81.19791833594883
H1-3.00-REJ,H1,3.0,REJECT,50.0,50.0,split,inner_val,149,0,0.0,0.5,13.643643258899798,-1.8936078132111276,27.300460266804258
