dim,bucket,n,coverage_pct,ev_tbb,ev_tbc5,pf_tbb,pf_tbc5,wr_tbb,mfe_med_tbb,mae_med_tbb,conv_med_min,failure_pct
vel5_terc,LOW,130,32.098765432098766,19.41852521728015,18.004990682060296,11.111834682640332,9.437563859832508,86.92307692307692,19.349386460575097,-15.120378725059105,210.0,36.92307692307693
vel5_terc,HIGH,90,22.22222222222222,18.567497546552836,17.30757283583487,12.595022601684946,11.0657807649863,83.33333333333334,17.884456393536276,-15.358867140670569,170.0,38.88888888888889
vel5_terc,MED,155,38.2716049382716,14.670562893382217,13.652293763915743,12.234199759965714,10.444099106186776,87.09677419354838,13.994029772974326,-15.889608548379607,200.0,28.387096774193548
dur_above_thr,1,388,95.80246913580247,17.095570391145618,15.91340885079023,11.506261552436662,9.918492845845604,85.56701030927834,17.00664559517758,-15.770603948706416,190.0,35.051546391752574
dur_above_thr,2,4,0.9876543209876543,29.644842553626713,26.875193217548844,50.895844212892186,16.68159167472322,75.0,36.3019418439474,-24.663026595391486,240.0,25.0
dur_above_thr,ge5,10,2.4691358024691357,39.71383006695988,37.791431108340305,inf,inf,100.0,33.053768933576585,-14.44437800370356,247.5,0.0
dur_above_thr,3_4,3,0.7407407407407408,28.398552778400628,28.44776764842909,inf,inf,100.0,24.24490750477319,-12.349305321249577,112.5,33.33333333333333
vol_tercile,MED,104,25.679012345679013,18.91668878167474,17.706106198128175,12.523662688437852,10.603776937786606,88.46153846153845,20.823473434552838,-15.949136936294117,180.0,33.65384615384615
vol_tercile,LOW,211,52.09876543209877,14.077253848460417,12.981930333133743,11.487360649690265,9.800505080237562,85.30805687203792,14.202580287643688,-15.201367801594367,200.0,33.175355450236964
vol_tercile,HIGH,60,14.814814814814813,25.529735176518308,23.89689220672278,11.769552281062907,10.35722613752227,85.0,24.69426509664854,-18.77841409996126,202.5,36.666666666666664
leg_dominance,dominant,173,42.71604938271605,18.09812213536189,17.06690351794001,12.39970203909442,10.647528674770985,86.1271676300578,17.833179901210453,-14.914718787132822,180.0,33.52601156069364
leg_dominance,mixed,195,48.148148148148145,17.107459649853297,15.92669680336449,12.802901451047111,11.036659501967533,85.12820512820512,17.236881598872866,-15.779670958362923,195.0,33.84615384615385
leg_dominance,multi,37,9.135802469135802,20.73148323904885,18.56434691204859,11.036250236044655,9.207543673375316,89.1891891891892,19.241409895060535,-21.08872085379685,240.0,37.83783783783784
session_third,late,50,12.345679012345679,5.834810521050335,4.8475291070945365,2.047227051583434,1.8498805471224604,56.00000000000001,9.21896515742077,-17.785418038258484,50.0,84.0
session_third,mid,189,46.666666666666664,15.056938082134439,14.04914662621426,11.579704280935433,9.770646936456961,85.18518518518519,15.623422876560774,-16.3588773231572,167.5,41.7989417989418
session_third,early,166,40.98765432098765,24.67766757474628,23.177685863230558,48.547845116847206,35.58928095954369,95.78313253012048,22.7156303414181,-14.667819525490708,215.0,10.240963855421686
weekday,Wednesday,68,16.790123456790123,15.2269810059491,14.139784842832313,8.841391962899014,7.423586354121592,77.94117647058823,17.657076557271388,-15.66958976099447,190.0,39.705882352941174
weekday,Monday,53,13.086419753086421,18.595927776408683,17.380658434418965,12.86323410713777,11.27397408159195,86.79245283018868,21.122927520630682,-13.184490851507249,162.5,35.84905660377358
weekday,Tuesday,90,22.22222222222222,17.275123277273117,16.21914943006783,16.06924103619871,13.535958172326593,87.77777777777777,15.82462912091225,-18.077928506359648,200.0,36.666666666666664
weekday,Thursday,83,20.493827160493826,20.332148678570505,18.799872082496464,22.35130089146103,18.544178906253073,91.56626506024097,19.272619383511515,-14.914718787132822,210.0,25.301204819277107
weekday,Friday,111,27.40740740740741,17.753570496879963,16.597909217255694,9.336659507141931,8.240824548901779,84.68468468468468,16.868079104707814,-16.090569113244058,180.0,34.234234234234236
