entry_z,age_min,n_total,n_unresolved,p_unresolved,p_eventual_tp_given_unresolved
2.5,15,405,397,98.0246913580247,65.74307304785894
2.5,30,405,393,97.03703703703704,65.39440203562341
2.5,60,405,379,93.58024691358024,64.1160949868074
2.5,90,405,338,83.4567901234568,62.721893491124256
2.5,120,405,304,75.06172839506173,60.85526315789473
2.5,180,405,241,59.50617283950618,60.58091286307054
2.5,240,405,131,32.34567901234568,55.72519083969466
2.5,300,405,59,14.5679012345679,49.152542372881356
2.5,360,405,25,6.172839506172839,36.0
3.0,15,194,186,95.87628865979381,64.51612903225806
3.0,30,194,183,94.3298969072165,63.934426229508205
3.0,60,194,171,88.14432989690721,61.40350877192983
3.0,90,194,163,84.02061855670104,60.122699386503065
3.0,120,194,150,77.31958762886599,62.0
3.0,180,194,117,60.30927835051546,64.1025641025641
3.0,240,194,62,31.958762886597935,54.83870967741935
3.0,300,194,23,11.855670103092782,30.434782608695656
3.0,360,194,12,6.185567010309279,16.666666666666664
