entry_z,model,result,best_pnl,final_pnl,giveback,capture_ratio,conv_min,speed,prev_profitable_loser
2.5,TB-B,TIMEOUT,12.546029281417763,6.182414525407065,6.363614756010698,0.4927785825084908,100.0,early,False
2.5,TB-C-2.5%,TIMEOUT,12.200634460128278,5.96659289497752,6.234041565150758,0.4890395589242813,100.0,early,False
2.5,TB-C-5%,TIMEOUT,11.853147504574984,5.77214493759552,6.081002566979464,0.4869714930458457,100.0,early,False
2.5,TB-C-10%,TIMEOUT,11.158173593468412,5.3832490228315315,5.77492457063688,0.48244894002927946,100.0,early,False
2.5,TB-B,TIMEOUT,19.33915449757099,16.89844128408812,2.440713213482873,0.8737942129895375,250.0,slow,False
2.5,TB-C-2.5%,TIMEOUT,16.99542377410695,14.387296249650916,2.608127524456034,0.8465394238401047,250.0,slow,False
2.5,TB-C-5%,TIMEOUT,14.576564318044795,11.772405594872307,2.8041587231724883,0.8076255376789213,250.0,slow,False
2.5,TB-C-10%,TIMEOUT,9.7388454059205,6.542624285315121,3.1962211206053794,0.6718069763524214,250.0,slow,False
2.5,TB-B,TP_HIT,50.527013341234635,50.612970098661776,-0.08595675742714093,1.001701204004413,115.0,early,False
2.5,TB-C-2.5%,TP_HIT,49.35272245205353,49.4364854232884,-0.08376297123487575,1.0016972310152952,115.0,early,False
2.5,TB-C-5%,TP_HIT,48.08060964656724,48.16203234820672,-0.0814227016394824,1.0016934623383107,115.0,early,False
2.5,TB-C-10%,TP_HIT,45.53638403559472,45.61312619804343,-0.0767421624487099,1.0016852932896192,115.0,early,False
2.5,TB-B,TP_HIT,7.687762238266366,7.670368515478014,0.01739372278835205,0.9977374790934905,190.0,early,False
2.5,TB-C-2.5%,TP_HIT,8.411077330385655,8.393344531872803,0.01773279851285281,0.9978917327928026,190.0,early,False
2.5,TB-C-5%,TP_HIT,9.161122867321172,9.14302760481938,0.01809526250179161,0.9980247767916813,190.0,early,False
2.5,TB-C-10%,TP_HIT,10.66121394119213,10.642393750712454,0.018820190479676313,0.998234704735925,190.0,early,False
2.5,TB-B,TIMEOUT,12.010545890368562,-1.87621166028773,13.886757550656291,-0.15621368732226337,65.0,early,True
2.5,TB-C-2.5%,TIMEOUT,11.393095783883119,-2.18032601247846,13.573421796361579,-0.19137256930313787,65.0,early,True
2.5,TB-C-5%,TIMEOUT,10.785146859254525,-2.484151060691615,13.26929791994614,-0.23033075887696544,65.0,early,True
2.5,TB-C-10%,TIMEOUT,9.569249009997336,-3.0918011571179225,12.661050167115258,-0.32309757577504855,65.0,early,True
2.5,TB-B,TP_HIT,21.79125133551042,21.77297005868818,0.01828127682223979,0.9991610726460463,120.0,early,False
2.5,TB-C-2.5%,TP_HIT,22.068411954055517,22.05220002958193,0.016211924473587658,0.9992653787455419,120.0,early,False
2.5,TB-C-5%,TP_HIT,22.445167322980122,22.430876221466708,0.014291101513414617,0.9993632882612203,120.0,early,False
2.5,TB-C-10%,TP_HIT,23.198678060829213,23.188228605236137,0.01044945559307564,0.9995495667655857,120.0,early,False
2.5,TB-B,TIMEOUT,21.60332453686459,-9.657595045306572,31.260919582171162,-0.44704207580766325,120.0,early,True
2.5,TB-C-2.5%,TIMEOUT,19.95272789818563,-10.752694422189638,30.705422320375266,-0.5389084879550439,120.0,early,True
2.5,TB-C-5%,TIMEOUT,17.885050060098813,-11.986156061341656,29.87120612144047,-0.6701773839639694,120.0,early,True
2.5,TB-C-10%,TIMEOUT,13.749694383925089,-14.453079339645733,28.20277372357082,-1.0511564065411503,120.0,early,True
2.5,TB-B,TP_HIT,84.45204105436578,81.51612899760705,2.935912056758724,0.9652357477675556,355.0,slow,False
2.5,TB-C-2.5%,TP_HIT,81.32538797752429,79.58547863553301,1.7399093419912788,0.9786055820296593,355.0,slow,False
2.5,TB-C-5%,TP_HIT,76.73839114655686,76.15438201694826,0.584009129608603,0.9923896094134519,355.0,slow,False
2.5,TB-C-10%,TP_HIT,67.91482891082849,68.16688201694824,-0.25205310611974596,1.0037113118027683,355.0,slow,False
2.5,TB-B,TP_HIT,96.97098143181873,97.09978303256035,-0.1288016007416246,1.0013282489136421,5.0,early,False
2.5,TB-C-2.5%,TP_HIT,94.3947030246861,94.52037134430788,-0.1256683196217807,1.0013313069017116,5.0,early,False
2.5,TB-C-5%,TP_HIT,91.71346673413497,91.83562712260829,-0.12216038847331845,1.0013319787466703,5.0,early,False
2.5,TB-C-10%,TP_HIT,86.35099415303269,86.46613867920907,-0.11514452617637971,1.0013334476030735,5.0,early,False
2.5,TB-B,TP_HIT,44.53381321661318,44.54961663101899,-0.015803414405809235,1.0003548632660073,235.0,slow,False
2.5,TB-C-2.5%,TP_HIT,43.53532685671955,43.55094137507021,-0.015614518350659523,1.000358663170304,235.0,slow,False
2.5,TB-C-5%,TP_HIT,42.523711190529625,42.53908144054982,-0.015370250020197318,1.0003614512842336,235.0,slow,False
2.5,TB-C-10%,TP_HIT,40.50047985814976,40.51536157150903,-0.014881713359272908,1.0003674453589537,235.0,slow,False
2.5,TB-B,TIMEOUT,38.41677336407977,38.40794483395047,0.008828530129306955,0.99977019074336,185.0,early,False
2.5,TB-C-2.5%,TIMEOUT,38.58283076420702,38.57306342439401,0.009767339813009812,0.9997468475065321,185.0,early,False
2.5,TB-C-5%,TIMEOUT,38.742020700987766,38.731304539841275,0.010716161146490322,0.9997233969485175,185.0,early,False
2.5,TB-C-10%,TIMEOUT,39.060400574549234,39.04778677073581,0.012613803813422919,0.9996770692663699,185.0,early,False
2.5,TB-B,TIMEOUT,30.73056380185678,22.495743854984166,8.234819946872612,0.7320316021544956,65.0,early,False
2.5,TB-C-2.5%,TIMEOUT,29.689910839536036,20.988244712148937,8.7016661273871,0.7069150468515493,65.0,early,False
2.5,TB-C-5%,TIMEOUT,28.780796588225737,19.65197065082275,9.128825937402986,0.6828153831872186,65.0,early,False
2.5,TB-C-10%,TIMEOUT,26.962568085605152,16.979422528170396,9.983145557434757,0.6297405526899871,65.0,early,False
2.5,TB-B,TIMEOUT,1.1923710130921954,-24.202826991556208,25.395198004648403,-20.298067233948114,125.0,early,True
2.5,TB-C-2.5%,TIMEOUT,1.0471500566759087,-23.68426104574265,24.731411102418562,-22.617829120810423,125.0,early,True
2.5,TB-C-5%,TIMEOUT,0.9388066250018348,-23.140654428873095,24.07946105387493,-24.649010576409033,125.0,early,True
2.5,TB-C-10%,TIMEOUT,0.7221197616536834,-22.053441195133985,22.77556095678767,-30.539866606933334,125.0,early,True
