date,ar_pips,ar_high,ar_low,session_bars
2022-09-11,151.0,1.91211,1.89701,50
2022-09-12,209.2,1.92072,1.8998,91
2022-09-13,187.8,1.93032,1.91154,91
2022-09-14,113.1,1.92555,1.91424,91
2022-09-15,189.2,1.92416,1.90524,91
2022-09-18,183.7,1.92174,1.90337,82
2022-09-19,246.9,1.93774,1.91305,91
2022-09-20,134.0,1.93237,1.91897,91
2022-09-21,243.9,1.93854,1.91415,91
2022-09-22,438.1,1.93165,1.88784,91
2022-09-25,1002.5,1.90652,1.80627,82
2022-09-26,202.9,1.9069,1.88661,91
2022-09-27,466.6,1.92493,1.87827,91
2022-09-28,519.1,1.94498,1.89307,92
2022-09-29,610.5,1.99657,1.93552,91
2022-10-02,272.4,1.99698,1.96974,82
2022-10-03,303.2,2.00536,1.97504,91
2022-10-04,359.8,2.00605,1.97007,91
2022-10-05,251.0,1.98049,1.95539,91
2022-10-06,225.9,1.98832,1.96573,91
2022-10-09,184.6,1.99063,1.97217,82
2022-10-10,115.6,1.99217,1.98061,96
2022-10-11,106.1,1.96728,1.95667,96
2022-10-12,56.4,1.97997,1.97433,96
2022-10-13,125.5,2.00996,1.99741,96
2022-10-14,32.9,2.01106,2.00777,14
2022-10-16,115.5,2.02064,2.00909,84
2022-10-17,171.4,2.01733,2.00019,96
2022-10-18,77.6,1.99439,1.98663,96
2022-10-19,220.0,1.99079,1.96879,96
2022-10-20,89.6,1.98161,1.97265,96
2022-10-21,42.4,1.96394,1.9597,14
2022-10-23,108.1,1.97423,1.96342,84
2022-10-24,133.3,1.9857,1.97237,96
2022-10-25,115.0,1.99777,1.98627,96
2022-10-26,108.5,1.9964,1.98555,96
2022-10-27,150.7,1.98681,1.97174,96
2022-10-28,26.1,1.99904,1.99643,14
2022-10-30,112.1,2.00067,1.98946,84
2022-10-31,77.4,1.97281,1.96507,96
2022-11-01,90.6,1.96917,1.96011,96
2022-11-02,94.4,1.96191,1.95247,96
2022-11-03,151.5,1.94152,1.92637,96
2022-11-04,20.9,1.91912,1.91703,14
2022-11-06,115.2,1.92679,1.91527,96
2022-11-07,58.6,1.94096,1.9351,96
2022-11-08,100.5,1.94357,1.93352,96
2022-11-09,161.4,1.94241,1.92627,96
2022-11-10,68.1,1.94657,1.93976,96
2022-11-13,207.3,1.9422,1.92147,96
2022-11-14,70.9,1.93044,1.92335,96
2022-11-15,97.4,1.93151,1.92177,96
2022-11-16,151.2,1.94106,1.92594,96
2022-11-17,73.5,1.93788,1.93053,96
2022-11-20,80.6,1.93215,1.92409,96
2022-11-21,48.1,1.93978,1.93497,96
2022-11-22,155.9,1.93653,1.92094,96
2022-11-23,84.7,1.93561,1.92714,96
2022-11-24,95.3,1.93682,1.92729,96
2022-11-27,90.0,1.94358,1.93458,96
2022-11-28,110.7,1.94147,1.9304,96
2022-11-29,129.8,1.92987,1.91689,96
