date,state,bias_direction,regime,asian_range_pips,tier,actual_mfe,direction_correct,deficit_9am,squeeze_flag,required_velocity,pace_9h,pace_10h,pace_11h,pace_12h,pace_13h
2022-10-11,EXHAUSTION,LONG,FAILED,52.4,T3,43.9,1,0.0,0,17.42,1.103,0.67,0.451,0.335,0.276
2022-10-13,9/9_LOCK,SHORT,CONFIRMED,26.9,T2,69.2,1,0.0,0,0.0,0.743,0.559,0.392,0.301,0.261
2022-10-14,9/9_LOCK,SHORT,CONFIRMED,46.9,T3,62.0,1,0.0,0,11.05,0.397,0.453,0.433,0.637,0.525
2022-10-18,EXHAUSTION,LONG,FAILED,43.1,T3,43.0,1,0.0,0,12.95,1.861,1.087,0.732,0.544,0.448
2022-10-20,EXHAUSTION,LONG,FAILED,31.2,T3,66.4,1,0.0,0,2.32,1.474,0.864,0.582,0.432,0.548
2022-10-25,EXHAUSTION,SHORT,FAILED,31.4,T3,25.6,0,0.0,0,10.58,1.172,0.772,0.519,0.386,0.318
2022-10-26,9/9_LOCK,LONG,CONFIRMED,24.2,T2,84.0,1,0.0,0,0.0,1.421,2.802,2.251,1.78,1.543
2022-10-28,9/9_LOCK,SHORT,CONFIRMED,39.9,T3,38.1,0,0.0,0,12.33,0.301,0.762,0.735,0.546,0.449
2022-10-31,9/9_LOCK,SHORT,CONFIRMED,23.5,T2,55.3,1,0.0,0,0.69,0.374,0.628,0.837,0.644,0.558
2022-11-01,EXHAUSTION,LONG,FAILED,36.2,T3,74.5,1,0.0,0,3.2,3.26,1.863,1.453,1.08,0.889
2022-11-08,EXHAUSTION,SHORT,FAILED,27.4,T2,48.9,1,0.0,0,3.92,1.46,1.164,1.019,0.915,0.793
2022-11-09,9/9_LOCK,SHORT,CONFIRMED,29.1,T2,48.8,1,0.0,0,4.79,0.83,0.494,0.346,0.55,0.571
2022-11-10,9/9_LOCK,LONG,CONFIRMED,27.4,T2,149.3,1,0.0,0,0.0,1.915,1.14,0.798,0.614,0.532
