date,direction,session_pnl_pips,n_lots,tier,exit_reason,year
2024-01-09,-1,-2.8249999999997435,2,T1,tp1,2024
2024-01-10,1,-3.9750000000029466,4,T1,tp2,2024
2024-01-25,1,-12.750000000005922,2,T1,sl_signal2,2024
2024-01-26,-1,-25.15000000000311,8,T1,sl_signal2,2024
2024-01-29,-1,7.849999999998026,2,T1,tp2,2024
2024-02-01,-1,-1.6999999999981448,6,T1,sl_signal2,2024
2024-02-02,1,-1.5750000000004363,2,T1,tp1,2024
2024-02-05,-1,13.174999999998494,2,T1,tp2,2024
2024-02-06,1,-14.27499999999926,2,T1,hard_exit_12pm,2024
2024-02-07,1,-1.9999999999976694,2,T1,tp1,2024
2024-02-09,-1,5.975000000002396,2,T1,tp2,2024
2024-02-14,-1,7.699999999997043,2,T1,tp2,2024
2024-02-20,1,13.174999999998494,2,T1,tp2,2024
2024-02-21,-1,-14.250000000004647,2,T1,sl_signal2,2024
2024-02-27,1,-13.250000000002537,2,T1,sl_signal2,2024
2024-02-29,1,-6.149999999996101,4,T1,tp2,2024
2024-03-08,-1,8.974999999999845,2,T1,tp2,2024
2024-04-01,-1,-12.749999999999261,2,T1,sl_signal2,2024
2024-04-11,-1,-5.300000000001525,2,T1,tp1,2024
2024-04-12,-1,28.54999999999797,6,T1,tp2,2024
2024-04-23,1,27.476000000003722,6,T1,opposite_p90_exit,2024
2024-04-24,-1,10.025000000002283,2,T1,tp2,2024
2024-04-26,1,-5.3500000000019625,4,T1,tp2,2024
2024-05-02,1,-21.249999999999435,2,T1,opposite_p90_exit,2024
2024-05-03,1,11.974999999999515,2,T1,tp2,2024
2024-05-07,-1,-2.3750000000012363,2,T1,tp1,2024
2024-05-14,-1,-12.749999999999261,2,T1,sl_signal2,2024
2024-05-17,-1,-14.624999999999332,2,T1,hard_exit_12pm,2024
2024-05-23,-1,-19.099999999998673,2,T1,opposite_p90_exit,2024
2024-05-29,-1,-1.9750000000031669,4,T1,sl_signal2,2024
2024-05-30,1,9.424999999998352,2,T1,tp2,2024
2024-06-04,-1,12.27499999999704,2,T1,tp2,2024
2024-06-11,-1,10.924999999999297,2,T1,tp2,2024
2024-06-12,1,5.675000000000431,2,T1,tp2,2024
2024-06-14,-1,3.450000000006508,10,T1,tp2,2024
2024-06-17,-1,-15.67500000000177,2,T1,opposite_p90_exit,2024
2024-06-19,-1,-10.599999999996388,4,T1,hard_exit_12pm,2024
2024-06-20,-1,-11.149999999997661,2,T1,hard_exit_12pm,2024
2024-06-21,-1,24.09999999999779,4,T1,tp2,2024
2024-07-02,-1,-13.000000000000899,2,T1,sl_signal2,2024
2024-07-17,1,22.649999999997064,6,T1,tp2,2024
2024-07-18,-1,6.049999999999557,2,T1,tp2,2024
2024-07-19,-1,10.699999999998933,2,T1,tp2,2024
2024-07-23,-1,7.4749999999989,2,T1,tp2,2024
2024-07-24,-1,8.375000000000355,2,T1,tp2,2024
2024-07-25,1,1.8999999999989043,4,T1,tp1,2024
2024-07-30,1,7.174999999999155,2,T1,tp2,2024
2024-08-01,-1,18.54999999999696,4,T1,tp2,2024
2024-08-06,-1,16.799999999998818,4,T1,tp2,2024
