time,open,high,low,close,tick_volume,spread,real_volume
2021-02-05,59.27,59.66,58.95,59.41,20668,0,0
2021-02-08,59.62,60.81,59.61,60.8,14040,0,0
2021-02-09,60.9,61.38,60.15,61.31,16062,0,0
2021-02-10,61.23,61.77,60.96,61.21,15360,0,0
2021-02-11,61.13,61.57,60.81,60.92,12628,0,0
2021-02-12,60.85,62.9,60.42,62.74,15409,0,0
2021-02-15,63.14,63.8,62.66,62.82,7778,0,0
2021-02-16,62.95,63.2,62.27,62.82,9766,0,0
2021-02-17,62.47,64.22,62.25,64.06,8676,0,0
2021-02-18,64.35,64.78,62.57,62.8,10610,0,0
2021-02-19,62.58,63.18,61.45,61.98,15924,0,0
2021-02-22,62.83,64.94,62.43,64.81,13862,0,0
2021-02-23,64.48,65.81,63.58,64.0,14444,0,0
2021-02-24,64.19,66.37,63.88,66.33,34838,0,0
2021-02-25,66.35,66.74,65.56,65.9,41541,0,0
2021-02-26,65.79,65.93,64.15,64.28,50215,0,0
2021-03-01,65.51,65.77,62.96,62.96,33834,0,0
2021-03-02,62.99,63.98,62.17,62.17,44498,0,0
2021-03-03,62.29,64.54,62.28,63.58,42841,0,0
2021-03-04,63.96,67.54,63.18,66.64,59417,0,0
2021-03-05,66.9,69.38,66.45,69.35,54686,0,0
2021-03-08,70.61,71.06,67.58,67.59,48494,0,0
2021-03-09,67.83,69.06,66.84,66.84,47318,0,0
2021-03-10,67.06,68.15,66.27,67.79,46215,0,0
2021-03-11,68.07,69.49,67.7,69.08,35481,0,0
2021-03-12,69.1,69.51,68.68,68.76,31083,0,0
2021-03-15,69.16,69.69,67.52,68.32,37790,0,0
2021-03-16,68.49,68.57,67.03,68.04,33166,0,0
2021-03-17,68.11,68.51,66.69,67.38,37055,0,0
2021-03-18,67.57,67.84,61.29,62.41,56698,0,0
2021-03-19,62.79,64.73,61.98,64.26,62683,0,0
2021-03-22,63.86,64.93,63.32,64.16,44035,0,0
2021-03-23,64.22,64.24,60.26,60.28,58383,0,0
2021-03-24,60.58,64.38,60.51,63.96,55061,0,0
2021-03-25,63.78,64.01,60.85,61.38,59047,0,0
2021-03-26,61.83,64.73,61.78,64.23,46137,0,0
2021-03-29,64.34,65.29,62.97,64.83,52738,0,0
2021-03-30,65.27,65.29,63.44,63.8,46627,0,0
2021-03-31,63.99,64.72,62.44,62.92,41944,0,0
2021-04-01,63.1,65.06,62.29,64.41,57688,0,0
2021-04-05,64.56,64.65,61.15,62.0,36312,0,0
2021-04-06,62.22,64.16,61.96,62.4,40502,0,0
2021-04-07,62.51,63.39,61.49,62.73,38887,0,0
2021-04-08,62.87,63.23,62.2,62.94,33355,0,0
2021-04-09,63.02,63.24,62.35,62.77,24551,0,0
2021-04-12,63.07,64.07,62.2,62.92,35255,0,0
2021-04-13,63.04,63.94,62.95,63.72,28635,0,0
2021-04-14,63.76,66.63,63.63,65.8,33555,0,0
2021-04-15,66.0,66.71,65.68,66.46,29438,0,0
2021-04-16,66.5,67.05,66.12,66.33,27963,0,0
2021-04-19,66.05,66.85,65.83,66.57,26555,0,0
2021-04-20,66.75,67.55,65.04,65.63,38294,0,0
2021-04-21,65.76,65.96,64.4,64.4,38510,0,0
2021-04-22,64.53,65.28,64.05,64.87,33496,0,0
2021-04-23,65.14,65.66,64.53,65.33,32387,0,0
2021-04-26,65.22,65.58,63.94,65.01,33836,0,0
2021-04-27,65.17,66.2,65.06,65.85,29584,0,0
2021-04-28,65.95,67.33,65.5,66.37,31443,0,0
2021-04-29,66.64,68.37,66.58,67.74,32343,0,0
2021-04-30,67.78,67.89,66.18,66.49,24957,0,0
2021-05-03,66.79,67.71,65.99,67.34,17507,0,0
2021-05-04,67.59,69.27,67.24,69.06,30395,0,0
2021-05-05,69.22,69.78,68.21,68.36,30402,0,0
2021-05-06,68.33,69.21,67.8,67.92,32768,0,0
2021-05-07,68.11,68.48,67.23,68.05,28784,0,0
2021-05-10,68.76,69.05,67.28,68.01,29342,0,0
2021-05-11,68.23,68.63,67.03,68.42,34579,0,0
2021-05-12,68.66,69.76,68.07,68.73,37599,0,0
2021-05-13,68.76,68.92,66.36,66.72,40351,0,0
2021-05-14,66.88,68.6,66.39,68.54,30778,0,0
2021-05-17,68.63,69.38,67.99,69.17,30206,0,0
2021-05-18,69.3,69.97,67.11,68.21,34826,0,0
2021-05-19,68.24,68.29,65.21,66.35,48530,0,0
2021-05-20,66.48,67.01,64.62,64.66,40934,0,0
2021-05-21,65.12,66.83,64.5,66.62,37488,0,0
2021-05-24,66.43,68.54,66.41,68.24,33547,0,0
2021-05-25,68.4,68.76,67.74,68.25,31608,0,0
2021-05-26,68.35,68.9,67.84,68.59,27619,0,0
2021-05-27,68.6,69.19,67.91,69.13,23827,0,0
2021-05-28,69.36,69.67,68.51,68.89,25086,0,0
