time,open,high,low,close,volume
2015-10-10T20:00:00,80.243,81.938,79.243,81.328,0
2015-10-17T20:00:00,81.195,82.673,80.247,81.921,0
2015-10-24T20:00:00,81.873,82.254,80.226,81.71,0
2015-10-31T20:00:00,81.209,81.857,79.892,80.323,0
2015-11-07T19:00:00,80.379,81.058,79.831,80.143,0
2015-11-14T19:00:00,80.057,81.16,79.442,80.54,0
2015-11-21T19:00:00,80.577,80.848,79.666,80.175,0
2015-11-28T19:00:00,80.254,83.362,79.971,83.026,0
2015-12-05T19:00:00,82.984,83.044,79.583,81.135,0
2015-12-12T19:00:00,81.254,83.105,80.914,81.535,0
2015-12-19T19:00:00,81.548,82.779,81.466,82.109,0
2015-12-26T19:00:00,82.083,82.86,81.942,82.024,0
2016-01-02T19:00:00,82.081,82.236,76.74,76.803,0
2016-01-09T19:00:00,76.69,77.943,74.594,75.566,0
2016-01-16T19:00:00,75.092,77.352,73.635,77.016,0
2016-01-23T19:00:00,77.056,79.074,75.732,78.45,0
2016-01-30T19:00:00,78.646,79.371,77.356,77.414,0
2016-02-06T19:00:00,77.284,78.035,73.193,74.931,0
2016-02-13T19:00:00,74.935,76.522,74.151,74.598,0
2016-02-20T19:00:00,74.826,76.599,73.532,75.522,0
2016-02-27T19:00:00,75.038,77.795,73.939,77.539,0
2016-03-05T19:00:00,77.326,77.431,74.984,76.738,0
2016-03-12T19:00:00,76.524,76.906,74.421,75.728,0
2016-03-19T20:00:00,75.679,75.953,74.862,75.495,0
2016-03-26T20:00:00,75.549,78.197,75.524,77.007,0
2016-04-02T20:00:00,76.853,77.082,72.874,73.599,0
2016-04-09T20:00:00,73.497,75.733,73.125,75.226,0
2016-04-16T20:00:00,74.506,77.113,74.113,76.55,0
2016-04-23T20:00:00,76.567,77.347,74.169,74.183,0
2016-04-30T20:00:00,74.092,74.893,72.529,73.204,0
2016-05-07T20:00:00,73.138,74.703,72.99,73.478,0
2016-05-14T20:00:00,73.466,74.816,73.306,74.476,0
2016-05-21T20:00:00,74.488,74.708,73.267,73.818,0
2016-05-28T20:00:00,73.864,75.397,73.803,74.075,0
2016-06-04T20:00:00,73.982,76.349,73.743,75.467,0
2016-06-11T20:00:00,75.369,75.388,72.302,73.431,0
2016-06-18T20:00:00,74.045,77.667,69.108,72.715,0
2016-06-25T20:00:00,71.851,73.809,71.123,73.521,0
2016-07-02T20:00:00,73.537,74.258,71.238,73.412,0
2016-07-09T20:00:00,73.37,76.829,73.276,74.494,0
2016-07-16T20:00:00,75.196,75.768,73.712,74.316,0
2016-07-23T20:00:00,74.207,74.999,73.106,73.563,0
2016-07-30T20:00:00,73.647,74.173,72.201,72.616,0
2016-08-06T20:00:00,72.739,73.884,72.336,72.897,0
2016-08-13T20:00:00,72.696,73.43,72.211,72.819,0
2016-08-20T20:00:00,72.973,74.005,72.658,73.643,0
2016-08-27T20:00:00,73.772,75.98,73.48,75.831,0
2016-09-03T20:00:00,75.777,76.048,75.025,75.178,0
2016-09-10T20:00:00,75.11,75.355,74.034,74.301,0
2016-09-17T20:00:00,74.179,74.98,72.959,73.162,0
2016-09-24T20:00:00,73.169,74.135,72.637,73.824,0
2016-10-01T20:00:00,73.638,74.712,73.487,73.77,0
2016-10-08T20:00:00,74.081,74.147,72.728,73.796,0
2016-10-15T20:00:00,73.949,75.256,73.66,74.333,0
2016-10-22T20:00:00,74.326,75.378,74.126,75.049,0
