Sunday_Date,Asian_Open,Asian_High,Asian_Low,Asian_Close,Asian_Range,Asian_Direction,Next_Monday_Direction,Correlation
2022-01-30,2601.85,2636.14,2538.86,2612.78,97.27999999999975,Bullish,Bullish,True
2022-02-06,3032.32,3042.32,2947.18,3001.04,95.14000000000033,Bearish,Bearish,True
2022-02-13,2881.45,2949.19,2827.73,2920.99,121.46000000000004,Bullish,Bullish,True
2022-02-20,2736.25,2764.23,2570.75,2632.42,193.48000000000002,Bearish,Bearish,True
2022-02-27,2813.18,2833.07,2553.14,2728.36,279.9300000000003,Bearish,Bullish,False
2022-03-06,2647.5,2671.83,2583.7,2643.44,88.13000000000011,Bearish,Bullish,False
2022-03-13,2583.12,2600.42,2529.42,2584.88,71.0,Bullish,Bullish,True
2022-03-20,2952.25,2961.98,2814.93,2920.11,147.05000000000018,Bearish,Bullish,False
2022-03-27,3135.25,3252.62,3122.26,3145.69,130.35999999999967,Bullish,Bullish,True
2022-04-03,3462.28,3517.4,3409.31,3473.05,108.09000000000015,Bullish,Bearish,False
2022-04-10,3220.8,3304.41,3219.42,3240.78,84.98999999999978,Bullish,Bearish,False
2022-04-17,3029.42,3082.41,3016.65,3037.91,65.75999999999976,Bullish,Bearish,False
2022-04-24,2957.87,2965.4,2906.4,2940.48,59.0,Bearish,Bearish,True
2022-05-01,2785.13,2824.79,2709.16,2777.72,115.63000000000011,Bearish,Bearish,True
2022-05-08,2673.19,2673.33,2478.43,2534.4,194.9000000000001,Bearish,Bearish,True
2022-05-15,1992.76,2131.98,1989.91,2029.41,142.06999999999994,Bullish,Bearish,False
2022-05-22,1973.2,2034.33,1911.81,1918.68,122.51999999999998,Bearish,Bullish,False
2022-05-29,1791.92,1823.78,1704.08,1730.97,119.70000000000005,Bearish,Bullish,False
2022-06-05,1776.59,1827.4,1721.82,1743.62,105.58000000000015,Bearish,Bullish,False
2022-06-12,1522.03,1549.57,1368.6,1377.35,180.97000000000003,Bearish,Bearish,True
2022-06-19,909.15,1156.01,848.61,892.6,307.4,Bearish,Bullish,False
2022-06-26,1205.54,1277.38,1154.14,1187.09,123.24000000000001,Bearish,Bullish,False
2022-07-03,1062.18,1085.14,987.13,1005.2,98.0100000000001,Bearish,Bullish,False
2022-07-10,1217.63,1223.6,1128.72,1140.05,94.87999999999988,Bearish,Bearish,True
2022-07-17,1339.66,1383.96,1274.72,1297.99,109.24000000000001,Bearish,Bullish,False
2022-07-24,1522.05,1626.39,1461.97,1548.76,164.42000000000007,Bullish,Bullish,True
2022-07-31,1700.98,1752.33,1618.12,1637.68,134.21000000000004,Bearish,Bearish,True
