Date,Directional_Bias,London_High,London_Low,London_Range,Fib_132_Level,Week_High,Week_Low,Violation_Depth,Day_of_Violation,Session_of_Violation,Price_at_Violation,Reaction_4hr_Direction,Reaction_4hr_Magnitude,Rekey_Success
2020-01-13,Bearish,1.13936,1.14313,0.01256,1.14715,1.14746,1.10946,0.00031000000000003247,TBD,TBD,1.14746,TBD,TBD,TBD
2020-01-20,Bearish,1.14715,1.1496,0.0082,1.15223,1.15351,1.12764,0.0012799999999999478,TBD,TBD,1.15351,TBD,TBD,TBD
2020-02-03,Bullish,1.13644,1.14168,0.0075,1.13179,1.15428,1.13054,0.0012499999999999734,TBD,TBD,1.13054,TBD,TBD,TBD
2020-02-17,Bullish,1.12205,1.12966,0.01087,1.11531,1.13808,1.11527,4.0000000000040004e-05,TBD,TBD,1.11527,TBD,TBD,TBD
2020-03-02,Bullish,1.13271,1.13672,0.00573,1.12916,1.14634,1.12916,,TBD,TBD,1.12916,TBD,TBD,TBD
2020-03-09,Bearish,1.14004,1.14152,0.00494,1.1431,1.1431,1.12827,,TBD,TBD,1.1431,TBD,TBD,TBD
2020-03-16,Bearish,1.13693,1.138,0.00358,1.13915,1.13915,1.1284,,TBD,TBD,1.13915,TBD,TBD,TBD
2020-04-06,Bullish,1.13765,1.14547,0.01117,1.13072,1.16425,1.13023,0.0004899999999998794,TBD,TBD,1.13023,TBD,TBD,TBD
2020-04-13,Bearish,1.13067,1.13405,0.01127,1.13766,1.13918,1.10385,0.0015200000000001879,TBD,TBD,1.13918,TBD,TBD,TBD
2020-04-27,Bearish,1.14415,1.14864,0.01495,1.15342,1.15599,1.10857,0.0025700000000001832,TBD,TBD,1.15599,TBD,TBD,TBD
2020-05-04,Bullish,1.13188,1.1361,0.00603,1.12814,1.14623,1.12814,,TBD,TBD,1.12814,TBD,TBD,TBD
2020-05-11,Bearish,1.1336,1.13642,0.00941,1.13944,1.13944,1.1188,,TBD,TBD,1.13944,TBD,TBD,TBD
2020-05-25,Bullish,1.13729,1.16018,0.03269,1.11703,1.21509,1.11703,,TBD,TBD,1.11703,TBD,TBD,TBD
2020-06-01,Bullish,1.1403,1.14445,0.00593,1.13662,1.15443,1.13662,,TBD,TBD,1.13662,TBD,TBD,TBD
2020-06-08,Bearish,1.14971,1.1541,0.01463,1.15878,1.15878,1.11488,,TBD,TBD,1.15878,TBD,TBD,TBD
2020-06-22,Bullish,1.13719,1.1446,0.01058,1.13064,1.15351,1.13064,,TBD,TBD,1.13064,TBD,TBD,TBD
2020-06-29,Bullish,1.11819,1.12467,0.00926,1.11245,1.14022,1.1122,0.00024999999999986144,TBD,TBD,1.1122,TBD,TBD,TBD
2020-07-13,Bearish,1.11774,1.11906,0.00443,1.12048,1.12048,1.1072,,TBD,TBD,1.12048,TBD,TBD,TBD
2020-07-27,Bullish,1.10486,1.10909,0.00604,1.10111,1.1173,1.10111,,TBD,TBD,1.10111,TBD,TBD,TBD
2020-08-03,Bullish,1.10472,1.11188,0.01023,1.09838,1.12907,1.09671,0.0016699999999998383,TBD,TBD,1.09671,TBD,TBD,TBD
2020-08-17,Bullish,1.09987,1.10418,0.00616,1.09605,1.11452,1.09605,,TBD,TBD,1.09605,TBD,TBD,TBD
2020-08-24,Bullish,1.10004,1.10753,0.0107,1.09341,1.12551,1.09254,0.0008699999999999264,TBD,TBD,1.09254,TBD,TBD,TBD
2020-08-31,Bullish,1.09895,1.10384,0.00699,1.09462,1.11558,1.09426,0.00035999999999991594,TBD,TBD,1.09426,TBD,TBD,TBD
2020-09-07,Bearish,1.10069,1.10431,0.01205,1.10816,1.10981,1.07986,0.0016499999999999293,TBD,TBD,1.10981,TBD,TBD,TBD
2020-09-14,Bullish,1.11674,1.12393,0.01027,1.11037,1.14119,1.10869,0.0016800000000001258,TBD,TBD,1.10869,TBD,TBD,TBD
2020-09-21,Bullish,1.09732,1.10034,0.00432,1.09464,1.10759,1.09389,0.0007500000000000284,TBD,TBD,1.09389,TBD,TBD,TBD
2020-09-28,Bullish,1.10736,1.1162,0.01264,1.09952,1.12772,1.09837,0.0011499999999999844,TBD,TBD,1.09837,TBD,TBD,TBD
2020-10-05,Bearish,1.10146,1.10379,0.00776,1.10627,1.10627,1.09171,,TBD,TBD,1.10627,TBD,TBD,TBD
2020-10-12,Bearish,1.09464,1.09733,0.00898,1.10021,1.10139,1.07326,0.001180000000000181,TBD,TBD,1.10139,TBD,TBD,TBD
