Metric,Count,Average Range (pips),Note,
Monday London Session,313,0.007830543130990415,All data from EURUSD_Monday_Fibonacci,
AVERAGE RANGE BY YEAR,,,,
Year,Session Count,Average Range (pips),,
2020,52,0.008951153846153847,,
2021,52,0.007678846153846156,,
2022,52,0.007447884615384617,,
2023,52,0.007719807692307693,,
2024,53,0.0075686792452830205,,
2025,52,0.007621923076923077,,
AVERAGE RANGE BY QUARTER,,,,
Quarter,Session Count,Average Range (pips),,
1,78,0.007742307692307693,,
2,78,0.00822871794871795,,
3,79,0.008029620253164556,,
4,78,0.007318974358974362,,
Month,Sessions,Avg Range (pips),Failures,Failure Rate
January,27,0.008409259259259259,2,0.07407407407407407
February,24,0.007326249999999999,2,0.08333333333333333
March,27,0.007445185185185187,1,0.037037037037037035
April,25,0.007567599999999999,2,0.08
May,27,0.008016296296296297,2,0.07407407407407407
June,26,0.009085,4,0.15384615384615385
July,26,0.007545769230769231,2,0.07692307692307693
August,27,0.007993333333333333,1,0.037037037037037035
September,26,0.008551153846153847,5,0.19230769230769232
October,26,0.006780769230769229,1,0.038461538461538464
November,26,0.007516153846153848,2,0.07692307692307693
December,26,0.00766,4,0.15384615384615385
• Other weekdays: Data may be available in EURUSD_RAW_DATA but requires parsing,,,,
FAILURE PATTERN ANALYSIS BY TEMPORAL PERIOD,,,,
Failures by Year,,,,
Year,Failure Count,Total Sessions,Failure Rate (%),
2020,5,52,9.615384615384617,
2021,4,52,7.6923076923076925,
2022,6,52,11.538461538461538,
2023,3,52,5.769230769230769,
2024,4,53,7.547169811320755,
2025,6,52,11.538461538461538,
Failures by Quarter,,,,
Quarter,Failure Count,Total Sessions,Failure Rate (%),
2020-Q1,0,0,0,
2020-Q2,0,0,0,
2020-Q3,0,0,0,
2020-Q4,0,0,0,
2021-Q1,1,0,0,
2021-Q2,1,0,0,
2021-Q3,1,0,0,
2021-Q4,1,0,0,
2022-Q2,1,0,0,
2022-Q3,3,0,0,
2022-Q4,2,0,0,
2023-Q1,1,0,0,
2023-Q2,1,0,0,
2023-Q3,1,0,0,
2024-Q1,1,0,0,
2024-Q2,2,0,0,
2024-Q4,1,0,0,
2025-Q1,2,0,0,
2025-Q2,1,0,0,
2025-Q3,2,0,0,
January,0,0,0,
February,0,0,0,
March,0,0,0,
April,0,0,0,
May,0,0,0,
June,0,0,0,
July,0,0,0,
August,0,0,0,
September,0,0,0,
October,0,0,0,
November,0,0,0,
December,0,0,0,
August,2,1,200,
September,5,1,500,
October,1,1,100,
November,2,1,200,
December,3,1,300,
