date,ar_pips,ar_high,ar_low,session_bars
2022-09-28,126.7,0.65248,0.63981,66
2022-09-29,132.4,0.65238,0.63914,91
2022-09-30,115.0,0.65101,0.63951,45
2022-10-02,124.6,0.65218,0.63972,46
2022-10-03,124.9,0.65473,0.64224,91
2022-10-04,109.9,0.65264,0.64165,91
2022-10-05,151.4,0.65407,0.63893,91
2022-10-06,186.5,0.65407,0.63542,91
2022-10-07,74.4,0.64323,0.63579,45
2022-10-09,105.9,0.63804,0.62745,46
2022-10-10,99.7,0.63804,0.62807,96
2022-10-11,48.8,0.6303,0.62542,96
2022-10-12,50.5,0.62906,0.62401,96
2022-10-13,44.2,0.63116,0.62674,96
2022-10-14,144.3,0.63433,0.6199,50
2022-10-16,27.0,0.6229,0.6202,48
2022-10-17,103.7,0.63141,0.62104,96
2022-10-18,48.0,0.63252,0.62772,96
2022-10-19,71.1,0.63242,0.62531,96
2022-10-20,54.9,0.62833,0.62284,96
2022-10-21,130.0,0.63911,0.62611,50
2022-10-23,55.4,0.64105,0.63551,48
2022-10-24,73.8,0.6368,0.62942,96
2022-10-25,90.2,0.64026,0.63124,96
2022-10-26,128.7,0.65018,0.63731,96
2022-10-27,61.8,0.64997,0.64379,96
2022-10-28,67.0,0.64765,0.64095,50
2022-10-30,22.1,0.64151,0.6393,48
2022-10-31,42.1,0.64255,0.63834,96
2022-11-01,62.2,0.64466,0.63844,96
2022-11-02,102.7,0.64277,0.6325,96
2022-11-03,84.3,0.63682,0.62839,96
2022-11-04,192.3,0.64795,0.62872,50
2022-11-06,45.3,0.64492,0.64039,60
2022-11-07,77.8,0.64904,0.64126,96
2022-11-08,55.7,0.65167,0.6461,96
2022-11-09,96.2,0.65182,0.6422,96
2022-11-10,219.9,0.66315,0.64116,96
2022-11-11,128.8,0.67126,0.65838,38
2022-11-13,43.0,0.67109,0.66679,60
2022-11-14,32.9,0.67047,0.66718,96
2022-11-15,85.4,0.67717,0.66863,96
2022-11-16,43.7,0.67656,0.67219,96
2022-11-17,75.3,0.67311,0.66558,96
2022-11-18,54.4,0.67251,0.66707,38
2022-11-20,46.0,0.66828,0.66368,60
2022-11-21,69.3,0.66584,0.65891,96
2022-11-22,54.5,0.66598,0.66053,96
2022-11-23,123.9,0.6758,0.66341,96
2022-11-24,18.3,0.67697,0.67514,96
2022-11-25,35.8,0.67809,0.67451,38
2022-11-27,62.2,0.67277,0.66655,60
2022-11-28,55.9,0.66961,0.66402,96
2022-11-29,40.1,0.67095,0.66694,96
2022-11-30,129.1,0.68165,0.66874,96
2022-12-01,34.9,0.68285,0.67936,96
2022-12-02,26.3,0.68196,0.67933,38
2022-12-04,70.7,0.68446,0.67739,60
2022-12-05,158.4,0.68507,0.66923,96
2022-12-06,55.8,0.67377,0.66819,96
2022-12-07,42.3,0.67282,0.66859,96
2022-12-08,93.4,0.68002,0.67068,96
2022-12-09,16.7,0.67976,0.67809,38
2022-12-11,40.7,0.67977,0.6757,60
2022-12-12,44.1,0.6782,0.67379,96
2022-12-13,117.9,0.68578,0.67399,96
2022-12-14,44.3,0.68698,0.68255,96
2022-12-15,155.3,0.68443,0.6689,96
2022-12-16,45.9,0.67317,0.66858,38
2022-12-18,41.8,0.6724,0.66822,60
2022-12-19,33.9,0.672,0.66861,96
2022-12-20,114.8,0.67438,0.6629,96
2022-12-21,87.9,0.67444,0.66565,96
2022-12-22,108.3,0.67643,0.6656,96
2022-12-23,40.2,0.67147,0.66745,38
2022-12-25,33.8,0.67099,0.66761,60
2022-12-26,63.8,0.67562,0.66924,96
2022-12-27,40.7,0.67598,0.67191,96
2022-12-28,24.5,0.67544,0.67299,96
2022-12-29,40.8,0.67784,0.67376,96
2022-12-30,53.4,0.68192,0.67658,38
2023-01-01,28.3,0.68203,0.6792,60
2023-01-02,42.1,0.68146,0.67725,96
2023-01-03,117.7,0.68344,0.67167,96
2023-01-04,78.5,0.68452,0.67667,96
2023-01-05,73.5,0.68228,0.67493,96
2023-01-06,128.0,0.68771,0.67491,38
2023-01-08,52.1,0.69263,0.68742,60
2023-01-09,46.1,0.69376,0.68915,96
2023-01-10,43.1,0.69192,0.68761,96
2023-01-11,38.9,0.69255,0.68866,96
2023-01-12,72.8,0.69826,0.69098,96
2023-01-13,31.3,0.69758,0.69445,38
2023-01-15,54.8,0.70191,0.69643,60
2023-01-16,68.7,0.70171,0.69484,96
2023-01-17,42.9,0.70008,0.69579,96
2023-01-18,109.4,0.70023,0.68929,96
2023-01-19,38.2,0.69327,0.68945,96
2023-01-20,57.3,0.69689,0.69116,38
2023-01-22,35.0,0.69942,0.69592,60
2023-01-23,70.4,0.70448,0.69744,96
2023-01-24,79.9,0.71058,0.70259,96
2023-01-25,25.8,0.71136,0.70878,96
2023-01-26,29.1,0.71294,0.71003,96
2023-01-27,18.8,0.71214,0.71026,38
2023-01-29,29.7,0.71201,0.70904,60
2023-01-30,60.6,0.70986,0.7038,96
2023-01-31,30.3,0.70558,0.70255,96
2023-02-01,118.6,0.71575,0.70389,96
2023-02-02,102.3,0.71503,0.7048,96
2023-02-03,147.0,0.70683,0.69213,38
2023-02-05,40.0,0.69293,0.68893,60
2023-02-06,67.5,0.69484,0.68809,96
2023-02-07,57.0,0.69701,0.69131,96
2023-02-08,51.2,0.69706,0.69194,96
2023-02-09,35.7,0.69608,0.69251,96
2023-02-10,18.5,0.69291,0.69106,38
2023-02-12,29.2,0.69194,0.68902,60
2023-02-13,66.9,0.69713,0.69044,96
2023-02-14,42.9,0.69886,0.69457,96
2023-02-15,84.3,0.6952,0.68677,96
2023-02-16,77.1,0.69246,0.68475,96
2023-02-17,47.0,0.68796,0.68326,38
2023-02-19,31.3,0.68928,0.68615,60
2023-02-20,36.7,0.69195,0.68828,96
2023-02-21,73.0,0.69032,0.68302,96
2023-02-22,44.2,0.6842,0.67978,96
2023-02-23,38.7,0.68415,0.68028,96
2023-02-24,100.1,0.68237,0.67236,38
2023-02-26,18.5,0.67414,0.67229,60
2023-02-27,51.2,0.67503,0.66991,96
2023-02-28,49.5,0.67442,0.66947,96
2023-03-01,38.1,0.67658,0.67277,96
2023-03-02,28.4,0.67523,0.67239,96
2023-03-03,33.0,0.67699,0.67369,38
2023-03-05,29.9,0.6769,0.67391,60
2023-03-06,46.1,0.67693,0.67232,96
2023-03-07,171.8,0.67436,0.65718,96
2023-03-08,31.1,0.6599,0.65679,96
2023-03-09,54.3,0.66181,0.65638,96
2023-03-10,30.2,0.66005,0.65703,38
2023-03-12,53.0,0.66467,0.65937,48
2023-03-13,71.1,0.66723,0.66012,96
2023-03-14,60.9,0.66923,0.66314,96
2023-03-15,103.3,0.67113,0.6608,96
2023-03-16,50.3,0.66656,0.66153,96
2023-03-17,48.8,0.67098,0.6661,50
2023-03-19,39.9,0.67298,0.66899,48
2023-03-20,36.9,0.67262,0.66893,96
2023-03-21,48.0,0.67041,0.66561,96
2023-03-22,39.3,0.67131,0.66738,96
2023-03-23,62.3,0.67347,0.66724,96
2023-03-24,40.5,0.6684,0.66435,50
2023-03-26,22.3,0.66584,0.66361,48
2023-03-27,41.0,0.66793,0.66383,96
2023-03-28,41.9,0.67129,0.6671,96
2023-03-29,31.7,0.67027,0.6671,96
2023-03-30,64.5,0.67257,0.66612,96
2023-03-31,57.1,0.67375,0.66804,50
2023-04-02,36.1,0.66868,0.66507,48
2023-04-03,131.4,0.67931,0.66617,96
2023-04-04,37.5,0.67871,0.67496,96
2023-04-05,74.1,0.67799,0.67058,96
2023-04-06,41.0,0.67078,0.66668,96
2023-04-07,29.2,0.66834,0.66542,50
2023-04-09,21.0,0.66742,0.66532,48
2023-04-10,41.5,0.66656,0.66241,96
2023-04-11,30.2,0.66733,0.66431,96
2023-04-12,47.1,0.66994,0.66523,96
2023-04-13,107.0,0.67921,0.66851,96
2023-04-14,87.1,0.67935,0.67064,50
2023-04-16,20.5,0.67129,0.66924,48
2023-04-17,27.6,0.67125,0.66849,96
2023-04-18,42.0,0.67399,0.66979,96
2023-04-19,41.1,0.67411,0.67,96
2023-04-20,48.6,0.67453,0.66967,96
2023-04-21,52.1,0.67427,0.66906,50
2023-04-23,15.5,0.66974,0.66819,48
2023-04-24,27.9,0.67053,0.66774,96
2023-04-25,83.9,0.67042,0.66203,96
2023-04-26,39.9,0.6634,0.65941,96
2023-04-27,36.1,0.66358,0.65997,96
2023-04-28,28.1,0.6642,0.66139,50
2023-04-30,13.2,0.66203,0.66071,48
2023-05-01,23.2,0.66361,0.66129,96
2023-05-02,51.6,0.66729,0.66213,96
2023-05-03,36.1,0.66762,0.66401,96
2023-05-04,58.7,0.67058,0.66471,96
