date,ar_pips,ar_high,ar_low,session_bars
2022-01-02,1904.7,47550.0,45645.3,60
2022-01-03,2013.4,47505.9,45492.5,96
2022-01-04,3644.9,47034.0,43389.1,96
2022-01-05,4108.8,46510.1,42401.3,82
2022-01-06,2642.4,43201.3,40558.9,52
2022-01-07,2303.5,42779.7,40476.2,40
2022-01-09,2844.7,42466.7,39622.0,60
2022-01-10,1838.9,43090.9,41252.0,96
2022-01-11,2313.6,44304.1,41990.5,96
2022-01-12,2124.8,44425.3,42300.5,96
2022-01-13,2046.2,43766.7,41720.5,96
2022-01-14,1244.0,43785.3,42541.3,40
2022-01-16,1692.0,43270.1,41578.1,60
2022-01-17,1724.4,42968.9,41244.5,96
2022-01-18,1558.2,42647.7,41089.5,96
2022-01-19,2286.8,43493.7,41206.9,96
2022-01-20,5937.6,42051.9,36114.3,96
2022-01-21,5929.0,39908.5,33979.5,40
2022-01-23,4621.8,37544.1,32922.3,60
2022-01-24,2675.6,37536.1,34860.5,96
2022-01-25,3107.4,38922.5,35815.1,96
2022-01-26,3159.4,37963.9,34804.5,96
2022-01-27,2530.1,37967.0,35436.9,96
2022-01-28,1826.8,38708.3,36881.5,96
2022-01-29,1028.4,38358.7,37330.3,96
2022-01-30,2097.4,38715.5,36618.1,96
2022-01-31,2418.67,39209.97,36791.3,96
2022-02-01,2333.35,38842.32,36508.97,96
2022-02-02,2508.99,38695.8,36186.81,96
2022-02-03,4109.58,40839.75,36730.17,96
2022-02-04,4686.34,41884.63,37198.29,96
2022-02-05,1156.49,42228.26,41071.77,96
2022-02-06,3227.3,44480.77,41253.47,96
2022-02-07,3205.84,45484.5,42278.66,96
2022-02-08,1938.12,44998.76,43060.64,96
2022-02-09,2709.36,45791.01,43081.65,96
2022-02-10,2005.15,44021.91,42016.76,96
2022-02-11,1768.46,43352.81,41584.35,96
2022-02-12,889.8,42710.47,41820.67,96
2022-02-13,1324.07,42825.65,41501.58,96
2022-02-14,2886.9,44458.55,41571.65,96
2022-02-15,1441.94,44711.95,43270.01,96
2022-02-16,4132.8,44123.55,39990.75,96
2022-02-17,4584.8,43977.45,39392.65,96
2022-02-18,1146.36,40727.25,39580.89,96
2022-02-19,2339.7,40241.65,37901.95,96
2022-02-20,2976.6,39852.15,36875.55,96
2022-02-21,3163.95,39449.0,36285.05,96
2022-02-22,2908.9,39193.95,36285.05,96
2022-02-23,5714.17,39990.85,34276.68,96
2022-02-24,5359.91,39636.59,34276.68,96
2022-02-25,2103.19,40333.85,38230.66,96
2022-02-26,2925.14,39830.65,36905.51,96
2022-02-27,4614.75,41910.93,37296.18,96
2022-02-28,7296.13,44890.96,37594.83,96
2022-03-01,2487.48,45310.65,42823.17,96
2022-03-02,2708.69,44510.35,41801.66,96
2022-03-03,4814.68,43812.44,38997.76,96
2022-03-04,2957.15,41451.55,38494.4,96
2022-03-05,1622.34,39648.99,38026.65,96
2022-03-06,2511.51,39616.16,37104.65,96
2022-03-07,1788.91,39306.8,37517.89,96
2022-03-08,4351.31,42541.96,38190.65,96
2022-03-09,3628.6,42111.25,38482.65,96
2022-03-10,2719.78,40890.55,38170.77,96
2022-03-11,1204.85,39408.02,38203.17,96
2022-03-12,961.8,39265.5,38303.7,96
2022-03-13,1794.85,39265.5,37470.65,84
2022-03-14,1970.51,39901.16,37930.65,96
2022-03-15,3113.63,41698.48,38584.85,96
2022-03-16,2998.63,41698.48,38699.85,96
2022-03-17,2234.7,42293.35,40058.65,96
2022-03-18,2008.21,42385.79,40377.58,96
2022-03-19,1446.4,42317.05,40870.65,96
2022-03-20,1589.28,41989.93,40400.65,96
2022-03-21,3033.4,43434.05,40400.65,96
2022-03-22,2344.4,43434.05,41089.65,96
2022-03-23,2465.95,44170.55,41704.6,96
2022-03-24,2460.0,45058.65,42598.65,96
2022-03-25,938.3,44753.85,43815.55,96
2022-03-26,2583.67,46712.89,44129.22,96
2022-03-27,3661.92,48150.57,44488.65,88
2022-03-28,1402.37,48049.12,46646.75,96
2022-03-29,1185.0,47690.65,46505.65,96
2022-03-30,2137.11,47577.06,45439.95,96
2022-03-31,3202.36,47379.25,44176.89,96
