date,ar_pips,ar_high,ar_low,session_bars
2022-09-19,404.1,12928.5,12524.4,33
2022-09-20,380.2,12882.9,12502.7,85
2022-09-21,337.3,12770.2,12432.9,85
2022-09-22,445.2,12607.9,12162.7,85
2022-09-23,330.5,12593.4,12262.9,45
2022-09-25,207.8,12358.4,12150.6,40
2022-09-26,435.6,12400.3,11964.7,85
2022-09-27,460.1,12305.9,11845.8,85
2022-09-28,438.4,12288.2,11849.8,85
2022-09-29,363.9,12266.5,11902.6,85
2022-09-30,73.0,11995.1,11922.1,45
2022-10-02,462.8,12256.6,11793.8,40
2022-10-03,855.9,12664.7,11808.8,85
2022-10-04,372.8,12660.3,12287.5,85
2022-10-05,288.7,12689.3,12400.6,85
2022-10-06,508.4,12689.3,12180.9,85
2022-10-07,262.3,12469.6,12207.3,45
2022-10-09,292.2,12397.7,12105.5,40
2022-10-10,161.4,12325.6,12164.2,87
2022-10-11,186.8,12303.1,12116.3,87
2022-10-12,73.8,12184.6,12110.8,87
2022-10-13,347.7,12476.7,12129.0,87
2022-10-14,283.4,12613.3,12329.9,50
2022-10-16,88.6,12409.3,12320.7,36
2022-10-17,365.9,12736.1,12370.2,88
2022-10-18,284.1,12925.2,12641.1,87
2022-10-19,279.8,12932.2,12652.4,87
2022-10-20,80.7,12669.4,12588.7,87
2022-10-21,261.1,12858.3,12597.2,50
2022-10-23,104.1,12965.3,12861.2,36
2022-10-24,156.2,12946.9,12790.7,87
2022-10-25,217.1,13091.5,12874.4,87
2022-10-26,186.2,13195.4,13009.2,87
2022-10-27,141.3,13168.0,13026.7,87
2022-10-28,247.2,13376.4,13129.2,50
2022-10-30,57.5,13348.5,13291.0,36
2022-10-31,75.8,13315.0,13239.2,87
2022-11-01,99.2,13389.0,13289.8,87
2022-11-02,315.7,13414.5,13098.8,87
2022-11-03,82.7,13177.3,13094.6,87
2022-11-04,407.1,13504.2,13097.1,50
2022-11-06,90.5,13453.9,13363.4,36
2022-11-07,172.8,13592.7,13419.9,88
2022-11-08,149.2,13681.9,13532.7,88
2022-11-09,96.7,13671.4,13574.7,88
2022-11-10,660.5,14234.2,13573.7,88
2022-11-11,176.8,14328.5,14151.7,38
2022-11-13,45.0,14298.8,14253.8,40
2022-11-14,51.6,14293.3,14241.7,88
2022-11-15,135.1,14318.2,14183.1,88
2022-11-16,71.5,14277.1,14205.6,88
2022-11-17,124.9,14349.4,14224.5,88
2022-11-18,138.3,14455.2,14316.9,38
2022-11-20,113.9,14473.6,14359.7,48
2022-11-21,96.0,14457.7,14361.7,87
2022-11-22,98.9,14491.1,14392.2,87
2022-11-23,51.5,14485.1,14433.6,87
2022-11-24,107.2,14554.3,14447.1,84
2022-11-25,15.0,14540.6,14525.6,36
2022-11-27,78.5,14514.4,14435.9,48
2022-11-28,127.5,14468.4,14340.9,87
2022-11-29,59.1,14419.0,14359.9,87
2022-11-30,200.4,14604.9,14404.5,87
2022-12-01,175.9,14599.9,14424.0,87
2022-12-02,93.5,14518.5,14425.0,38
2022-12-04,30.5,14551.3,14520.8,48
2022-12-05,108.9,14539.8,14430.9,87
2022-12-06,165.5,14458.4,14292.9,87
2022-12-07,122.4,14328.0,14205.6,87
2022-12-08,91.1,14317.2,14226.1,87
2022-12-09,21.0,14329.2,14308.2,38
2022-12-11,51.0,14328.9,14277.9,48
2022-12-12,81.1,14365.5,14284.4,87
2022-12-13,145.6,14475.6,14330.0,87
2022-12-14,101.9,14483.1,14381.2,87
2022-12-15,446.3,14415.2,13968.9,87
2022-12-16,155.0,14032.4,13877.4,38
2022-12-18,57.6,13949.9,13892.3,48
2022-12-19,68.5,13946.5,13878.0,87
2022-12-20,310.1,13995.1,13685.0,87
2022-12-21,163.6,14122.7,13959.1,87
2022-12-22,228.4,14124.2,13895.8,87
2022-12-23,35.5,13979.3,13943.8,36
2022-12-26,47.0,14038.1,13991.1,36
2022-12-27,91.4,14042.1,13950.7,87
2022-12-28,126.2,13983.7,13857.5,87
2022-12-29,183.9,14043.9,13860.0,87
2022-12-30,33.5,14039.9,14006.4,36
2023-01-01,60.6,13906.8,13846.2,36
2023-01-02,209.5,14049.1,13839.6,72
2023-01-03,224.1,14237.7,14013.6,87
