date,ar_pips,ar_high,ar_low,session_bars
2022-09-27,215.1,0.97509,0.95358,15
2022-09-28,179.9,0.98156,0.96357,91
2022-09-29,119.5,0.98538,0.97343,91
2022-10-02,91.9,0.98448,0.97529,82
2022-10-03,193.5,0.99996,0.98061,91
2022-10-04,160.3,0.9995,0.98347,91
2022-10-05,138.2,0.99265,0.97883,91
2022-10-06,90.6,0.98167,0.97261,91
2022-10-09,71.5,0.97533,0.96818,82
2022-10-10,42.8,0.9723,0.96802,96
2022-10-11,35.2,0.9718,0.96828,96
2022-10-12,26.9,0.9722,0.96951,96
2022-10-13,46.9,0.98088,0.97619,96
2022-10-14,10.7,0.97301,0.97194,14
2022-10-16,35.0,0.97521,0.97171,84
2022-10-17,29.4,0.98527,0.98233,96
2022-10-18,29.3,0.98726,0.98433,96
2022-10-19,21.6,0.97761,0.97545,96
2022-10-20,24.0,0.9789,0.9765,96
2022-10-21,7.8,0.98661,0.98583,14
2022-10-23,73.7,0.9899,0.98253,84
2022-10-24,31.4,0.98985,0.98671,96
2022-10-25,26.1,0.99696,0.99435,96
2022-10-26,31.9,1.00937,1.00618,96
2022-10-27,39.9,0.99981,0.99582,96
2022-10-28,8.0,0.99677,0.99597,14
2022-10-30,23.5,0.99658,0.99423,84
2022-10-31,36.2,0.99082,0.9872,96
2022-11-01,29.5,0.98997,0.98702,96
2022-11-02,29.6,0.98395,0.98099,96
2022-11-03,31.1,0.97738,0.97427,96
2022-11-04,7.2,0.99637,0.99565,14
2022-11-06,50.4,0.99469,0.98965,96
2022-11-07,27.4,1.0031,1.00036,96
2022-11-08,29.1,1.00883,1.00592,96
2022-11-09,27.4,1.00292,1.00018,96
2022-11-10,58.8,1.02218,1.0163,96
2022-11-13,54.9,1.03604,1.03055,96
2022-11-14,21.0,1.03333,1.03123,96
2022-11-15,56.6,1.03873,1.03307,96
2022-11-16,39.5,1.03991,1.03596,96
2022-11-17,33.7,1.03908,1.03571,96
2022-11-20,60.6,1.03331,1.02725,96
2022-11-21,29.2,1.02683,1.02391,96
2022-11-22,31.0,1.0331,1.03,96
2022-11-23,56.4,1.04488,1.03924,96
2022-11-24,33.2,1.04293,1.03961,96
2022-11-27,42.6,1.03839,1.03413,96
2022-11-28,60.3,1.03944,1.03341,96
2022-11-29,41.8,1.0361,1.03192,96
2022-11-30,50.6,1.04514,1.04008,96
2022-12-01,34.3,1.05392,1.05049,96
2022-12-04,58.0,1.05849,1.05269,96
2022-12-05,35.5,1.05189,1.04834,96
2022-12-06,21.2,1.04765,1.04553,96
2022-12-07,21.3,1.05153,1.0494,96
2022-12-08,36.0,1.05867,1.05507,96
2022-12-11,30.3,1.05363,1.0506,96
2022-12-12,25.4,1.05543,1.05289,96
2022-12-13,19.0,1.0639,1.062,96
2022-12-14,37.2,1.0683,1.06458,96
2022-12-15,43.5,1.06626,1.06191,96
2022-12-18,32.2,1.06131,1.05809,96
2022-12-19,73.0,1.06519,1.05789,96
2022-12-20,21.4,1.06284,1.0607,96
