date,ar_pips,ar_high,ar_low,session_bars
2022-09-19,194.1,6119.5,5925.4,33
2022-09-20,191.1,6103.7,5912.6,85
2022-09-21,128.5,6021.6,5893.1,85
2022-09-22,205.4,5958.3,5752.9,85
2022-09-23,174.0,5952.3,5778.3,45
2022-09-25,101.6,5827.5,5725.9,40
2022-09-26,160.5,5851.2,5690.7,85
2022-09-27,169.5,5817.6,5648.1,85
2022-09-28,181.7,5807.0,5625.3,85
2022-09-29,148.4,5796.5,5648.1,85
2022-09-30,41.0,5695.1,5654.1,45
2022-10-02,206.3,5829.1,5622.8,40
2022-10-03,408.4,6039.2,5630.8,85
2022-10-04,206.7,6043.1,5836.4,85
2022-10-05,147.7,6058.6,5910.9,85
2022-10-06,234.8,6055.6,5820.8,85
2022-10-07,117.0,5943.7,5826.7,45
2022-10-09,47.0,5829.5,5782.5,36
2022-10-10,47.1,5860.6,5813.5,87
2022-10-11,57.4,5845.6,5788.2,87
2022-10-12,36.6,5821.8,5785.2,87
2022-10-13,150.5,5945.3,5794.8,87
2022-10-14,107.0,5996.4,5889.4,50
2022-10-16,36.0,5920.8,5884.8,36
2022-10-17,176.1,6082.4,5906.3,87
2022-10-18,102.6,6138.5,6035.9,87
2022-10-19,128.9,6135.5,6006.6,87
2022-10-20,64.6,6060.7,5996.1,87
2022-10-21,74.0,6100.9,6026.9,50
2022-10-23,64.1,6156.3,6092.2,36
2022-10-24,104.1,6162.4,6058.3,87
2022-10-25,134.8,6264.7,6129.9,87
2022-10-26,49.1,6271.6,6222.5,87
2022-10-27,91.7,6266.1,6174.4,87
2022-10-28,117.3,6331.7,6214.4,50
2022-10-30,28.0,6318.5,6290.5,36
2022-10-31,32.0,6298.5,6266.5,87
2022-11-01,66.1,6351.1,6285.0,87
2022-11-02,169.4,6361.6,6192.2,87
2022-11-03,32.0,6242.2,6210.2,87
2022-11-04,219.1,6437.4,6218.3,50
2022-11-06,34.2,6413.7,6379.5,36
2022-11-07,47.6,6438.8,6391.2,88
2022-11-08,34.2,6444.0,6409.8,88
2022-11-09,58.5,6440.5,6382.0,88
2022-11-10,210.6,6596.3,6385.7,88
2022-11-11,83.1,6643.4,6560.3,38
2022-11-13,22.5,6628.3,6605.8,40
2022-11-14,44.5,6629.3,6584.8,88
2022-11-15,72.8,6627.1,6554.3,88
2022-11-16,58.5,6623.8,6565.3,88
2022-11-17,25.5,6625.0,6599.5,88
2022-11-18,58.8,6671.0,6612.2,38
2022-11-20,47.0,6676.8,6629.8,48
2022-11-21,48.2,6677.5,6629.3,87
2022-11-22,46.7,6698.2,6651.5,87
2022-11-23,13.2,6699.9,6686.7,87
2022-11-24,27.9,6712.8,6684.9,84
2022-11-25,6.5,6709.3,6702.8,33
2022-11-27,36.5,6708.4,6671.9,48
2022-11-28,35.3,6686.4,6651.1,87
2022-11-29,42.8,6706.9,6664.1,88
2022-11-30,116.2,6817.6,6701.4,87
