date,ar_pips,ar_high,ar_low,session_bars
2022-09-12,224.3,167.555,165.312,41
2022-09-13,200.0,166.755,164.755,91
2022-09-14,206.4,166.436,164.372,91
2022-09-15,271.0,165.45,162.74,91
2022-09-16,126.4,164.501,163.237,45
2022-09-18,89.5,163.832,162.937,46
2022-09-19,132.6,164.442,163.116,91
2022-09-20,183.8,163.946,162.108,91
2022-09-21,532.8,164.43,159.102,91
2022-09-22,776.3,163.213,155.45,91
2022-09-23,448.4,160.108,155.624,45
2022-09-25,842.0,157.213,148.793,46
2022-09-26,746.3,155.837,148.374,96
2022-09-27,454.0,157.091,152.551,91
2022-09-28,679.7,160.582,153.785,91
2022-09-29,657.1,162.177,155.606,91
2022-09-30,142.3,161.648,160.225,45
2022-10-02,334.5,163.888,160.543,46
2022-10-03,452.9,165.537,161.008,91
2022-10-04,311.1,165.713,162.602,91
2022-10-05,393.6,165.01,161.074,91
2022-10-06,366.1,164.428,160.767,91
2022-10-07,114.1,162.195,161.054,45
2022-10-09,109.5,161.561,160.466,46
2022-10-10,69.0,161.64,160.95,96
2022-10-11,189.8,161.621,159.723,96
2022-10-12,337.5,163.178,159.803,96
2022-10-13,456.3,167.21,162.647,96
2022-10-14,120.6,167.21,166.004,50
2022-10-16,70.7,167.16,166.453,48
2022-10-17,268.8,169.357,166.669,96
2022-10-18,74.4,169.385,168.641,96
2022-10-19,149.8,169.286,167.788,96
2022-10-20,94.2,168.722,167.78,96
2022-10-21,222.7,168.562,166.335,50
2022-10-23,446.5,169.771,165.306,48
2022-10-24,106.2,168.819,167.757,96
2022-10-25,186.1,169.962,168.101,96
2022-10-26,88.5,170.271,169.386,96
2022-10-27,132.8,169.981,168.653,96
2022-10-28,229.0,171.369,169.079,50
2022-10-30,127.6,172.131,170.855,48
2022-10-31,187.0,172.08,170.21,96
2022-11-01,139.2,170.769,169.377,96
2022-11-02,201.0,169.882,167.872,96
2022-11-03,315.2,168.222,165.07,96
2022-11-04,141.7,166.898,165.481,50
2022-11-06,100.5,166.712,165.707,60
2022-11-07,251.3,169.08,166.567,96
2022-11-08,134.9,168.997,167.648,96
2022-11-09,206.9,168.101,166.032,96
2022-11-10,234.8,166.721,164.373,96
2022-11-11,200.0,166.096,164.096,38
2022-11-13,170.2,164.96,163.258,60
2022-11-14,130.7,165.071,163.764,96
2022-11-15,100.1,165.694,164.693,96
2022-11-16,83.7,166.304,165.467,96
2022-11-17,113.9,166.835,165.696,96
2022-11-18,63.4,166.946,166.312,38
2022-11-20,76.9,166.961,166.192,60
2022-11-21,220.5,168.302,166.097,96
2022-11-22,43.0,168.153,167.723,96
2022-11-23,58.3,168.289,167.706,96
2022-11-24,74.8,168.316,167.568,96
2022-11-25,44.0,168.102,167.662,38
2022-11-27,158.3,168.176,166.593,60
2022-11-28,131.8,167.13,165.812,96
2022-11-29,134.6,166.619,165.273,96
2022-11-30,151.2,166.554,165.042,96
2022-12-01,108.4,165.923,164.839,96
2022-12-02,57.8,165.62,165.042,38
2022-12-04,103.8,165.674,164.636,60
2022-12-05,167.5,167.287,165.612,96
2022-12-06,124.1,167.201,165.96,96
2022-12-07,65.5,166.958,166.303,96
2022-12-08,63.0,167.401,166.771,96
2022-12-09,84.1,167.461,166.62,38
2022-12-11,38.2,167.497,167.115,60
2022-12-12,192.1,169.183,167.262,96
2022-12-13,192.8,169.049,167.121,96
2022-12-14,101.7,168.29,167.273,96
2022-12-15,83.7,168.214,167.377,96
2022-12-16,162.1,167.734,166.113,38
2022-12-18,114.0,166.116,164.976,60
2022-12-19,127.7,166.956,165.679,96
2022-12-20,688.9,167.016,160.127,96
2022-12-21,159.3,161.029,159.436,96
2022-12-22,106.5,159.934,158.869,96
2022-12-23,50.4,160.084,159.58,38
2022-12-25,66.2,160.12,159.458,60
2022-12-26,118.3,160.854,159.671,96
2022-12-27,95.2,161.103,160.151,96
2022-12-28,77.2,161.519,160.747,96
2022-12-29,146.0,161.153,159.693,96
2022-12-30,139.0,159.909,158.519,38
2023-01-01,109.2,158.381,157.289,60
2023-01-02,200.5,158.368,156.363,96
2023-01-03,84.2,157.269,156.427,96
2023-01-04,326.2,159.852,156.59,96
2023-01-05,130.7,159.595,158.288,96
2023-01-06,56.8,159.92,159.352,38
2023-01-08,73.0,160.0,159.27,60
2023-01-09,163.1,160.935,159.304,96
2023-01-10,81.9,161.08,160.261,96
2023-01-11,114.1,161.059,159.918,96
2023-01-12,297.3,160.313,157.34,96
2023-01-13,124.2,157.656,156.414,38
2023-01-15,111.2,156.929,155.817,60
2023-01-16,105.2,157.237,156.185,96
2023-01-17,349.7,160.337,156.84,96
2023-01-18,341.9,161.528,158.109,96
2023-01-19,208.7,159.657,157.57,96
2023-01-20,132.0,160.701,159.381,38
2023-01-22,51.2,160.869,160.357,60
2023-01-23,134.6,161.772,160.426,96
2023-01-24,111.5,161.497,160.382,96
2023-01-25,79.6,160.923,160.127,96
2023-01-26,158.8,161.592,160.004,96
2023-01-27,44.5,161.189,160.744,38
2023-01-29,92.8,161.406,160.478,60
2023-01-30,101.2,161.264,160.252,96
2023-01-31,111.9,160.969,159.85,96
2023-02-01,161.6,160.5,158.884,96
