date,ar_pips,ar_high,ar_low,session_bars
2022-09-11,151.0,1.91211,1.89701,14
2022-09-12,216.9,1.92072,1.89903,91
2022-09-13,288.2,1.93032,1.9015,91
2022-09-14,114.0,1.92555,1.91415,91
2022-09-15,189.2,1.92416,1.90524,91
2022-09-16,188.9,1.92416,1.90527,45
2022-09-18,183.7,1.92174,1.90337,46
2022-09-19,306.4,1.93774,1.9071,91
2022-09-20,134.0,1.93237,1.91897,91
2022-09-21,243.9,1.93854,1.91415,91
2022-09-22,438.1,1.93165,1.88784,91
2022-09-23,382.0,1.9275,1.8893,45
2022-09-25,942.5,1.90652,1.81227,46
2022-09-26,1006.3,1.9069,1.80627,91
2022-09-27,466.6,1.92493,1.87827,91
2022-09-28,519.1,1.94498,1.89307,92
2022-09-29,1028.3,1.99657,1.89374,91
2022-09-30,575.3,1.99551,1.93798,45
2022-10-02,272.4,1.99698,1.96974,46
2022-10-03,318.2,2.00536,1.97354,91
2022-10-04,359.8,2.00605,1.97007,91
2022-10-05,405.4,1.99593,1.95539,91
2022-10-06,314.6,1.98832,1.95686,91
2022-10-07,99.5,1.97769,1.96774,45
2022-10-09,184.6,1.99063,1.97217,46
2022-10-10,185.7,1.99093,1.97236,96
2022-10-11,355.0,1.99217,1.95667,96
2022-10-12,192.1,1.97997,1.96076,96
2022-10-13,356.3,2.00996,1.97433,96
2022-10-14,136.5,2.01106,1.99741,50
2022-10-16,115.5,2.02064,2.00909,48
2022-10-17,189.4,2.01913,2.00019,96
2022-10-18,215.9,2.00822,1.98663,96
2022-10-19,235.7,1.99236,1.96879,96
2022-10-20,181.4,1.99079,1.97265,96
2022-10-21,210.7,1.98077,1.9597,50
2022-10-23,98.6,1.97328,1.96342,48
2022-10-24,169.9,1.9835,1.96651,96
2022-10-25,224.2,1.99777,1.97535,96
2022-10-26,109.2,1.99647,1.98555,96
2022-10-27,121.4,1.99352,1.98138,96
2022-10-28,273.0,1.99904,1.97174,50
2022-10-30,112.1,2.00067,1.98946,48
2022-10-31,319.6,1.99945,1.96749,96
2022-11-01,122.2,1.97233,1.96011,96
2022-11-02,167.0,1.96917,1.95247,96
2022-11-03,330.9,1.95946,1.92637,96
2022-11-04,211.9,1.93822,1.91703,50
2022-11-06,115.2,1.92679,1.91527,60
2022-11-07,203.3,1.94096,1.92063,96
2022-11-08,85.2,1.94204,1.93352,96
2022-11-09,173.0,1.94357,1.92627,96
2022-11-10,100.3,1.94657,1.93654,96
2022-11-11,114.9,1.94569,1.9342,38
2022-11-13,207.3,1.9422,1.92147,60
2022-11-14,88.6,1.93404,1.92518,96
2022-11-15,97.4,1.93151,1.92177,96
2022-11-16,151.2,1.94106,1.92594,96
2022-11-17,99.1,1.94077,1.93086,96
2022-11-18,41.8,1.93471,1.93053,38
2022-11-20,80.6,1.93215,1.92409,60
2022-11-21,111.2,1.93978,1.92866,96
2022-11-22,171.0,1.93804,1.92094,96
2022-11-23,100.6,1.93415,1.92409,96
2022-11-24,95.3,1.93682,1.92729,96
2022-11-25,57.9,1.93478,1.92899,38
2022-11-27,90.0,1.94358,1.93458,60
2022-11-28,74.4,1.94347,1.93603,96
2022-11-29,202.2,1.93711,1.91689,96
2022-11-30,183.1,1.92858,1.91027,96
2022-12-01,177.5,1.92704,1.90929,96
2022-12-02,75.7,1.92225,1.91468,38
2022-12-04,66.5,1.92284,1.91619,60
2022-12-05,154.9,1.93049,1.915,96
2022-12-06,133.0,1.92803,1.91473,96
2022-12-07,95.1,1.92581,1.9163,96
2022-12-08,66.2,1.92057,1.91395,96
2022-12-09,79.6,1.91824,1.91028,38
2022-12-11,84.0,1.91634,1.90794,60
2022-12-12,111.6,1.92261,1.91145,96
2022-12-13,111.2,1.92259,1.91147,96
2022-12-14,112.8,1.92657,1.91529,96
2022-12-15,86.8,1.92419,1.91551,96
2022-12-16,181.7,1.92266,1.90449,38
2022-12-18,105.5,1.91009,1.89954,60
2022-12-19,131.2,1.91842,1.9053,96
2022-12-20,154.7,1.92614,1.91067,96
2022-12-21,171.1,1.93218,1.91507,96
2022-12-22,122.1,1.92894,1.91673,96
2022-12-23,50.5,1.92102,1.91597,38
2022-12-25,127.5,1.92587,1.91312,59
2022-12-26,159.4,1.92341,1.90747,95
2022-12-27,238.6,1.92368,1.89982,96
