date,ar_pips,ar_high,ar_low,session_bars
2022-09-12,246.7,1.1738,1.14913,41
2022-09-13,218.0,1.16979,1.14799,91
2022-09-14,91.6,1.15532,1.14616,91
2022-09-15,197.0,1.15476,1.13506,91
2022-09-16,61.6,1.14803,1.14187,45
2022-09-18,87.3,1.14423,1.1355,46
2022-09-19,103.8,1.1461,1.13572,91
2022-09-20,199.9,1.14365,1.12366,91
2022-09-21,171.0,1.13827,1.12117,91
2022-09-22,434.2,1.12737,1.08395,91
2022-09-23,408.7,1.1269,1.08603,45
2022-09-25,637.8,1.09294,1.02916,46
2022-09-26,509.3,1.07885,1.02792,96
2022-09-27,376.8,1.09157,1.05389,91
2022-09-28,488.1,1.11195,1.06314,91
2022-09-29,452.5,1.12343,1.07818,91
2022-09-30,104.5,1.11748,1.10703,45
2022-10-02,249.3,1.13346,1.10853,46
2022-10-03,373.9,1.14896,1.11157,91
2022-10-04,268.4,1.14954,1.1227,91
2022-10-05,351.5,1.14643,1.11128,91
2022-10-06,323.6,1.1379,1.10554,91
2022-10-07,111.8,1.11895,1.10777,45
2022-10-09,92.1,1.11111,1.1019,46
2022-10-10,63.2,1.11111,1.10479,96
2022-10-11,145.5,1.10938,1.09483,96
2022-10-12,197.0,1.11205,1.09235,96
2022-10-13,260.1,1.1338,1.10779,96
2022-10-14,204.9,1.13665,1.11616,50
2022-10-16,48.9,1.1252,1.12031,48
2022-10-17,151.3,1.13692,1.12179,96
2022-10-18,69.0,1.13759,1.13069,96
2022-10-19,153.5,1.13508,1.11973,96
2022-10-20,46.1,1.12373,1.11912,96
2022-10-21,119.9,1.13149,1.1195,50
2022-10-23,101.0,1.14081,1.13071,48
2022-10-24,67.3,1.1338,1.12707,96
2022-10-25,186.2,1.14786,1.12924,96
2022-10-26,215.1,1.16456,1.14305,96
2022-10-27,95.5,1.16401,1.15446,96
2022-10-28,73.6,1.16216,1.1548,50
2022-10-30,44.6,1.16133,1.15687,48
2022-10-31,151.3,1.16115,1.14602,96
2022-11-01,44.0,1.15153,1.14713,96
2022-11-02,152.2,1.15267,1.13745,96
2022-11-03,272.4,1.14218,1.11494,96
2022-11-04,204.9,1.13811,1.11762,50
2022-11-06,52.1,1.13434,1.12913,60
2022-11-07,218.4,1.15364,1.1318,96
2022-11-08,70.7,1.15582,1.14875,96
2022-11-09,216.8,1.15595,1.13427,96
2022-11-10,358.9,1.17314,1.13725,96
