date,ar_pips,ar_high,ar_low,session_bars
2022-09-12,174.9,0.61611,0.59862,41
2022-09-13,174.7,0.61506,0.59759,91
2022-09-14,61.9,0.60256,0.59637,91
2022-09-15,80.3,0.60202,0.59399,91
2022-09-16,39.1,0.5994,0.59549,45
2022-09-18,72.4,0.60015,0.59291,46
2022-09-19,106.4,0.59915,0.58851,91
2022-09-20,112.2,0.59537,0.58415,91
2022-09-21,100.9,0.59045,0.58036,91
2022-09-22,126.1,0.58562,0.57301,91
2022-09-23,111.9,0.58562,0.57443,45
2022-09-25,130.0,0.57547,0.56247,46
2022-09-26,118.2,0.57418,0.56236,96
2022-09-27,167.9,0.57328,0.55649,91
2022-09-28,168.2,0.57331,0.55649,92
2022-09-29,159.4,0.57503,0.55909,91
2022-09-30,138.6,0.57341,0.55955,45
2022-10-02,133.9,0.57306,0.55967,46
2022-10-03,135.0,0.57583,0.56233,91
2022-10-04,145.2,0.58052,0.566,92
2022-10-05,174.2,0.58138,0.56396,91
2022-10-06,216.2,0.58138,0.55976,91
2022-10-07,68.9,0.56734,0.56045,45
2022-10-09,84.8,0.56291,0.55443,46
2022-10-10,71.3,0.56291,0.55578,96
2022-10-11,50.6,0.55913,0.55407,96
2022-10-12,60.8,0.56204,0.55596,96
2022-10-13,54.9,0.56571,0.56022,96
2022-10-14,122.9,0.56797,0.55568,50
2022-10-16,30.4,0.55814,0.5551,48
2022-10-17,119.7,0.56765,0.55568,96
2022-10-18,64.7,0.57037,0.5639,96
2022-10-19,54.1,0.57071,0.5653,96
2022-10-20,57.6,0.568,0.56224,96
2022-10-21,115.2,0.57676,0.56524,50
2022-10-23,49.1,0.57913,0.57422,48
2022-10-24,91.3,0.57588,0.56675,96
2022-10-25,67.0,0.57591,0.56921,96
2022-10-26,123.4,0.58511,0.57277,96
2022-10-27,28.9,0.58422,0.58133,96
2022-10-28,62.3,0.5873,0.58107,50
2022-10-30,30.6,0.58101,0.57795,48
2022-10-31,32.7,0.58292,0.57965,96
2022-11-01,38.9,0.58573,0.58184,96
2022-11-02,74.6,0.58735,0.57989,96
2022-11-03,81.4,0.58377,0.57563,96
2022-11-04,164.6,0.59338,0.57692,50
2022-11-06,66.3,0.59094,0.58431,60
2022-11-07,73.0,0.59522,0.58792,96
2022-11-08,42.9,0.59687,0.59258,96
2022-11-09,94.1,0.59603,0.58662,96
2022-11-10,175.0,0.604,0.5865,96
2022-11-11,133.6,0.61221,0.59885,38
2022-11-13,65.7,0.61204,0.60547,60
2022-11-14,28.0,0.61094,0.60814,96
2022-11-15,77.5,0.61683,0.60908,96
