date,ar_pips,ar_high,ar_low,session_bars
2022-09-19,92.8,3921.4,3828.6,69
2022-09-20,132.0,3908.7,3776.7,85
2022-09-21,67.0,3817.2,3750.2,85
2022-09-22,123.4,3769.4,3646.0,86
2022-09-25,72.1,3716.5,3644.4,76
2022-09-26,96.2,3719.1,3622.9,86
2022-09-27,137.6,3739.3,3601.7,85
2022-09-28,114.1,3723.9,3609.8,85
2022-09-29,98.0,3680.9,3582.9,85
2022-10-02,139.4,3699.0,3559.6,76
2022-10-03,122.3,3796.3,3674.0,85
2022-10-04,86.3,3807.2,3720.9,85
2022-10-05,69.3,3806.0,3736.7,85
2022-10-06,130.4,3751.2,3620.8,85
2022-10-09,27.2,3634.6,3607.4,72
2022-10-10,31.7,3625.5,3593.8,87
2022-10-11,21.8,3608.7,3586.9,87
2022-10-12,14.8,3591.8,3577.0,87
2022-10-13,44.5,3705.1,3660.6,87
2022-10-14,4.7,3591.2,3586.5,14
2022-10-16,22.3,3607.1,3584.8,72
2022-10-17,59.8,3737.9,3678.1,87
2022-10-18,50.7,3765.0,3714.3,87
2022-10-19,43.7,3711.6,3667.9,87
2022-10-20,27.5,3674.2,3646.7,87
2022-10-21,9.5,3763.0,3753.5,14
2022-10-23,49.3,3805.1,3755.8,72
2022-10-24,21.0,3809.3,3788.3,87
2022-10-25,48.0,3864.5,3816.5,87
2022-10-26,27.2,3860.5,3833.3,87
2022-10-27,65.5,3816.0,3750.5,87
2022-10-28,14.4,3916.5,3902.1,14
2022-10-30,18.9,3907.3,3888.4,72
2022-10-31,20.8,3893.6,3872.8,87
2022-11-01,23.4,3872.2,3848.8,87
2022-11-02,23.7,3773.0,3749.3,88
2022-11-03,16.1,3724.5,3708.4,87
2022-11-04,13.3,3777.8,3764.5,14
2022-11-06,36.8,3771.3,3734.5,72
2022-11-07,18.3,3822.9,3804.6,88
2022-11-08,23.5,3843.4,3819.9,88
2022-11-09,13.6,3762.0,3748.4,88
2022-11-10,17.0,3969.6,3952.6,88
2022-11-13,15.8,3991.1,3975.3,76
2022-11-14,17.8,3981.0,3963.2,88
2022-11-15,25.9,4001.5,3975.6,88
2022-11-16,13.9,3976.9,3963.0,88
2022-11-17,11.7,3959.2,3947.5,88
2022-11-20,24.5,3977.7,3953.2,84
2022-11-21,11.0,3964.0,3953.0,87
2022-11-22,8.0,4010.5,4002.5,87
2022-11-23,6.3,4040.4,4034.1,87
2022-11-24,6.0,4042.4,4036.4,84
2022-11-27,25.0,4021.9,3996.9,84
2022-11-28,15.0,3982.7,3967.7,87
2022-11-29,13.2,3967.6,3954.4,87
2022-11-30,14.6,4093.0,4078.4,87
2022-12-01,14.6,4077.2,4062.6,87
2022-12-04,9.8,4074.4,4064.6,84
2022-12-05,12.0,4013.9,4001.9,87
2022-12-06,10.6,3953.2,3942.6,87
2022-12-07,23.1,3938.1,3915.0,87
2022-12-08,16.0,3976.2,3960.2,88
2022-12-11,13.6,3938.9,3925.3,84
2022-12-12,12.5,3999.7,3987.2,87
2022-12-13,20.2,4042.0,4021.8,87
2022-12-14,17.7,4012.2,3994.5,88
2022-12-15,15.2,3904.8,3889.6,87
2022-12-18,16.6,3862.2,3845.6,84
2022-12-19,51.0,3828.6,3777.6,87
2022-12-20,23.2,3849.0,3825.8,87
2022-12-21,12.3,3893.5,3881.2,87
2022-12-22,21.0,3832.9,3811.9,88
2022-12-26,18.6,3876.1,3857.5,84
2022-12-27,10.8,3837.8,3827.0,87
2022-12-28,7.8,3790.2,3782.4,87
2022-12-29,9.2,3846.8,3837.6,87
2023-01-02,55.9,3876.6,3820.7,84
2023-01-03,15.1,3832.5,3817.4,87
2023-01-04,18.5,3854.2,3835.7,87
2023-01-05,17.3,3827.8,3810.5,87
2023-01-08,11.5,3910.2,3898.7,84
2023-01-09,16.9,3894.6,3877.7,87
2023-01-10,8.2,3927.3,3919.1,88
2023-01-11,10.0,3975.8,3965.8,87
2023-01-12,17.3,3988.8,3971.5,87
2023-01-15,16.0,4009.5,3993.5,84
2023-01-16,14.7,3999.7,3985.0,84
2023-01-17,32.0,4010.9,3978.9,87
2023-01-18,11.3,3931.5,3920.2,87
2023-01-19,8.5,3909.3,3900.8,87
2023-01-22,8.7,3974.2,3965.5,84
2023-01-23,9.7,4025.7,4016.0,87
2023-01-24,29.5,4025.1,3995.6,87
2023-01-25,13.8,4027.6,4013.8,87
2023-01-26,7.0,4054.2,4047.2,87
2023-01-29,18.3,4072.6,4054.3,84
2023-01-30,17.0,4030.9,4013.9,87
2023-01-31,10.4,4073.3,4062.9,87
2023-02-01,17.0,4141.7,4124.7,87
2023-02-02,11.8,4162.9,4151.1,87
2023-02-05,15.0,4132.6,4117.6,84
2023-02-06,13.8,4126.4,4112.6,87
2023-02-07,14.2,4169.8,4155.6,87
2023-02-08,18.2,4136.7,4118.5,87
2023-02-09,16.6,4088.0,4071.4,87
2023-02-12,26.7,4096.5,4069.8,84
2023-02-13,9.2,4140.3,4131.1,87
2023-02-14,18.7,4132.5,4113.8,88
2023-02-15,12.3,4158.7,4146.4,87
2023-02-16,19.0,4088.6,4069.6,87
2023-02-19,13.8,4081.4,4067.6,84
2023-02-20,10.3,4070.4,4060.1,84
2023-02-21,9.9,4009.6,3999.7,87
2023-02-22,13.5,4012.6,3999.1,87
2023-02-23,12.0,4017.5,4005.5,87
2023-02-26,13.5,3982.0,3968.5,84
2023-02-27,10.5,3993.2,3982.7,87
2023-02-28,22.0,3974.0,3952.0,87
2023-03-01,33.2,3961.1,3927.9,87
2023-03-02,10.5,3980.9,3970.4,87
2023-03-05,20.2,4061.7,4041.5,84
2023-03-06,12.3,4062.2,4049.9,87
2023-03-07,9.2,3992.5,3983.3,87
2023-03-08,13.1,3997.3,3984.2,87
2023-03-09,31.9,3919.0,3887.1,87
2023-03-11,14.6,3916.1,3901.5,12
2023-03-12,73.9,3933.1,3859.2,60
2023-03-13,23.0,3877.5,3854.5,87
