date,ar_pips,ar_high,ar_low,session_bars
2022-02-07,481.0,23.253,22.772,52
2022-02-08,557.0,23.351,22.794,88
2022-02-09,584.0,23.71,23.126,88
2022-02-10,828.0,23.683,22.855,88
2022-02-11,604.0,23.609,23.005,38
2022-02-13,430.0,23.937,23.507,52
2022-02-14,910.0,23.984,23.074,88
2022-02-15,696.0,23.97,23.274,88
2022-02-16,625.0,23.916,23.291,88
2022-02-17,667.0,24.082,23.415,88
2022-02-18,220.0,23.972,23.752,38
2022-02-20,349.0,24.041,23.692,52
2022-02-21,633.0,24.359,23.726,88
2022-02-22,560.0,24.585,24.025,88
2022-02-23,1782.0,25.615,23.833,88
2022-02-24,1271.0,25.145,23.874,88
2022-02-25,178.0,24.387,24.209,38
2022-02-27,664.0,24.752,24.088,52
2022-02-28,1295.0,25.538,24.243,88
2022-03-01,1112.0,25.411,24.299,88
2022-03-02,506.0,25.472,24.966,88
2022-03-03,695.0,25.735,25.04,88
2022-03-04,644.0,25.705,25.061,38
2022-03-06,928.0,26.136,25.208,52
2022-03-07,1592.0,26.941,25.349,88
2022-03-08,1385.0,26.779,25.394,88
2022-03-09,1460.0,26.765,25.305,88
2022-03-10,606.0,25.995,25.389,88
2022-03-11,266.0,25.84,25.574,38
2022-03-13,829.0,25.756,24.927,40
2022-03-14,1223.0,25.751,24.528,79
2022-03-15,635.0,25.099,24.464,79
2022-03-16,772.0,25.538,24.766,79
2022-03-17,617.0,25.444,24.827,79
2022-03-18,397.0,25.306,24.909,39
2022-03-20,426.0,25.306,24.88,40
2022-03-21,808.0,25.377,24.569,79
2022-03-22,697.0,25.367,24.67,79
2022-03-23,1058.0,25.846,24.788,79
2022-03-24,757.0,25.722,24.965,79
2022-03-25,276.0,25.718,25.442,39
2022-03-27,796.0,25.586,24.79,32
2022-03-28,1408.0,25.374,23.966,88
2022-03-29,369.0,25.063,24.694,88
2022-03-30,520.0,25.081,24.561,88
2022-03-31,433.0,24.853,24.42,88
2022-04-01,241.0,24.828,24.587,50
2022-04-03,568.0,24.842,24.274,40
2022-04-04,720.0,24.939,24.219,88
2022-04-05,441.0,24.561,24.12,88
2022-04-06,434.0,24.654,24.22,88
2022-04-07,481.0,24.801,24.32,88
2022-04-08,243.0,24.772,24.529,50
2022-04-10,705.0,25.369,24.664,40
2022-04-11,924.0,25.609,24.685,88
2022-04-12,855.0,25.828,24.973,88
2022-04-13,582.0,25.868,25.286,88
2022-04-14,289.0,25.863,25.574,51
2022-04-17,632.0,26.214,25.582,40
2022-04-18,943.0,25.992,25.049,88
2022-04-19,997.0,25.885,24.888,88
2022-04-20,798.0,25.214,24.416,88
2022-04-21,1136.0,25.18,24.044,88
2022-04-22,457.0,24.591,24.134,50
2022-04-24,773.0,24.169,23.396,40
2022-04-25,710.0,24.106,23.396,88
2022-04-26,680.0,23.921,23.241,88
2022-04-27,728.0,23.615,22.887,88
2022-04-28,884.0,23.558,22.674,88
2022-04-29,643.0,23.314,22.671,50
2022-05-01,733.0,22.849,22.116,40
2022-05-02,417.0,22.835,22.418,88
2022-05-03,879.0,23.088,22.209,88
2022-05-04,957.0,23.274,22.317,88
2022-05-05,1176.0,23.273,22.097,88
2022-05-06,333.0,22.427,22.094,50
2022-05-08,677.0,22.365,21.688,40
2022-05-09,1139.0,22.318,21.179,88
2022-05-10,877.0,22.062,21.185,88
2022-05-11,1044.0,21.657,20.613,88
2022-05-12,1201.0,21.653,20.452,88
2022-05-13,338.0,21.107,20.769,50
2022-05-15,846.0,21.684,20.838,40
2022-05-16,905.0,21.912,21.007,88
2022-05-17,381.0,21.748,21.367,88
2022-05-18,713.0,21.989,21.276,88
2022-05-19,727.0,22.074,21.347,88
2022-05-20,156.0,21.885,21.729,50
2022-05-22,516.0,22.185,21.669,40
2022-05-23,541.0,22.204,21.663,88
2022-05-24,488.0,22.141,21.653,88
2022-05-25,352.0,22.074,21.722,88
2022-05-26,632.0,22.439,21.807,88
2022-05-27,186.0,22.109,21.923,50
2022-05-29,369.0,22.276,21.907,40
2022-05-30,743.0,22.211,21.468,76
2022-05-31,538.0,21.971,21.433,88
2022-06-01,846.0,22.329,21.483,88
2022-06-02,734.0,22.481,21.747,88
2022-06-03,544.0,22.441,21.897,50
2022-06-05,639.0,22.51,21.871,40
2022-06-06,417.0,22.278,21.861,88
2022-06-07,444.0,22.25,21.806,88
2022-06-08,644.0,22.19,21.546,88
2022-06-09,842.0,22.114,21.272,88
2022-06-10,307.0,21.894,21.587,50
2022-06-12,1045.0,22.004,20.959,40
2022-06-13,829.0,21.724,20.895,88
2022-06-14,883.0,21.842,20.959,88
2022-06-15,933.0,21.961,21.028,88
2022-06-16,382.0,21.953,21.571,88
2022-06-17,207.0,21.815,21.608,50
2022-06-19,357.0,21.827,21.47,40
2022-06-20,479.0,21.934,21.455,76
2022-06-21,481.0,21.709,21.228,88
2022-06-22,630.0,21.55,20.92,88
2022-06-23,809.0,21.419,20.61,88
2022-06-24,360.0,21.14,20.78,50
2022-06-26,460.0,21.535,21.075,40
2022-06-27,614.0,21.406,20.792,88
2022-06-28,559.0,21.187,20.628,88
2022-06-29,698.0,20.904,20.206,88
2022-06-30,1419.0,20.8,19.381,88
2022-07-01,452.0,20.276,19.824,50
2022-07-03,215.0,19.982,19.767,40
2022-07-04,1102.0,20.197,19.095,76
2022-07-05,1265.0,20.184,18.919,88
2022-07-06,388.0,19.481,19.093,88
2022-07-07,432.0,19.445,19.013,88
2022-07-08,189.0,19.315,19.126,50
2022-07-10,304.0,19.368,19.064,40
2022-07-11,577.0,19.315,18.738,88
2022-07-12,554.0,19.406,18.852,88
2022-07-13,1076.0,19.217,18.141,88
2022-07-14,994.0,19.181,18.187,88
2022-07-15,389.0,18.692,18.303,50
2022-07-17,383.0,19.013,18.63,40
2022-07-18,324.0,18.903,18.579,88
2022-07-19,527.0,19.092,18.565,88
2022-07-20,639.0,18.877,18.238,88
2022-07-21,435.0,18.943,18.508,88
2022-07-22,321.0,18.863,18.542,50
2022-07-24,470.0,18.784,18.314,40
2022-07-25,352.0,18.723,18.371,88
2022-07-26,713.0,19.131,18.418,88
2022-07-27,1455.0,20.024,18.569,88
2022-07-28,1316.0,20.363,19.047,88
2022-07-29,391.0,20.344,19.953,50
2022-07-31,428.0,20.509,20.081,40
2022-08-01,556.0,20.505,19.949,88
2022-08-02,613.0,20.382,19.769,88
2022-08-03,624.0,20.386,19.762,88
2022-08-04,765.0,20.314,19.549,88
2022-08-05,423.0,20.286,19.863,50
2022-08-07,962.0,20.741,19.779,40
2022-08-08,948.0,20.74,19.792,88
2022-08-09,495.0,20.841,20.346,88
2022-08-10,388.0,20.631,20.243,88
2022-08-11,606.0,20.829,20.223,88
2022-08-12,586.0,20.812,20.226,50
2022-08-14,783.0,20.87,20.087,40
2022-08-15,937.0,20.848,19.911,88
2022-08-16,577.0,20.273,19.696,88
2022-08-17,662.0,20.144,19.482,88
2022-08-18,814.0,19.837,19.023,88
2022-08-19,445.0,19.474,19.029,50
2022-08-21,436.0,19.154,18.718,40
2022-08-22,483.0,19.279,18.796,88
2022-08-23,295.0,19.227,18.932,88
2022-08-24,393.0,19.4,19.007,88
2022-08-25,572.0,19.396,18.824,85
2022-08-26,422.0,19.268,18.846,46
2022-08-28,474.0,18.982,18.508,40
2022-08-29,494.0,18.841,18.347,85
2022-08-30,855.0,18.792,17.937,85
2022-08-31,945.0,18.503,17.558,85
2022-09-01,638.0,18.284,17.646,85
2022-09-02,230.0,18.012,17.782,45
2022-09-04,302.0,18.246,17.944,40
2022-09-05,641.0,18.582,17.941,76
2022-09-06,634.0,18.475,17.841,85
2022-09-07,896.0,18.737,17.841,85
2022-09-08,547.0,18.944,18.397,85
2022-09-09,213.0,18.85,18.637,45
2022-09-11,1189.0,20.011,18.822,40
2022-09-12,1099.0,19.941,18.842,85
2022-09-13,511.0,19.745,19.234,85
2022-09-14,551.0,19.659,19.108,85
2022-09-15,848.0,19.625,18.777,85
2022-09-16,504.0,19.561,19.057,45
2022-09-18,440.0,19.658,19.218,40
2022-09-19,515.0,19.576,19.061,85
2022-09-20,681.0,19.918,19.237,85
2022-09-21,615.0,19.858,19.243,85
2022-09-22,941.0,19.712,18.771,85
2022-09-23,855.0,19.712,18.857,45
2022-09-25,704.0,19.028,18.324,40
2022-09-26,479.0,18.782,18.303,88
2022-09-27,1009.0,18.971,17.962,85
2022-09-28,756.0,18.921,18.165,85
2022-09-29,603.0,19.29,18.687,85
2022-09-30,270.0,19.044,18.774,45
2022-10-02,1824.0,20.714,18.89,40
2022-10-03,2170.0,21.237,19.067,85
2022-10-04,1128.0,21.065,19.937,85
2022-10-05,671.0,21.026,20.355,85
2022-10-06,863.0,20.857,19.994,85
2022-10-07,688.0,20.763,20.075,45
2022-10-09,275.0,20.184,19.909,36
2022-10-10,363.0,19.946,19.583,87
2022-10-11,686.0,19.72,19.034,87
2022-10-12,248.0,19.178,18.93,87
2022-10-13,275.0,19.091,18.816,87
2022-10-14,807.0,19.038,18.231,50
2022-10-16,244.0,18.44,18.196,36
2022-10-17,381.0,18.719,18.338,87
2022-10-18,189.0,18.804,18.615,87
2022-10-19,426.0,18.792,18.366,87
2022-10-20,446.0,18.673,18.227,87
2022-10-21,871.0,19.386,18.515,50
2022-10-23,315.0,19.674,19.359,36
2022-10-24,189.0,19.38,19.191,87
2022-10-25,200.0,19.388,19.188,87
2022-10-26,386.0,19.614,19.228,87
2022-10-27,218.0,19.666,19.448,87
2022-10-28,412.0,19.634,19.222,50
2022-10-30,118.0,19.255,19.137,36
2022-10-31,95.0,19.207,19.112,87
2022-11-01,512.0,19.675,19.163,87
2022-11-02,632.0,19.74,19.108,87
2022-11-03,239.0,19.496,19.257,87
2022-11-04,1485.0,20.897,19.412,50
2022-11-06,179.0,20.597,20.418,36
2022-11-07,431.0,20.866,20.435,79
2022-11-08,949.0,21.471,20.522,79
2022-11-09,396.0,21.389,20.993,79
2022-11-10,668.0,21.695,21.027,79
2022-11-11,170.0,21.667,21.497,38
2022-11-13,152.0,21.673,21.521,40
2022-11-14,564.0,22.026,21.462,79
