date,state,bias_direction,regime,regime_ratio,asian_range_pips,predicted_mfe,actual_mfe,deviation,pathway,target_hit,target_hit_time,required_loops,time_pressure_ratio,direction_correct
2022-10-11,EXHAUSTION,LONG,FAILED,0.956,52.4,17.53,43.9,26.37,GEAR_SHIFT,True,01:50,0.0,60.0,1
2022-10-13,9/9_LOCK,SHORT,CONFIRMED,2.182,26.9,44.02,69.2,25.18,GEAR_SHIFT,True,09:55,0.0,60.0,1
2022-10-14,9/9_LOCK,SHORT,CONFIRMED,1.667,46.9,58.64,62.0,3.36,MIDPOINT_STALL,True,10:20,0.0,60.0,1
2022-10-18,EXHAUSTION,LONG,FAILED,1.415,43.1,21.35,43.0,21.65,GEAR_SHIFT,True,01:00,0.0,60.0,1
2022-10-20,EXHAUSTION,LONG,FAILED,1.144,31.2,12.49,66.4,53.91,GEAR_SHIFT,True,07:15,0.0,60.0,1
2022-10-25,EXHAUSTION,SHORT,FAILED,0.876,31.4,9.63,25.6,15.97,GEAR_SHIFT,True,09:40,0.0,60.0,0
2022-10-26,9/9_LOCK,LONG,CONFIRMED,3.955,24.2,71.78,84.0,12.22,POST_12PM_FADE,True,08:40,0.0,60.0,1
2022-10-28,9/9_LOCK,SHORT,CONFIRMED,1.639,39.9,49.05,38.1,10.95,MIDPOINT_STALL,True,10:10,0.0,60.0,0
2022-10-31,9/9_LOCK,SHORT,CONFIRMED,2.026,23.5,35.71,55.3,19.59,GEAR_SHIFT,True,10:45,0.0,60.0,1
2022-11-01,EXHAUSTION,LONG,FAILED,1.202,36.2,15.23,74.5,59.27,GEAR_SHIFT,True,03:05,0.0,60.0,1
2022-11-08,EXHAUSTION,SHORT,FAILED,1.314,27.4,12.6,48.9,36.3,GEAR_SHIFT,True,01:05,0.0,60.0,1
2022-11-09,9/9_LOCK,SHORT,CONFIRMED,1.763,29.1,38.48,48.8,10.32,GEAR_SHIFT,True,03:45,0.0,60.0,1
2022-11-10,9/9_LOCK,LONG,CONFIRMED,3.891,27.4,79.96,149.3,69.34,GEAR_SHIFT,True,02:45,0.0,60.0,1
2022-11-11,9/9_LOCK,LONG,CONFIRMED,1.539,58.8,67.87,128.6,60.73,GEAR_SHIFT,True,00:05,0.0,60.0,1
2022-11-14,EXHAUSTION,SHORT,FAILED,1.153,54.9,22.15,87.0,64.85,GEAR_SHIFT,True,00:15,0.0,60.0,1
2022-11-15,9/9_LOCK,LONG,CONFIRMED,5.614,21.0,88.42,149.9,61.48,GEAR_SHIFT,True,09:30,0.0,60.0,1
2022-11-17,9/9_LOCK,LONG,CONFIRMED,1.787,39.5,52.94,9.1,43.84,BASELINE,False,,0.0,60.0,0
2022-11-18,9/9_LOCK,SHORT,CONFIRMED,1.591,33.7,40.21,25.6,14.61,MIDPOINT_STALL,True,00:55,0.0,60.0,1
2022-11-22,9/9_LOCK,LONG,CONFIRMED,1.534,29.2,33.59,50.6,17.01,GEAR_SHIFT,True,02:05,0.0,60.0,1
2022-11-23,9/9_LOCK,LONG,CONFIRMED,1.684,31.0,39.15,74.5,35.35,GEAR_SHIFT,True,01:55,0.0,60.0,1
2022-11-24,EXHAUSTION,SHORT,FAILED,1.028,56.4,20.29,14.1,6.19,DELAYED_RESOLVER,True,13:30,0.0,60.0,0
2022-11-25,EXHAUSTION,SHORT,FAILED,1.386,33.2,16.11,49.5,33.39,DELAYED_RESOLVER,True,11:45,0.0,60.0,1
2022-11-29,EXHAUSTION,SHORT,FAILED,0.706,60.3,14.9,13.8,1.1,BASELINE,False,,0.0,60.0,0
2022-12-01,EXHAUSTION,LONG,FAILED,1.401,50.6,24.81,124.0,99.19,GEAR_SHIFT,True,01:00,0.0,60.0,1
2022-12-02,EXHAUSTION,LONG,FAILED,0.936,34.3,11.24,33.6,22.36,GEAR_SHIFT,True,00:00,0.0,60.0,0
2022-12-07,9/9_LOCK,SHORT,CONFIRMED,3.005,21.2,47.78,17.7,30.08,POST_12PM_FADE,True,03:00,0.0,60.0,0
2022-12-08,9/9_LOCK,LONG,CONFIRMED,1.953,21.3,31.2,35.2,4.0,POST_12PM_FADE,True,00:40,0.0,60.0,1
2022-12-13,EXHAUSTION,LONG,FAILED,1.291,25.4,11.48,144.4,132.92,GEAR_SHIFT,True,00:30,0.0,60.0,1
2022-12-14,9/9_LOCK,LONG,CONFIRMED,2.784,19.0,39.67,40.3,0.63,BASELINE,True,02:55,0.0,60.0,1
