date,direction,variant,entry,exit,pnl_pips,result,ar,tier
2023-07-02,LONG,INITIAL,0.89996,0.899512,-4.5,SL,35.1,T3
2023-07-03,SHORT,INITIAL,0.89905,0.899602,-5.5,SL,31.4,T3
2023-07-03,SHORT,CASCADE,0.89858,0.897795,7.9,TP,31.4,T3
2023-07-07,LONG,INITIAL,0.89693,0.896282,-6.5,SL,11.6,T1
2023-07-07,SHORT,CASCADE,0.8925,0.89221,2.9,TP,11.6,T1
2023-07-07,LONG,CASCADE,0.89349,0.89378,2.9,TP,11.6,T1
2023-07-07,SHORT,CASCADE,0.89102,0.89073,2.9,TP,11.6,T1
2023-07-09,LONG,INITIAL,0.88911,0.889685,5.7,TP,23.0,T2
2023-07-14,LONG,INITIAL,0.85947,0.8599675,5.0,TP,19.9,T1
2023-07-14,LONG,CASCADE,0.86049,0.8609875,5.0,TP,19.9,T1
2023-07-14,SHORT,CASCADE,0.8609,0.8619416,-10.4,SL,19.9,T1
2023-07-14,LONG,CASCADE,0.86259,0.8615484,-10.4,SL,19.9,T1
2023-07-19,LONG,INITIAL,0.85946,0.8601375,6.8,TP,27.1,T2
2023-07-19,SHORT,CASCADE,0.86037,0.8596925,6.8,TP,27.1,T2
2023-07-19,SHORT,CASCADE,0.8597,0.8590225,6.8,TP,27.1,T2
2023-07-21,SHORT,INITIAL,0.86521,0.864955,2.6,TP,10.2,T1
2023-07-24,SHORT,INITIAL,0.86392,0.8642880000000001,-3.7,SL,40.8,T3
2023-07-24,LONG,CASCADE,0.86529,0.8644499999999999,-8.4,SL,40.8,T3
2023-07-24,SHORT,CASCADE,0.86427,0.86637,-21.0,SL,40.8,T3
2023-07-28,SHORT,INITIAL,0.86839,0.867995,4.0,TP,15.8,T1
2023-07-28,LONG,CASCADE,0.86753,0.8679250000000001,4.0,TP,15.8,T1
2023-07-28,SHORT,CASCADE,0.86742,0.8670249999999999,4.0,TP,15.8,T1
2023-07-28,SHORT,CASCADE,0.86828,0.867885,4.0,TP,15.8,T1
2023-07-28,SHORT,CASCADE,0.86692,0.866525,4.0,TP,15.8,T1
2023-07-28,SHORT,CASCADE,0.86614,0.8673664,-12.3,SL,15.8,T1
2023-08-04,SHORT,INITIAL,0.87681,0.8763799999999999,4.3,TP,17.2,T1
2023-08-04,SHORT,CASCADE,0.8725,0.87207,4.3,TP,17.2,T1
2023-08-04,SHORT,CASCADE,0.87091,0.8704799999999999,4.3,TP,17.2,T1
2023-08-04,LONG,CASCADE,0.87065,0.8710800000000001,4.3,TP,17.2,T1
2023-08-04,SHORT,CASCADE,0.87055,0.8722971999999999,-17.5,SL,17.2,T1
2023-08-08,LONG,INITIAL,0.87699,0.8775725000000001,5.8,TP,23.3,T2
2023-08-08,SHORT,CASCADE,0.87639,0.8777004,-13.1,SL,23.3,T2
2023-08-08,SHORT,CASCADE,0.87614,0.8755575,5.8,TP,23.3,T2
2023-08-08,LONG,CASCADE,0.87631,0.8752516,-10.6,SL,23.3,T2
2023-08-08,LONG,INITIAL,0.87528,0.874864,-4.2,SL,23.3,T2
2023-08-09,LONG,INITIAL,0.87706,0.8781549999999999,10.9,TP,43.8,T3
2023-08-09,SHORT,CASCADE,0.87667,0.875575,10.9,TP,43.8,T3
2023-08-10,SHORT,INITIAL,0.8716,0.871155,4.5,TP,17.8,T1
2023-08-10,LONG,CASCADE,0.87331,0.8737550000000001,4.5,TP,17.8,T1
2023-08-10,LONG,CASCADE,0.87429,0.874735,4.5,TP,17.8,T1
2023-08-10,LONG,CASCADE,0.87278,0.873225,4.5,TP,17.8,T1
2023-08-10,LONG,CASCADE,0.87374,0.874185,4.5,TP,17.8,T1
2023-08-11,SHORT,INITIAL,0.87472,0.8745225000000001,2.0,TP,7.9,T1
2023-08-11,SHORT,CASCADE,0.87398,0.8737825,2.0,TP,7.9,T1
2023-08-11,LONG,CASCADE,0.87552,0.8757174999999999,2.0,TP,7.9,T1
2023-08-11,SHORT,CASCADE,0.87537,0.8763780000000001,-10.1,SL,7.9,T1
2023-08-14,LONG,INITIAL,0.8786,0.8793475000000001,7.5,TP,29.9,T2
2023-08-14,LONG,CASCADE,0.881,0.8817475,7.5,TP,29.9,T2
2023-08-14,LONG,CASCADE,0.88167,0.8824175,7.5,TP,29.9,T2
2023-08-14,SHORT,CASCADE,0.88118,0.8804325,7.5,TP,29.9,T2
2023-08-14,SHORT,INITIAL,0.87499,0.875518,-5.3,SL,29.9,T2
2023-08-15,SHORT,INITIAL,0.87662,0.876996,-3.8,SL,23.1,T2
2023-08-15,SHORT,CASCADE,0.87627,0.8756925,5.8,TP,23.1,T2
2023-08-15,LONG,CASCADE,0.87656,0.8771375,5.8,TP,23.1,T2
2023-08-15,LONG,CASCADE,0.87665,0.8754572,-11.9,SL,23.1,T2
2023-08-16,LONG,INITIAL,0.88123,0.880654,-5.8,SL,27.3,T2
2023-08-17,SHORT,INITIAL,0.87777,0.878266,-5.0,SL,29.7,T2
2023-08-17,SHORT,CASCADE,0.87793,0.8771875,7.4,TP,29.7,T2
2023-08-17,LONG,CASCADE,0.87745,0.8763076000000001,-11.4,SL,29.7,T2
2023-08-18,SHORT,INITIAL,0.88014,0.8806039999999999,-4.6,SL,21.1,T2
2023-08-18,LONG,CASCADE,0.88144,0.8819675,5.3,TP,21.1,T2
2023-08-18,SHORT,CASCADE,0.88052,0.8799925,5.3,TP,21.1,T2
2023-08-18,LONG,CASCADE,0.88066,0.8811875,5.3,TP,21.1,T2
2023-08-25,SHORT,INITIAL,0.88258,0.883996,-14.2,SL,15.5,T1
2023-08-25,SHORT,CASCADE,0.88305,0.8826625,3.9,TP,15.5,T1
2023-08-28,LONG,INITIAL,0.88524,0.884568,-6.7,SL,25.1,T2
2023-08-30,SHORT,INITIAL,0.8784,0.878768,-3.7,SL,24.0,T2
2023-08-30,SHORT,CASCADE,0.87769,0.8770899999999999,6.0,TP,24.0,T2
2023-08-30,SHORT,CASCADE,0.87623,0.8756299999999999,6.0,TP,24.0,T2
2023-08-30,LONG,CASCADE,0.87639,0.8769899999999999,6.0,TP,24.0,T2
2023-08-30,LONG,INITIAL,0.8818,0.8824000000000001,6.0,TP,24.0,T2
2023-09-01,SHORT,INITIAL,0.88006,0.8796649999999999,4.0,TP,15.8,T1
2023-09-01,LONG,CASCADE,0.88219,0.8825850000000001,4.0,TP,15.8,T1
2023-09-01,LONG,CASCADE,0.88422,0.884615,4.0,TP,15.8,T1
2023-09-06,LONG,INITIAL,0.89391,0.8919900000000001,-19.2,SL,42.6,T3
2023-09-07,LONG,INITIAL,0.89333,0.89398,6.5,TP,26.0,T2
2023-09-08,LONG,INITIAL,0.89228,0.891704,-5.8,SL,19.9,T1
2023-09-15,LONG,INITIAL,0.89711,0.89671,-4.0,SL,11.4,T1
2023-09-19,LONG,INITIAL,0.89594,0.89643,4.9,TP,19.6,T1
2023-09-22,LONG,INITIAL,0.90532,0.90557,2.5,TP,10.0,T1
2023-09-29,LONG,INITIAL,0.91204,0.912615,5.7,TP,23.0,T2
2023-09-29,LONG,CASCADE,0.9128,0.9110864000000001,-17.1,SL,23.0,T2
2023-09-29,SHORT,CASCADE,0.91075,0.9122788000000001,-15.3,SL,23.0,T2
