date,time,open,high,low,close,tickvol,spread
2021.01.04,00:00:00,946.96,1164.5,887.59,1006.2,202707.0,0
2021.01.05,00:00:00,1006.3,1134.8,972.33,1082.8,196437.0,0
2021.01.06,00:00:00,1092.7,1211.7,1053.2,1181.4,196461.0,0
2021.01.07,00:00:00,1186.6,1289.4,1144.0,1254.3,194729.0,0
2021.01.08,00:00:00,1247.9,1273.7,1061.7,1188.1,198906.0,0
2021.01.11,00:00:00,1268.9,1286.6,905.43,1030.9,206733.0,0
2021.01.12,00:00:00,1025.8,1149.3,1004.4,1076.0,200894.0,0
2021.01.13,00:00:00,1083.0,1126.5,984.18,1125.1,191187.0,0
2021.01.14,00:00:00,1129.4,1244.9,1085.2,1185.6,190172.0,0
2021.01.15,00:00:00,1185.3,1253.4,1067.4,1161.5,195618.0,0
2021.01.18,00:00:00,1265.3,1265.3,1180.4,1233.1,191057.0,0
2021.01.19,00:00:00,1234.5,1438.3,1231.6,1407.4,192910.0,0
2021.01.20,00:00:00,1416.7,1423.0,1233.7,1321.7,183031.0,0
2021.01.21,00:00:00,1324.5,1388.0,1161.4,1169.3,185118.0,0
2021.01.22,00:00:00,1150.4,1273.4,1038.8,1243.6,188641.0,0
2021.01.25,00:00:00,1344.5,1473.3,1306.1,1344.5,187344.0,0
2021.01.26,00:00:00,1335.6,1377.8,1243.3,1332.4,178251.0,0
2021.01.27,00:00:00,1330.2,1374.0,1200.1,1274.5,169293.0,0
2021.01.28,00:00:00,1272.4,1357.4,1217.5,1347.8,161321.0,0
2021.01.29,00:00:00,1353.5,1436.8,1283.6,1371.5,170969.0,0
2021.02.01,00:00:00,1298.5,1351.5,1269.7,1348.4,141646.0,0
2021.02.02,00:00:00,1347.7,1537.5,1345.3,1517.8,168582.0,0
2021.02.03,00:00:00,1519.4,1648.6,1506.7,1632.1,155659.0,0
2021.02.04,00:00:00,1632.1,1695.1,1554.2,1639.4,156633.0,0
2021.02.05,00:00:00,1639.3,1760.3,1587.2,1720.0,157565.0,0
2021.02.08,00:00:00,1593.4,1775.5,1561.5,1696.3,151095.0,0
2021.02.09,00:00:00,1701.5,1820.2,1613.6,1768.1,162858.0,0
2021.02.10,00:00:00,1760.8,1836.81,1676.23,1724.84,352681.0,0
2021.02.11,00:00:00,1724.85,1817.46,1701.31,1765.91,307260.0,0
2021.02.12,00:00:00,1770.33,1861.76,1737.74,1849.95,292590.0,0
2021.02.15,00:00:00,1825.49,1834.11,1653.2,1783.01,279535.0,0
2021.02.16,00:00:00,1774.94,1823.72,1719.18,1750.48,292781.0,0
2021.02.17,00:00:00,1749.09,1853.28,1730.05,1852.65,288912.0,0
2021.02.18,00:00:00,1847.15,1948.81,1827.82,1943.0,295375.0,0
2021.02.19,00:00:00,1938.52,1973.38,1886.85,1955.41,294130.0,0
2021.02.20,00:00:00,2028.38,2032.29,1947.8,1961.56,124897.0,0
2021.02.21,00:00:00,1947.8,1973.39,1797.73,1916.24,308422.0,0
2021.02.22,00:00:00,1921.5,1938.23,1499.17,1796.8,319853.0,0
2021.02.23,00:00:00,1797.8,1799.58,1347.8,1532.15,335298.0,0
2021.02.24,00:00:00,1523.73,1710.73,1494.96,1586.24,278235.0,0
2021.02.25,00:00:00,1566.55,1668.15,1518.45,1518.87,381756.0,0
2021.02.26,00:00:00,1508.52,1560.18,1394.92,1424.09,441167.0,0
2021.02.27,00:00:00,1417.8,1524.77,1400.44,1504.29,225816.0,0
2021.02.28,00:00:00,1499.14,1505.28,1288.5,1412.22,398024.0,0
