source_state_id,state_value,asset,level,MECH2_status,family_id,strategy_id,entry_rule_accepts,coverage_status,reason
BTC_B0_NORMAL,B0_NORMAL,BTC,L1,PROMOTE_TO_ALPHA,FAM_X,ALPHA1_S013,YES,CONTROL_ONLY,normal-basis CONTROL baseline
BTC_B4_EXTREME_NEGATIVE,B4_EXTREME_NEGATIVE,BTC,L1,PROMOTE_TO_ALPHA,FAM_A,ALPHA1_S001;ALPHA1_S002;ALPHA1_S003,YES,DIRECTLY_CONSUMED,accepted by ALPHA1_S001 ALPHA1_S002 ALPHA1_S003
BTC_B0_NORMAL+F_NORMAL,B0_NORMAL+F_NORMAL,BTC,L2,PROMOTE_TO_ALPHA,FAM_X,ALPHA1_S013,YES,CONTROL_ONLY,normal-basis CONTROL baseline
BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,BTC,L2,PROMOTE_TO_ALPHA,FAM_B,ALPHA1_S004;ALPHA1_S005;ALPHA1_S006,YES,DIRECTLY_CONSUMED,accepted by ALPHA1_S004 ALPHA1_S005 ALPHA1_S006
BTC_B4_EXTREME_NEGATIVE+F_NEG_EXTREME,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,BTC,L2,PROMOTE_TO_ALPHA,FAM_B,ALPHA1_S004;ALPHA1_S005;ALPHA1_S006,YES,DIRECTLY_CONSUMED,accepted by ALPHA1_S004 ALPHA1_S005 ALPHA1_S006
BTC_B0_NORMAL+F_NEG_EXTREME,B0_NORMAL+F_NEG_EXTREME,BTC,L2,PROMOTE_TO_ALPHA,FAM_E,ALPHA1_S011;ALPHA1_S012,YES,DIRECTLY_CONSUMED,accepted by ALPHA1_S011 ALPHA1_S012
BTC_B0_NORMAL+F_NEG_ELEVATED+V_HIGH,B0_NORMAL+F_NEG_ELEVATED+V_HIGH,BTC,L3,PROMOTE_TO_ALPHA,FAM_C,none,NO,DESIGN_REJECTED_WITH_REASON,FAM_C entry requires extreme neg basis
BTC_B0_NORMAL+F_NORMAL+V_HIGH,B0_NORMAL+F_NORMAL+V_HIGH,BTC,L3,PROMOTE_TO_ALPHA,FAM_C,none,NO,DESIGN_REJECTED_WITH_REASON,FAM_C entry requires extreme neg basis
BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,BTC,L3,PROMOTE_TO_ALPHA,FAM_C,ALPHA1_S007;ALPHA1_S008,YES,DIRECTLY_CONSUMED,accepted by ALPHA1_S007 ALPHA1_S008
BTC_B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,BTC,L3,PROMOTE_TO_ALPHA,FAM_C,none,NO,DESIGN_REJECTED_WITH_REASON,FAM_C entry requires extreme neg basis
BTC_B0_NORMAL+F_NORMAL+V_EXTREME,B0_NORMAL+F_NORMAL+V_EXTREME,BTC,L3,PROMOTE_TO_ALPHA,FAM_C,none,NO,DESIGN_REJECTED_WITH_REASON,FAM_C entry requires extreme neg basis
BTC_B0_NORMAL+F_NEG_EXTREME+V_NORMAL,B0_NORMAL+F_NEG_EXTREME+V_NORMAL,BTC,L3,PROMOTE_TO_ALPHA,FAM_C,none,NO,DESIGN_REJECTED_WITH_REASON,FAM_C entry requires extreme neg basis
BTC_B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_NORMAL,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_NORMAL,BTC,L3,PROMOTE_TO_ALPHA,FAM_C,ALPHA1_S007;ALPHA1_S008,YES,DIRECTLY_CONSUMED,accepted by ALPHA1_S007 ALPHA1_S008
ETH_B3_ELEVATED_NEGATIVE,B3_ELEVATED_NEGATIVE,ETH,L1,PROMOTE_TO_ALPHA,FAM_A,ALPHA1_S001;ALPHA1_S002;ALPHA1_S003,YES,DIRECTLY_CONSUMED,accepted by ALPHA1_S001 ALPHA1_S002 ALPHA1_S003
ETH_B4_EXTREME_NEGATIVE,B4_EXTREME_NEGATIVE,ETH,L1,PROMOTE_TO_ALPHA,FAM_A,ALPHA1_S001;ALPHA1_S002;ALPHA1_S003,YES,DIRECTLY_CONSUMED,accepted by ALPHA1_S001 ALPHA1_S002 ALPHA1_S003
ETH_ETH_LED,ETH_LED,ETH,L1,PROMOTE_TO_ALPHA,FAM_D,ALPHA1_S009;ALPHA1_S010,YES,DIRECTLY_CONSUMED,accepted by ALPHA1_S009 ALPHA1_S010
ETH_ETH_SPECIFIC,ETH_SPECIFIC,ETH,L1,PROMOTE_TO_ALPHA,FAM_D,ALPHA1_S009;ALPHA1_S010,YES,DIRECTLY_CONSUMED,accepted by ALPHA1_S009 ALPHA1_S010
ETH_SYSTEMIC_STRESS,SYSTEMIC_STRESS,ETH,L1,PROMOTE_TO_ALPHA,FAM_D,none,NO,DESIGN_REJECTED_WITH_REASON,SYSTEMIC_STRESS: no directional signal
