price_contribution_bps,funding_contribution_bps,cost_contribution_bps,net_edge_bps,funding_share_of_gross,strategy_id
-800.3577,-9.5104,-4240.0,-5049.8681,0.0119,ALPHA1_S001
3067.0171,-11.571,-2650.0,405.446,-0.0038,ALPHA1_S002
908.466,-3.9305,-870.0,34.5352,-0.0043,ALPHA1_S003
121.0219,-9.5092,-1725.0,-1613.4873,-0.0786,ALPHA1_S004
-301.7956,-4.0229,-225.0,-530.8185,0.0133,ALPHA1_S005
-509.3673,-1.4925,-150.0,-660.8599,0.0029,ALPHA1_S006
648.0289,-5.6384,-1025.0,-382.6092,-0.0087,ALPHA1_S007
-690.9279,-2.6671,-950.0,-1643.5949,0.0039,ALPHA1_S008
-2130.5868,-4.7674,-1170.0,-3305.3547,0.0022,ALPHA1_S009
-171.4487,-2.6136,-3237.5,-3411.5628,0.0152,ALPHA1_S010
369.8773,-0.1213,-395.0,-25.244,-0.0003,ALPHA1_S011
441.1142,-0.8371,-975.0,-534.7233,-0.0019,ALPHA1_S012
1677.601,8.4691,-2155.0,-468.9297,0.005,ALPHA1_S013
