month,trade_count,gross_EV,net_EV,net_PF,strategy_id
2026-01,23,-38.3374,-43.2938,0.0192,ALPHA1_S001
2026-02,189,-5.0866,-10.0055,0.5542,ALPHA1_S001
2026-03,218,-3.7841,-8.7035,0.4604,ALPHA1_S001
2026-04,220,-2.2871,-7.1645,0.5737,ALPHA1_S001
2026-05,123,0.0203,-4.9395,0.4852,ALPHA1_S001
2026-06,75,-8.2622,-13.2408,0.349,ALPHA1_S001
2026-01,6,-19.7333,-32.1619,0.6347,ALPHA1_S002
2026-02,58,1.743,-10.4165,0.8795,ALPHA1_S002
2026-03,50,6.9903,-4.9456,0.9358,ALPHA1_S002
2026-04,52,20.8531,9.2286,1.1446,ALPHA1_S002
2026-05,21,-16.194,-28.4737,0.4498,ALPHA1_S002
2026-06,25,1.096,-11.4283,0.8282,ALPHA1_S002
2026-01,2,-4.8037,-9.659,0.0,ALPHA1_S003
2026-02,41,14.9102,10.0324,1.6293,ALPHA1_S003
2026-03,39,-6.8107,-11.7495,0.1495,ALPHA1_S003
2026-04,66,-2.0185,-6.9247,0.4369,ALPHA1_S003
2026-05,17,-5.5547,-10.5038,0.0,ALPHA1_S003
2026-06,9,-1.1688,-6.1728,0.2641,ALPHA1_S003
2026-01,7,-52.1352,-56.7497,0.0,ALPHA1_S004
2026-02,82,2.4153,-2.3269,0.9152,ALPHA1_S004
2026-03,92,-1.4928,-6.3058,0.6882,ALPHA1_S004
2026-04,101,-9.6575,-14.3923,0.4365,ALPHA1_S004
2026-05,37,-3.2763,-8.1859,0.3668,ALPHA1_S004
2026-06,25,-13.5828,-18.5327,0.2919,ALPHA1_S004
2026-01,2,74.8085,70.6444,12.8398,ALPHA1_S005
2026-02,14,-56.1943,-59.9319,0.3289,ALPHA1_S005
2026-03,10,-5.8525,-10.0014,0.5722,ALPHA1_S005
2026-04,17,-13.6585,-17.7521,0.58,ALPHA1_S005
2026-05,2,0.0,-5.0,0.0,ALPHA1_S005
2026-01,1,166.4915,163.1201,0.0,ALPHA1_S006
2026-02,6,18.4493,14.7609,1.8806,ALPHA1_S006
2026-03,11,-22.9189,-27.3388,0.1836,ALPHA1_S006
2026-04,9,-26.7007,-30.8046,0.4238,ALPHA1_S006
2026-05,3,20.3318,15.4855,5.6456,ALPHA1_S006
2026-01,4,-124.5685,-129.0637,0.0263,ALPHA1_S007
2026-02,93,3.7972,-0.9328,0.9641,ALPHA1_S007
2026-03,61,-1.8949,-6.7787,0.7074,ALPHA1_S007
2026-04,19,-47.6103,-52.2429,0.006,ALPHA1_S007
2026-05,3,-3.8763,-8.7182,0.0,ALPHA1_S007
2026-06,25,-21.9627,-26.9524,0.2604,ALPHA1_S007
2026-01,3,16.5875,4.711,1.2929,ALPHA1_S008
2026-02,37,-1.539,-13.5098,0.7188,ALPHA1_S008
2026-03,20,-16.7372,-29.0357,0.1044,ALPHA1_S008
2026-04,2,-40.3088,-52.2147,0.0,ALPHA1_S008
2026-06,14,-45.9541,-58.4541,0.0764,ALPHA1_S008
2026-01,14,-77.6833,-82.2211,0.1404,ALPHA1_S009
2026-02,60,-17.5647,-22.3574,0.288,ALPHA1_S009
2026-03,42,-3.8328,-8.5969,0.703,ALPHA1_S009
2026-04,50,-16.3243,-21.017,0.3452,ALPHA1_S009
2026-05,34,3.7963,-1.2027,0.7523,ALPHA1_S009
2026-06,34,-12.3674,-17.3004,0.5921,ALPHA1_S009
2026-01,15,-64.9323,-76.9237,0.1349,ALPHA1_S010
2026-02,67,-7.918,-20.3583,0.4509,ALPHA1_S010
2026-03,50,0.4689,-11.9128,0.6016,ALPHA1_S010
2026-04,58,4.8138,-7.5696,0.639,ALPHA1_S010
2026-05,35,1.9687,-10.5377,0.1272,ALPHA1_S010
2026-06,34,-14.2722,-26.7016,0.4469,ALPHA1_S010
2026-01,2,-8.0798,-12.9573,0.0,ALPHA1_S011
2026-02,15,8.133,3.2056,1.5295,ALPHA1_S011
2026-03,19,-5.2299,-10.212,0.0,ALPHA1_S011
2026-04,23,1.8155,-3.1461,0.6496,ALPHA1_S011
2026-05,14,-2.8064,-7.7293,0.0964,ALPHA1_S011
2026-06,6,15.6121,10.6526,3.5566,ALPHA1_S011
2026-01,2,-266.2384,-278.615,0.0,ALPHA1_S012
2026-02,15,-1.6645,-13.9972,0.6497,ALPHA1_S012
2026-03,19,-15.496,-27.8754,0.0735,ALPHA1_S012
2026-04,23,1.9187,-10.4831,0.2967,ALPHA1_S012
2026-05,14,4.1351,-8.2336,0.33,ALPHA1_S012
2026-06,5,54.8824,42.4941,2.4447,ALPHA1_S012
2026-01,10,-73.1613,-78.6203,0.1208,ALPHA1_S013
2026-02,91,0.7441,-4.4316,0.834,ALPHA1_S013
2026-03,112,11.446,6.362,1.3021,ALPHA1_S013
2026-04,112,10.3974,5.3587,1.4307,ALPHA1_S013
2026-05,77,-3.9357,-9.0682,0.6104,ALPHA1_S013
2026-06,29,23.7397,18.4842,1.7143,ALPHA1_S013
