strategy_id,family_id,asset,source_state_id,signal_timestamp,decision_timestamp,entry_timestamp,entry_price,direction,execution_object,exit_timestamp,exit_price,exit_reason,invalidation_reason,holding_hours,gross_bps,entry_cost_bps,exit_cost_bps,funding_bps,net_bps,gross_R,net_R,MAE,MFE,state_at_entry,state_at_exit,control_id,effective_episode_id
ALPHA1_S001,FAM_A,BTC,,2026-01-26T05:00:00+00:00,2026-01-26T05:00:00+00:00,2026-01-26T06:00:00+00:00,87773.0,LONG,perp,2026-01-26T06:00:00+00:00,87773.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0015,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-26T11:00:00+00:00,2026-01-26T11:00:00+00:00,2026-01-26T12:00:00+00:00,87804.0,LONG,perp,2026-01-26T12:00:00+00:00,87804.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0004,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-26T16:00:00+00:00,2026-01-26T16:00:00+00:00,2026-01-26T17:00:00+00:00,87557.0,LONG,perp,2026-01-26T18:00:00+00:00,87650.0,STATE_EXIT,,2,10.6217,2.5,2.5,-0.0115,5.6102,0.1062,0.0561,0.0,0.0092,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-28T20:00:00+00:00,2026-01-28T20:00:00+00:00,2026-01-28T21:00:00+00:00,89081.0,LONG,perp,2026-01-28T21:00:00+00:00,89081.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0033,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-29T11:00:00+00:00,2026-01-29T11:00:00+00:00,2026-01-29T12:00:00+00:00,87795.0,LONG,perp,2026-01-29T12:00:00+00:00,87795.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0034,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-30T05:00:00+00:00,2026-01-30T05:00:00+00:00,2026-01-30T06:00:00+00:00,82850.0,LONG,perp,2026-01-30T07:00:00+00:00,82554.0,STATE_EXIT,,2,-35.7272,2.5,2.5,-0.0245,-40.7517,-0.3573,-0.4075,-0.0036,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-30T08:00:00+00:00,2026-01-30T08:00:00+00:00,2026-01-30T09:00:00+00:00,82621.0,LONG,perp,2026-01-30T11:00:00+00:00,82777.0,STATE_EXIT,,3,18.8814,2.5,2.5,0.0517,13.9331,0.1888,0.1393,-0.0037,0.006,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-31T06:00:00+00:00,2026-01-31T06:00:00+00:00,2026-01-31T07:00:00+00:00,83736.0,LONG,perp,2026-01-31T07:00:00+00:00,83736.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0026,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-31T16:00:00+00:00,2026-01-31T16:00:00+00:00,2026-01-31T17:00:00+00:00,80311.0,LONG,perp,2026-01-31T17:00:00+00:00,80311.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.018,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-01T14:00:00+00:00,2026-02-01T14:00:00+00:00,2026-02-01T15:00:00+00:00,78166.0,LONG,perp,2026-02-01T16:00:00+00:00,77546.0,STATE_EXIT,,2,-79.3184,2.5,2.5,-0.0177,-84.3361,-0.7932,-0.8434,-0.009,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-02T03:00:00+00:00,2026-02-02T03:00:00+00:00,2026-02-02T04:00:00+00:00,76256.0,LONG,perp,2026-02-02T04:00:00+00:00,76256.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0053,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-02T06:00:00+00:00,2026-02-02T06:00:00+00:00,2026-02-02T07:00:00+00:00,76491.0,LONG,perp,2026-02-02T08:00:00+00:00,76610.0,STATE_EXIT,,2,15.5574,2.5,2.5,0.0811,10.6385,0.1556,0.1064,0.0,0.0047,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-02T09:00:00+00:00,2026-02-02T09:00:00+00:00,2026-02-02T10:00:00+00:00,77659.0,LONG,perp,2026-02-02T10:00:00+00:00,77659.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0025,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-02T14:00:00+00:00,2026-02-02T14:00:00+00:00,2026-02-02T15:00:00+00:00,77796.0,LONG,perp,2026-02-02T18:00:00+00:00,78926.0,STATE_EXIT,,4,145.2517,2.5,2.5,0.5809,140.8326,1.4525,1.4083,0.0,0.0145,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-02T19:00:00+00:00,2026-02-02T19:00:00+00:00,2026-02-02T20:00:00+00:00,78288.0,LONG,perp,2026-02-02T20:00:00+00:00,78288.0,INVALIDATION,INVALIDATION,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0046,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-02T23:00:00+00:00,2026-02-02T23:00:00+00:00,2026-02-03T00:00:00+00:00,78684.0,LONG,perp,2026-02-03T00:00:00+00:00,78684.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0044,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-03T01:00:00+00:00,2026-02-03T01:00:00+00:00,2026-02-03T02:00:00+00:00,78972.0,LONG,perp,2026-02-03T04:00:00+00:00,78691.0,STATE_EXIT,,3,-35.5822,2.5,2.5,0.0652,-40.517,-0.3558,-0.4052,-0.0154,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-03T05:00:00+00:00,2026-02-03T05:00:00+00:00,2026-02-03T06:00:00+00:00,78194.0,LONG,perp,2026-02-03T06:00:00+00:00,78194.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0046,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-03T07:00:00+00:00,2026-02-03T07:00:00+00:00,2026-02-03T08:00:00+00:00,78743.0,LONG,perp,2026-02-03T08:00:00+00:00,78743.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0005,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-03T10:00:00+00:00,2026-02-03T10:00:00+00:00,2026-02-03T11:00:00+00:00,78072.0,LONG,perp,2026-02-03T12:00:00+00:00,78035.0,STATE_EXIT,,2,-4.7392,2.5,2.5,0.0071,-9.7321,-0.0474,-0.0973,-0.0005,0.003,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-03T17:00:00+00:00,2026-02-03T17:00:00+00:00,2026-02-03T18:00:00+00:00,74868.0,LONG,perp,2026-02-03T18:00:00+00:00,74868.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0233,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-04T15:00:00+00:00,2026-02-04T15:00:00+00:00,2026-02-04T16:00:00+00:00,74092.0,LONG,perp,2026-02-04T16:00:00+00:00,74092.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0064,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-05T00:00:00+00:00,2026-02-05T00:00:00+00:00,2026-02-05T01:00:00+00:00,72827.0,LONG,perp,2026-02-05T02:00:00+00:00,72377.0,STATE_EXIT,,2,-61.7903,2.5,2.5,-0.125,-66.9153,-0.6179,-0.6692,-0.0189,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-05T20:00:00+00:00,2026-02-05T20:00:00+00:00,2026-02-05T21:00:00+00:00,63726.0,LONG,perp,2026-02-05T21:00:00+00:00,63726.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.008,0.0,,,ALPHA1_C006,
