strategy_id,raw_trade_count,effective_event_count,trades_per_month,win_rate,gross_EV,net_EV,gross_PF,net_PF,payoff_ratio,mean_R,median_R,p5_R,worst_R,max_drawdown_R,max_losing_streak,MAE,MFE,median_hold_hours,mean_hold_hours,total_transaction_cost_bps,cost_share_of_gross_edge,funding_contribution_bps,funding_share_of_net_edge,month_concentration,state_concentration,asset_concentration
ALPHA1_S001,848,169,180.85,0.4587,-1.006,-5.9264,0.9633,0.8023,0.9467,-0.0593,-0.0423,-1.3302,-5.3619,65.5089,11,-5.3125,4.7919,1,1.88,4240.0,4.9704,0.0795,-0.0134,0.2594,0.0,0.5083
ALPHA1_S002,176,94,38.66,0.5284,13.4466,1.2813,1.1841,1.0163,0.9071,0.0128,0.0573,-3.5726,-7.4617,38.4018,6,-7.3893,8.1622,9,11.08,2200.0,0.9296,0.3347,0.2612,0.3011,0.0,0.5341
ALPHA1_S003,174,96,39.95,0.5345,5.1553,0.2398,1.2197,1.0093,0.8791,0.0024,0.057,-1.328,-2.9379,6.341,5,-2.8879,4.533,1,1.48,870.0,0.9699,0.0845,0.3524,0.3793,0.0,0.5172
ALPHA1_S004,331,143,74.41,0.4773,0.5535,-4.2389,1.0171,0.8777,0.961,-0.0424,-0.0194,-1.6551,-5.3619,27.4494,9,-5.3125,4.7919,2,2.4,1655.0,9.0333,0.2076,-0.049,0.287,0.0,0.5347
ALPHA1_S005,45,30,17.47,0.4,-6.9089,-10.9474,0.8478,0.7702,1.1553,-0.1095,-0.1135,-1.415,-3.8773,7.1493,6,-3.884,2.9706,3,4.78,225.0,0.7237,0.9615,-0.0878,0.3778,0.0,0.5778
ALPHA1_S006,30,25,8.35,0.4333,-17.2849,-21.4715,0.6561,0.5908,0.7726,-0.2147,-0.0264,-1.757,-2.5202,7.6644,4,-2.4702,2.965,4,4.1,150.0,0.2893,0.8134,-0.0379,0.3667,0.0,0.5333
ALPHA1_S007,205,62,46.08,0.5024,3.0476,-1.7479,1.082,0.9558,0.9465,-0.0175,0.0058,-2.1738,-5.3619,17.577,10,-5.3125,4.7919,1,2.32,1025.0,1.6407,0.2045,-0.117,0.4537,0.0,0.5854
ALPHA1_S008,76,22,17.85,0.3816,-9.1802,-21.3293,0.8131,0.622,1.008,-0.2133,-0.2303,-2.2588,-5.4369,17.3064,6,-5.3125,4.7919,2,2.62,950.0,1.3616,0.3509,-0.0165,0.4868,0.0,0.5
ALPHA1_S009,232,133,49.79,0.4698,-7.4643,-12.2882,0.8153,0.7133,0.8049,-0.1229,-0.0358,-2.369,-9.4264,31.9876,7,-9.4341,4.4395,1,2.88,1160.0,0.6699,0.1761,-0.0143,0.2543,0.0,1.0
ALPHA1_S010,258,138,55.37,0.407,0.5856,-11.8191,1.0159,0.7292,1.0626,-0.1182,-0.1205,-2.1795,-5.7077,32.6972,9,-5.5866,7.0215,1,2.39,3225.0,21.3467,0.0954,-0.0081,0.2558,0.0,1.0
ALPHA1_S011,79,70,18.44,0.4937,4.7628,-0.1881,1.2215,0.9922,1.0176,-0.0019,-0.034,-0.9359,-2.2665,6.2787,5,-2.219,1.992,1,1.27,395.0,1.0498,0.0491,-0.2612,0.2911,0.0,0.557
ALPHA1_S012,76,66,17.74,0.4079,7.9033,-4.4791,1.259,0.88,1.2774,-0.0448,-0.109,-1.4367,-6.3775,11.3251,6,-6.2549,4.8139,1,1.99,950.0,1.5816,0.1176,-0.0262,0.3026,0.0,0.5789
ALPHA1_S013,431,123,91.32,0.4432,3.9431,-1.1774,1.1343,0.9633,1.2105,-0.0118,-0.0892,-1.1568,-4.4404,15.5938,6,-4.3819,5.584,3,3.75,2155.0,1.2681,-0.1205,0.1023,0.2599,0.0,1.0
