strategy_id,ALPHA2_trade_count,ALPHA2R_trade_count,FINAL_trade_count,ALPHA2_gross_EV,ALPHA2R_gross_EV,FINAL_gross_EV,ALPHA2_funding,ALPHA2R_funding,FINAL_funding,ALPHA2_net_EV,ALPHA2R_net_EV,FINAL_net_EV,ALPHA2_net_PF,ALPHA2R_net_PF,FINAL_net_PF,ALPHA2_status,ALPHA2R_status,FINAL_status,difference_reason
ALPHA1_S001,848,848,848,-0.9438,-4.4675,-1.006,-9.5104,0.0795,0.0795,-5.955,-9.3879,-5.9264,0.8016,0.4754,0.8023,,,FALSIFIED,FUNDING_SIGN_FIX+FUNDING_FREQUENCY_FIX+PRICE_SOURCE_FIX
ALPHA1_S002,212,212,176,14.4671,5.2071,13.4466,-11.571,0.4619,0.3347,1.9125,-6.831,1.2813,1.025,0.9063,1.0163,,,FALSIFIED,FUNDING_SIGN_FIX+FUNDING_FREQUENCY_FIX+PRICE_SOURCE_FIX
ALPHA1_S003,174,174,174,5.2211,0.5628,5.1553,-3.9305,0.0845,0.0845,0.1985,-4.3527,0.2398,1.0077,0.6674,1.0093,,,FALSIFIED,FUNDING_SIGN_FIX+FUNDING_FREQUENCY_FIX+PRICE_SOURCE_FIX
ALPHA1_S004,345,344,331,0.3508,-5.0594,0.5535,-9.5092,0.2105,0.2076,-4.6768,-9.8489,-4.2389,0.8666,0.5878,0.8777,,,FALSIFIED,FUNDING_SIGN_FIX+FUNDING_FREQUENCY_FIX+PRICE_SOURCE_FIX
ALPHA1_S005,45,45,45,-6.7066,-20.6183,-6.9089,-4.0229,0.9615,0.9615,-11.796,-24.6568,-10.9474,0.7563,0.5012,0.7702,,,FALSIFIED,FUNDING_SIGN_FIX+FUNDING_FREQUENCY_FIX+PRICE_SOURCE_FIX
ALPHA1_S006,30,30,30,-16.9789,-5.141,-17.2849,-1.4925,0.8134,0.8134,-22.0287,-9.3276,-21.4715,0.5838,0.7086,0.5908,,,FALSIFIED,FUNDING_SIGN_FIX+FUNDING_FREQUENCY_FIX+PRICE_SOURCE_FIX
ALPHA1_S007,205,205,205,3.1611,-8.4196,3.0476,-5.6384,0.2045,0.2045,-1.8664,-13.215,-1.7479,0.9528,0.5698,0.9558,,,FALSIFIED,FUNDING_SIGN_FIX+FUNDING_FREQUENCY_FIX+PRICE_SOURCE_FIX
ALPHA1_S008,76,76,76,-9.0912,-14.025,-9.1802,-2.6671,0.3509,0.3509,-21.6262,-26.1741,-21.3293,0.6181,0.4259,0.622,,,FALSIFIED,FUNDING_SIGN_FIX+FUNDING_FREQUENCY_FIX+PRICE_SOURCE_FIX
ALPHA1_S009,234,234,232,-9.1051,-14.5729,-7.4643,-4.7674,0.1987,0.1761,-14.1254,-19.3742,-12.2882,0.6819,0.4075,0.7133,,,FALSIFIED,FUNDING_SIGN_FIX+FUNDING_FREQUENCY_FIX+PRICE_SOURCE_FIX
ALPHA1_S010,259,259,258,-0.662,-6.2479,0.5856,-2.6136,0.1022,0.0954,-13.1721,-18.6456,-11.8191,0.7063,0.438,0.7292,,,FALSIFIED,FUNDING_SIGN_FIX+FUNDING_FREQUENCY_FIX+PRICE_SOURCE_FIX
ALPHA1_S011,79,79,79,4.682,1.2988,4.7628,-0.1213,0.0491,0.0491,-0.3195,-3.6521,-0.1881,0.9867,0.5642,0.9922,,,FALSIFIED,FUNDING_SIGN_FIX+FUNDING_FREQUENCY_FIX+PRICE_SOURCE_FIX
ALPHA1_S012,78,78,76,5.6553,-6.0953,7.9033,-0.8371,0.1244,0.1176,-6.8554,-18.4709,-4.4791,0.828,0.3972,0.88,,,FALSIFIED,FUNDING_SIGN_FIX+FUNDING_FREQUENCY_FIX+PRICE_SOURCE_FIX
ALPHA1_S013,431,431,431,3.8923,5.0301,3.9431,8.4691,-0.1205,-0.1205,-1.088,-0.0904,-1.1774,0.9661,0.9959,0.9633,,,FALSIFIED,FUNDING_SIGN_FIX+FUNDING_FREQUENCY_FIX+PRICE_SOURCE_FIX
