strategy_id,family_id,asset,source_state_id,signal_timestamp,decision_timestamp,entry_timestamp,entry_price,direction,execution_object,exit_timestamp,exit_price,exit_reason,invalidation_reason,holding_hours,gross_bps,entry_cost_bps,exit_cost_bps,funding_bps,net_bps,gross_R,net_R,MAE,MFE,control_id
ALPHA1_S001,FAM_A,BTC,,2026-01-26T05:00:00+00:00,2026-01-26T05:00:00+00:00,2026-01-26T06:00:00+00:00,87773.0,LONG,perp,2026-01-26T06:00:00+00:00,87902.0,STATE_EXIT,,1,14.697,2.5,2.5,0.0,9.697,0.147,0.097,0.0,0.0015,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-01-26T11:00:00+00:00,2026-01-26T11:00:00+00:00,2026-01-26T12:00:00+00:00,87804.0,LONG,perp,2026-01-26T12:00:00+00:00,87769.0,STATE_EXIT,,1,-3.9862,2.5,2.5,0.0,-8.9862,-0.0399,-0.0899,-0.0004,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-01-26T16:00:00+00:00,2026-01-26T16:00:00+00:00,2026-01-26T17:00:00+00:00,87557.0,LONG,perp,2026-01-26T18:00:00+00:00,88365.0,STATE_EXIT,,2,92.2827,2.5,2.5,-0.0115,87.2713,0.9228,0.8727,0.0,0.0092,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-01-28T20:00:00+00:00,2026-01-28T20:00:00+00:00,2026-01-28T21:00:00+00:00,89081.0,LONG,perp,2026-01-28T21:00:00+00:00,89378.0,STATE_EXIT,,1,33.3404,2.5,2.5,0.0,28.3404,0.3334,0.2834,0.0,0.0033,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-01-29T11:00:00+00:00,2026-01-29T11:00:00+00:00,2026-01-29T12:00:00+00:00,87795.0,LONG,perp,2026-01-29T12:00:00+00:00,88094.0,STATE_EXIT,,1,34.0566,2.5,2.5,0.0,29.0566,0.3406,0.2906,0.0,0.0034,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-01-30T05:00:00+00:00,2026-01-30T05:00:00+00:00,2026-01-30T06:00:00+00:00,82850.0,LONG,perp,2026-01-30T07:00:00+00:00,82776.0,STATE_EXIT,,2,-8.9318,2.5,2.5,-0.0245,-13.9563,-0.0893,-0.1396,-0.0036,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-01-30T08:00:00+00:00,2026-01-30T08:00:00+00:00,2026-01-30T09:00:00+00:00,82621.0,LONG,perp,2026-01-30T11:00:00+00:00,83119.0,STATE_EXIT,,3,60.2752,2.5,2.5,0.0517,55.3269,0.6028,0.5533,-0.0037,0.006,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-01-31T06:00:00+00:00,2026-01-31T06:00:00+00:00,2026-01-31T07:00:00+00:00,83736.0,LONG,perp,2026-01-31T07:00:00+00:00,83517.0,STATE_EXIT,,1,-26.1536,2.5,2.5,0.0,-31.1536,-0.2615,-0.3115,-0.0026,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-01-31T16:00:00+00:00,2026-01-31T16:00:00+00:00,2026-01-31T17:00:00+00:00,80311.0,LONG,perp,2026-01-31T17:00:00+00:00,78866.0,STATE_EXIT,,1,-179.9255,2.5,2.5,0.0,-184.9255,-1.7993,-1.8493,-0.018,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-01T14:00:00+00:00,2026-02-01T14:00:00+00:00,2026-02-01T15:00:00+00:00,78166.0,LONG,perp,2026-02-01T16:00:00+00:00,77461.0,STATE_EXIT,,2,-90.1927,2.5,2.5,-0.0177,-95.2104,-0.9019,-0.9521,-0.009,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-02T03:00:00+00:00,2026-02-02T03:00:00+00:00,2026-02-02T04:00:00+00:00,76256.0,LONG,perp,2026-02-02T04:00:00+00:00,75853.0,STATE_EXIT,,1,-52.8483,2.5,2.5,0.0,-57.8483,-0.5285,-0.5785,-0.0053,0.0,ALPHA1_C006
