historical_date,band,asset_count_method,n_unique_assets,n_any_perp_hl_or_okx,n_mature_30d_hl_or_okx,n_hl_eligible_ex_liquidity,n_okx_maturity_eligible,n_eligible_ex_liquidity_any_venue,n_unverifiable_binance_bybit
2024-06-01,1-10,UNIQUE_PIT_ASSET,10,9,8,7,8,8,10
2024-06-01,11-25,UNIQUE_PIT_ASSET,15,13,12,9,12,12,15
2024-06-01,26-50,UNIQUE_PIT_ASSET,25,23,19,15,16,19,25
2024-06-01,51-100,UNIQUE_PIT_ASSET,50,37,34,24,26,34,50
2024-06-01,101-200,UNIQUE_PIT_ASSET,100,50,40,19,34,40,100
2024-06-01,201-300,UNIQUE_PIT_ASSET,100,25,18,8,15,18,100
2024-06-01,301-500,UNIQUE_PIT_ASSET,200,32,12,7,7,12,200
2025-01-01,1-10,UNIQUE_PIT_ASSET,10,9,9,8,9,9,10
2025-01-01,11-25,UNIQUE_PIT_ASSET,15,13,11,9,11,11,15
2025-01-01,26-50,UNIQUE_PIT_ASSET,25,22,18,15,14,18,25
2025-01-01,51-100,UNIQUE_PIT_ASSET,50,39,31,21,28,31,50
2025-01-01,101-200,UNIQUE_PIT_ASSET,100,63,54,31,48,54,100
2025-01-01,201-300,UNIQUE_PIT_ASSET,100,27,22,10,17,22,100
2025-01-01,301-500,UNIQUE_PIT_ASSET,200,39,19,10,15,19,200
2025-06-01,1-10,UNIQUE_PIT_ASSET,10,9,9,8,9,9,10
2025-06-01,11-25,UNIQUE_PIT_ASSET,15,12,10,9,10,10,15
2025-06-01,26-50,UNIQUE_PIT_ASSET,25,21,20,16,16,20,25
2025-06-01,51-100,UNIQUE_PIT_ASSET,50,39,33,27,27,33,50
2025-06-01,101-200,UNIQUE_PIT_ASSET,100,57,50,30,48,50,100
2025-06-01,201-300,UNIQUE_PIT_ASSET,100,31,28,19,23,28,100
2025-06-01,301-500,UNIQUE_PIT_ASSET,200,54,38,20,28,38,200
2026-01-01,1-10,UNIQUE_PIT_ASSET,10,9,9,8,9,9,10
2026-01-01,11-25,UNIQUE_PIT_ASSET,15,12,11,10,11,11,15
2026-01-01,26-50,UNIQUE_PIT_ASSET,25,18,16,12,14,16,25
2026-01-01,51-100,UNIQUE_PIT_ASSET,50,39,36,31,33,36,50
2026-01-01,101-200,UNIQUE_PIT_ASSET,100,64,60,38,57,60,100
2026-01-01,201-300,UNIQUE_PIT_ASSET,100,2,1,1,1,1,100
2026-01-01,301-500,UNIQUE_PIT_ASSET,200,71,61,29,55,61,200
2026-08-20,1-10,UNIQUE_PIT_ASSET,10,9,9,8,9,9,10
2026-08-20,11-25,UNIQUE_PIT_ASSET,15,10,10,10,9,10,15
2026-08-20,26-50,UNIQUE_PIT_ASSET,25,20,20,16,18,20,25
2026-08-20,51-100,UNIQUE_PIT_ASSET,50,35,35,32,31,35,50
2026-08-20,101-200,UNIQUE_PIT_ASSET,100,64,64,34,62,64,100
2026-08-20,201-300,UNIQUE_PIT_ASSET,100,4,3,2,2,3,100
2026-08-20,301-500,UNIQUE_PIT_ASSET,200,67,62,30,56,62,200
ALL_DATES,1-10,UNIQUE_PIT_ASSET,50,45,44,39,44,44,50
ALL_DATES,11-25,UNIQUE_PIT_ASSET,75,60,54,47,53,54,75
ALL_DATES,26-50,UNIQUE_PIT_ASSET,125,104,93,74,78,93,125
ALL_DATES,51-100,UNIQUE_PIT_ASSET,250,189,169,135,145,169,250
ALL_DATES,101-200,UNIQUE_PIT_ASSET,500,298,268,152,249,268,500
ALL_DATES,201-300,UNIQUE_PIT_ASSET,500,89,72,40,58,72,500
ALL_DATES,301-500,UNIQUE_PIT_ASSET,1000,263,192,96,161,192,1000
