internal_asset_id,cmc_id,cmc_slug,cmc_name,canonical_symbol,symbols_observed,coingecko_id,cg_join,coinpaprika_id,cp_join,date_added_cmc,first_seen_in_snapshots,last_seen_in_snapshots,ticker_reuse_flagged
CMC:1,1,bitcoin,Bitcoin,BTC,BTC,bitcoin,HIGH,btc-bitcoin,HIGH,2010-07-13T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:2,2,litecoin,Litecoin,LTC,LTC,litecoin,HIGH,ltc-litecoin,HIGH,2013-04-28T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:52,52,xrp,XRP,XRP,XRP,ripple,HIGH,xrp-xrp,HIGH,2013-08-04T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:74,74,dogecoin,Dogecoin,DOGE,DOGE,dogecoin,HIGH,doge-dogecoin,HIGH,2013-12-15T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:109,109,digibyte,DigiByte,DGB,DGB,digibyte,HIGH,dgb-digibyte,HIGH,2014-02-06T00:00:00.000Z,2024-06-01,2026-08-20,False
CMC:131,131,dash,Dash,DASH,DASH,dash,HIGH,dash-dash,HIGH,2014-02-14T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:328,328,monero,Monero,XMR,XMR,monero,HIGH,xmr-monero,HIGH,2014-05-21T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:512,512,stellar,Stellar,XLM,XLM,stellar,HIGH,xlm-stellar,HIGH,2014-08-05T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:541,541,syscoin,Syscoin,SYS,SYS,syscoin,HIGH,sys-syscoin,HIGH,2014-08-20T00:00:00.000Z,2024-06-01,2025-01-01,True
CMC:693,693,verge,Verge,XVG,XVG,verge,HIGH,xvg-verge,HIGH,2014-10-25T00:00:00.000Z,2024-06-01,2026-01-01,True
CMC:825,825,tether,Tether USDt,USDT,USDT,bridged-usdt,SYMBOL_ONLY,usdt-tether-usdt-2,HIGH,2015-02-25T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:873,873,nem,NEM,XEM,XEM,nem,HIGH,xem-nem,HIGH,2015-04-01T00:00:00.000Z,2024-06-01,2025-06-01,False
CMC:1027,1027,ethereum,Ethereum,ETH,ETH,ethereum,HIGH,eth-ethereum,HIGH,2015-08-07T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1042,1042,siacoin,Siacoin,SC,SC,siacoin,HIGH,sc-siacoin,HIGH,2015-08-26T00:00:00.000Z,2024-06-01,2026-01-01,True
CMC:1168,1168,decred,Decred,DCR,DCR,decred,HIGH,dcr-decred,HIGH,2016-02-10T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1214,1214,lisk,Lisk,LSK,LSK,lisk,HIGH,lsk-lisk,HIGH,2016-04-06T00:00:00.000Z,2024-06-01,2025-06-01,False
CMC:1230,1230,steem,Steem,STEEM,STEEM,steem,HIGH,steem-steem,HIGH,2016-04-18T00:00:00.000Z,2024-06-01,2025-06-01,False
CMC:1274,1274,waves,Waves,WAVES,WAVES,waves,HIGH,waves-waves,HIGH,2016-06-02T00:00:00.000Z,2024-06-01,2026-01-01,True
CMC:1320,1320,ardor,Ardor,ARDR,ARDR,ardor,HIGH,ardr-ardor,HIGH,2016-07-23T00:00:00.000Z,2024-06-01,2026-01-01,False
CMC:1321,1321,ethereum-classic,Ethereum Classic,ETC,ETC,ethereum-classic,HIGH,etc-ethereum-classic,HIGH,2016-07-24T00:00:00.000Z,2024-06-01,2026-08-20,False
CMC:1376,1376,neo,Neo,NEO,NEO,neo,HIGH,neo-neo,HIGH,2016-09-08T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1437,1437,zcash,Zcash,ZEC,ZEC,zcash,HIGH,zec-zcash,HIGH,2016-10-29T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1455,1455,golem-network-tokens,Golem,GLM,GLM,golem,HIGH,glm-golem,HIGH,2016-11-18T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1518,1518,maker,Maker,MKR,MKR,maker,HIGH,mkr-maker,HIGH,2017-01-29T00:00:00.000Z,2024-06-01,2025-01-01,True
CMC:1567,1567,nano,Nano,XNO,XNO,nano,HIGH,xno-nano,HIGH,2017-03-06T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1586,1586,ark,Ark,ARK,ARK,ark,HIGH,ark-ark,HIGH,2017-03-22T00:00:00.000Z,2024-06-01,2025-06-01,True
CMC:1637,1637,rlc,iExec RLC,RLC,RLC,iexec-rlc,HIGH,rlc-iexec-rlc,HIGH,2017-04-20T00:00:00.000Z,2024-06-01,2026-01-01,False
CMC:1659,1659,gnosis-gno,Gnosis,GNO,GNO,gnosis,HIGH,gno-gnosis,HIGH,2017-05-01T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1680,1680,aragon,Aragon,ANT,ANT,aragon,HIGH,ant-aragon,HIGH,2017-05-18T00:00:00.000Z,2024-06-01,2025-01-01,True
CMC:1684,1684,qtum,Qtum,QTUM,QTUM,qtum,HIGH,qtum-qtum,HIGH,2017-05-24T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1697,1697,basic-attention-token,Basic Attention Token,BAT,BAT,basic-attention-token,HIGH,bat-basic-attention-token,HIGH,2017-06-01T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1698,1698,horizen,Horizen,ZEN,ZEN,zencash,HIGH,zen-horizen,HIGH,2017-06-01T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1712,1712,quantum-resistant-ledger,Quantum Resistant Ledger,QRL,QRL,quantum-resistant-ledger,HIGH,qrl-quantum-resistant-ledger,HIGH,2017-06-10T00:00:00.000Z,2026-01-01,2026-01-01,False
CMC:1720,1720,iota,IOTA,IOTA,IOTA,iota,HIGH,miota-iota,HIGH,2017-06-13T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1727,1727,bancor,Bancor,BNT,BNT,bancor,SYMBOL_ONLY,bnt-bancor,HIGH,2017-06-18T00:00:00.000Z,2024-06-01,2025-06-01,False
CMC:1732,1732,numeraire,Numeraire,NMR,NMR,numeraire,HIGH,nmr-numeraire,HIGH,2017-06-23T00:00:00.000Z,2024-06-01,2026-08-20,False
CMC:1757,1757,funtoken,FUNToken,FUN,FUN,funfair,HIGH,fun-funfair,HIGH,2017-06-27T00:00:00.000Z,2026-08-20,2026-08-20,True
CMC:1759,1759,status,Status,SNT,SNT,status,HIGH,snt-status,HIGH,2017-06-28T00:00:00.000Z,2024-06-01,2026-01-01,True
CMC:1762,1762,ergo,Ergo,ERG,ERG,ergo,HIGH,efyt-ergo,HIGH,2017-06-29T00:00:00.000Z,2025-01-01,2025-06-01,False
CMC:1765,1765,eos,EOS,EOS,EOS,eos,HIGH,eos-eos,HIGH,2017-07-01T00:00:00.000Z,2024-06-01,2025-01-01,True
CMC:1772,1772,storj,Storj,STORJ,STORJ,storj,HIGH,storj-storj,HIGH,2017-07-02T00:00:00.000Z,2024-06-01,2026-01-01,False
CMC:1785,1785,gas,Gas,GAS,GAS,gas,HIGH,gas-gas,HIGH,2017-07-06T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1788,1788,metal,Metal DAO,MTL,MTL,metal,HIGH,mtl-metal,SYMBOL_ONLY,2017-07-09T00:00:00.000Z,2024-06-01,2025-06-01,False
CMC:1808,1808,omg,OMG Network,OMG,OMG,omisego,HIGH,omg-omg-network,HIGH,2017-07-14T00:00:00.000Z,2024-06-01,2024-06-01,True
CMC:1816,1816,civic,Civic,CVC,CVC,civic,HIGH,cvc-civic,HIGH,2017-07-17T00:00:00.000Z,2024-06-01,2025-06-01,True
CMC:1831,1831,bitcoin-cash,Bitcoin Cash,BCH,BCH,bitcoin-cash,HIGH,bch-bitcoin-cash,HIGH,2017-07-23T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1839,1839,bnb,BNB,BNB,BNB,binancecoin,HIGH,bnb-binance-coin,HIGH,2017-07-25T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1886,1886,dent,Dent,DENT,DENT,dent,HIGH,dent-dent,HIGH,2017-08-12T00:00:00.000Z,2024-06-01,2025-06-01,False
CMC:1896,1896,0x,0x Protocol,ZRX,ZRX,0x,HIGH,zrx-0x,SYMBOL_ONLY,2017-08-16T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1934,1934,loopring,Loopring,LRC,LRC,loopring,HIGH,lrc-loopring,HIGH,2017-08-30T00:00:00.000Z,2024-06-01,2026-01-01,True
CMC:1958,1958,tron,TRON,TRX,TRX,tron,HIGH,trx-tron,HIGH,2017-09-13T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1966,1966,decentraland,Decentraland,MANA,MANA,decentraland,HIGH,mana-decentraland,HIGH,2017-09-17T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:1974,1974,propy,Propy,PRO,PRO,propy,HIGH,pro-propy,HIGH,2017-09-19T00:00:00.000Z,2024-06-01,2025-06-01,True
CMC:1975,1975,chainlink,Chainlink,LINK,LINK,chainlink,HIGH,link-chainlink,HIGH,2017-09-20T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:2010,2010,cardano,Cardano,ADA,ADA,cardano,HIGH,ada-cardano,HIGH,2017-10-01T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:2011,2011,tezos,Tezos,XTZ,XTZ,tezos,HIGH,xtz-tezos,HIGH,2017-10-06T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:2071,2071,request,Request,REQ,REQ,request-network,HIGH,req-request-network,HIGH,2017-10-20T00:00:00.000Z,2024-06-01,2026-08-20,False
CMC:2083,2083,bitcoin-gold,Bitcoin Gold,BTG,BTG,bitcoin-gold,HIGH,btg-bitcoin-gold,HIGH,2017-10-23T00:00:00.000Z,2024-06-01,2025-01-01,True
CMC:2087,2087,kucoin-token,KuCoin Token,KCS,KCS,kucoin-shares,SYMBOL_ONLY,kcs-kucoin-token,HIGH,2017-10-24T00:00:00.000Z,2024-06-01,2026-08-20,False
CMC:2099,2099,icon,ICON,ICX,ICX,icon,HIGH,icx-icon,HIGH,2017-10-27T00:00:00.000Z,2024-06-01,2026-01-01,False
CMC:2130,2130,enjin-coin,Enjin Coin,ENJ,ENJ,enjincoin,HIGH,enj-enjin-coin,HIGH,2017-11-01T00:00:00.000Z,2024-06-01,2026-08-20,False
CMC:2132,2132,power-ledger,Powerledger,POWR,POWR,power-ledger,HIGH,powr-power-ledger,SYMBOL_ONLY,2017-11-01T00:00:00.000Z,2024-06-01,2025-06-01,False
CMC:2223,2223,blockv,BLOCKv,VEE,VEE,blockv,HIGH,vee-blockv,HIGH,2017-11-28T00:00:00.000Z,2025-06-01,2025-06-01,True
CMC:2280,2280,filecoin,Filecoin,FIL,FIL,filecoin,HIGH,fil-filecoin,HIGH,2017-12-13T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:2299,2299,aelf,aelf,ELF,ELF,aelf,HIGH,elf-aelf,HIGH,2017-12-21T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:2300,2300,wax,WAX,WAXP,WAXP,wax,HIGH,wax-wax,HIGH,2017-12-21T00:00:00.000Z,2024-06-01,2025-06-01,False
CMC:2303,2303,medibloc,MediBloc,MED,MED,medibloc,HIGH,med-medibloc-qrc20,HIGH,2017-12-22T00:00:00.000Z,2024-06-01,2025-06-01,True
CMC:2341,2341,swftcoin,SwftCoin,SWFTC,SWFTC,swftcoin,HIGH,swftc-swftcoin,HIGH,2018-01-04T00:00:00.000Z,2025-06-01,2025-06-01,False
CMC:2394,2394,telcoin,Telcoin,TEL,TEL,telcoin,HIGH,tel-telcoin,HIGH,2018-01-14T00:00:00.000Z,2024-06-01,2026-08-20,False
CMC:2396,2396,weth,WETH,WETH,WETH,weth,HIGH,weth-weth,HIGH,2018-01-14T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:2405,2405,iostoken,IOST,IOST,IOST,iostoken,HIGH,iost-iost,HIGH,2018-01-16T00:00:00.000Z,2024-06-01,2026-01-01,False
CMC:2416,2416,theta-network,Theta Network,THETA,THETA,theta-token,HIGH,theta-theta-token,SYMBOL_ONLY,2018-01-17T00:00:00.000Z,2024-06-01,2026-08-20,False
CMC:2424,2424,singularitynet,SingularityNET,AGIX,AGIX,singularitynet,HIGH,agix-singularitynet,SYMBOL_ONLY,2018-01-18T00:00:00.000Z,2024-06-01,2024-06-01,False
CMC:2467,2467,origintrail,OriginTrail,TRAC,TRAC,origintrail,HIGH,trac-origintrail,HIGH,2018-01-25T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:2469,2469,zilliqa,Zilliqa,ZIL,ZIL,zilliqa,HIGH,zil-zilliqa,HIGH,2018-01-25T00:00:00.000Z,2024-06-01,2026-08-20,False
CMC:2499,2499,swissborg,SwissBorg,BORG,BORG,swissborg,HIGH,chsb-swissborg,HIGH,2018-02-02T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:2502,2502,htx-token,Huobi Token,HT,HT,huobi-token,SYMBOL_ONLY,ht-huobi-token,HIGH,2018-02-03T00:00:00.000Z,2025-01-01,2025-01-01,True
CMC:2505,2505,bluzelle,Bluzelle,BLZ,BLZ,bluzelle,HIGH,blz-bluzelle,HIGH,2018-02-06T00:00:00.000Z,2024-06-01,2024-06-01,True
CMC:2545,2545,arcblock,Arcblock,ABT,ABT,arcblock,HIGH,abt-arcblock,HIGH,2018-02-26T00:00:00.000Z,2024-06-01,2025-06-01,True
CMC:2563,2563,trueusd,TrueUSD,TUSD,TUSD,true-usd,HIGH,tusd-trueusd,HIGH,2018-03-06T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:2566,2566,ontology,Ontology,ONT,ONT,ontology,HIGH,ont-ontology,HIGH,2018-03-08T00:00:00.000Z,2024-06-01,2026-08-20,True
