historical_date,cmc_id,symbol,rank,venue,venue_instrument_id,listing_timestamp,listing_timestamp_authority,delisting_timestamp,delisting_timestamp_authority,contract_age_days_at_t,tradable_at_t,mature_30d_at_t,historical_price_data_available,historical_funding_data_available,historical_volume_data_available,liquidity_proxy_status,contract_existence_eligible,contract_maturity_eligible,historical_data_eligible,historical_liquidity_verified,eligibility_status,exclusion_reason
2025-09-22 23:59:59,38337,0G,77,HYPERLIQUID,0G-PERP,2025-09-22T11:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,0.0,True,False,YES,YES,YES,VOLUME_PROXY_ONLY,True,False,True,False,CONTRACT_EXISTENCE_ELIGIBLE,age<30d
2025-09-23 23:59:59,38337,0G,70,HYPERLIQUID,0G-PERP,2025-09-22T11:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,1.0,True,False,YES,YES,YES,VOLUME_PROXY_ONLY,True,False,True,False,CONTRACT_EXISTENCE_ELIGIBLE,age<30d
2025-09-24 23:59:59,38337,0G,77,HYPERLIQUID,0G-PERP,2025-09-22T11:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,2.0,True,False,YES,YES,YES,VOLUME_PROXY_ONLY,True,False,True,False,CONTRACT_EXISTENCE_ELIGIBLE,age<30d
2025-09-25 23:59:59,38337,0G,86,HYPERLIQUID,0G-PERP,2025-09-22T11:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,3.0,True,False,YES,YES,YES,VOLUME_PROXY_ONLY,True,False,True,False,CONTRACT_EXISTENCE_ELIGIBLE,age<30d
2025-09-26 23:59:59,38337,0G,94,HYPERLIQUID,0G-PERP,2025-09-22T11:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,4.0,True,False,YES,YES,YES,VOLUME_PROXY_ONLY,True,False,True,False,CONTRACT_EXISTENCE_ELIGIBLE,age<30d
2026-08-19 23:59:59,1896,ZRX,340,OKX,ZRX-USDT-SWAP,2020-08-21T10:12:51Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,2189.0,True,True,PARTIAL,PARTIAL,PARTIAL,PARTIAL,True,True,True,False,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2026-08-20 23:59:59,1896,ZRX,330,OKX,ZRX-USDT-SWAP,2020-08-21T10:12:51Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,2190.0,True,True,PARTIAL,PARTIAL,PARTIAL,PARTIAL,True,True,True,False,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2026-08-21 23:59:59,1896,ZRX,325,OKX,ZRX-USDT-SWAP,2020-08-21T10:12:51Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,2191.0,True,True,PARTIAL,PARTIAL,PARTIAL,PARTIAL,True,True,True,False,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2026-08-22 23:59:59,1896,ZRX,193,OKX,ZRX-USDT-SWAP,2020-08-21T10:12:51Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,2192.0,True,True,PARTIAL,PARTIAL,PARTIAL,PARTIAL,True,True,True,False,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2026-08-23 23:59:59,1896,ZRX,194,OKX,ZRX-USDT-SWAP,2020-08-21T10:12:51Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,2193.0,True,True,PARTIAL,PARTIAL,PARTIAL,PARTIAL,True,True,True,False,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
