chain,driver,outcome,lead_days,corr,boot_ci_low,boot_ci_high,raw_p,n,fdr_q
Ethereum,chain_tvl_chg_7d,improving_share,-30,,-0.0169,0.0394,0.002,2158.0,0.0023
Ethereum,chain_tvl_chg_7d,improving_share,-14,,-0.0247,0.0193,0.002,2174.0,0.0023
Ethereum,chain_tvl_chg_7d,improving_share,-7,,-0.0468,0.0221,0.002,2181.0,0.0023
Ethereum,chain_tvl_chg_7d,improving_share,-3,,-0.061,0.0351,0.002,2185.0,0.0023
Ethereum,chain_tvl_chg_7d,improving_share,-1,,-0.0573,-0.001,0.002,2187.0,0.0023
Ethereum,chain_tvl_chg_7d,improving_share,1,,-0.0424,0.0218,0.002,2187.0,0.0023
Ethereum,chain_tvl_chg_7d,improving_share,3,,-0.0497,0.027,0.002,2185.0,0.0023
Ethereum,chain_tvl_chg_7d,improving_share,7,,-0.0477,0.0434,0.002,2181.0,0.0023
Ethereum,chain_tvl_chg_7d,improving_share,14,,-0.1192,0.0251,0.002,2174.0,0.0023
Ethereum,chain_tvl_chg_7d,improving_share,30,,-0.0464,0.0086,0.002,2158.0,0.0023
Ethereum,chain_tvl_chg_7d,median_vel7,-30,,-0.0073,0.0224,0.002,2107.0,0.0023
Ethereum,chain_tvl_chg_7d,median_vel7,-14,,-0.0304,0.006,0.002,2124.0,0.0023
Ethereum,chain_tvl_chg_7d,median_vel7,-7,,-0.0312,0.0062,0.002,2129.0,0.0023
Ethereum,chain_tvl_chg_7d,median_vel7,-3,,-0.0368,0.0063,0.002,2134.0,0.0023
Ethereum,chain_tvl_chg_7d,median_vel7,-1,,-0.0449,0.0017,0.002,2135.0,0.0023
Ethereum,chain_tvl_chg_7d,median_vel7,1,,-0.0466,0.0044,0.002,2136.0,0.0023
Ethereum,chain_tvl_chg_7d,median_vel7,3,,-0.0558,0.0267,0.002,2137.0,0.0023
Ethereum,chain_tvl_chg_7d,median_vel7,7,,-0.0362,0.0084,0.002,2136.0,0.0023
Ethereum,chain_tvl_chg_7d,median_vel7,14,,-0.0256,0.004,0.002,2129.0,0.0023
Ethereum,chain_tvl_chg_7d,median_vel7,30,,-0.0471,-0.0035,0.002,2113.0,0.0023
Ethereum,chain_tvl_chg_7d,ret_breadth_1d,-30,,-0.0089,0.0522,0.002,2158.0,0.0023
Ethereum,chain_tvl_chg_7d,ret_breadth_1d,-14,,-0.0322,0.0422,0.002,2174.0,0.0023
Ethereum,chain_tvl_chg_7d,ret_breadth_1d,-7,,0.0097,0.0539,0.002,2181.0,0.0023
Ethereum,chain_tvl_chg_7d,ret_breadth_1d,-3,,-0.0316,0.0476,0.002,2185.0,0.0023
Ethereum,chain_tvl_chg_7d,ret_breadth_1d,-1,,-0.0161,0.043,0.002,2187.0,0.0023
Ethereum,chain_tvl_chg_7d,ret_breadth_1d,1,,-0.0437,0.0156,0.002,2187.0,0.0023
Ethereum,chain_tvl_chg_7d,ret_breadth_1d,3,,-0.0144,0.0114,0.002,2185.0,0.0023
Ethereum,chain_tvl_chg_7d,ret_breadth_1d,7,,-0.052,0.0047,0.002,2181.0,0.0023
Ethereum,chain_tvl_chg_7d,ret_breadth_1d,14,,-0.0639,0.0455,0.002,2174.0,0.0023
Ethereum,chain_tvl_chg_7d,ret_breadth_1d,30,,-0.0004,0.0548,0.002,2158.0,0.0023
Ethereum,chain_tvl_chg_30d,improving_share,-30,,0.0064,0.0064,0.002,2088.0,0.0023
Ethereum,chain_tvl_chg_30d,improving_share,-14,,-0.0408,-0.0408,0.002,2104.0,0.0023
Ethereum,chain_tvl_chg_30d,improving_share,-7,,-0.0136,-0.0099,0.002,2111.0,0.0023
Ethereum,chain_tvl_chg_30d,improving_share,-3,,-0.0219,-0.0101,0.002,2115.0,0.0023
Ethereum,chain_tvl_chg_30d,improving_share,-1,,0.0129,0.0129,0.002,2117.0,0.0023
