episode_type,source,raw_episodes,effective_clusters
BAND,1-10,215,72
BAND,101-200,156,90
BAND,11-25,230,82
BAND,201-300,207,90
BAND,26-50,247,94
BAND,301-500,116,75
BAND,51-100,191,87
CHAIN,CHAIN:Arbitrum,154,50
CHAIN,CHAIN:BNB,272,79
CHAIN,CHAIN:Ethereum,253,75
CHAIN,CHAIN:Polygon,97,37
CHAIN,CHAIN:Solana,272,87
CHAIN,CHAIN:Sui,70,19
CHAIN,CHAIN:Tron,198,78
SECTOR,1confirmation-portfolio,136,76
SECTOR,2017-2018-alt-season,41,22
SECTOR,a16z-portfolio,181,80
SECTOR,aave-tokens,24,11
SECTOR,abstract-chain-ecosystem,26,12
SECTOR,account-abstraction,106,35
SECTOR,ai-agent-launchpad,59,21
SECTOR,ai-agents,79,25
SECTOR,ai-applications,28,13
SECTOR,ai-big-data,249,90
SECTOR,ai-memes,65,24
SECTOR,alameda-research-portfolio,206,78
SECTOR,algorand-ecosystem,184,58
SECTOR,algorithmic-stablecoin,154,55
SECTOR,alleged-sec-securities,113,38
SECTOR,amber-group-portfolio,7,3
SECTOR,amm,255,71
SECTOR,analytics,194,72
SECTOR,animal-memes,60,23
SECTOR,animoca-brands-portfolio,193,60
SECTOR,anubis-ecosystem,1,1
SECTOR,apertum-ecosystem,7,4
SECTOR,aptos-ecosystem,142,55
SECTOR,arbitrum-ecosystem,80,17
SECTOR,arbitrum-ecosytem,125,43
SECTOR,arcade-games,8,3
SECTOR,arrington-xrp-capital,20,8
SECTOR,arrington-xrp-capital-portfolio,201,66
SECTOR,art,196,68
SECTOR,asset-backed-stablecoin,166,63
SECTOR,asset-backed-token,17,7
SECTOR,asset-management,249,78
SECTOR,astar-ecosystem,30,12
SECTOR,atomic-swaps,184,63
SECTOR,atomicals-ecosystem,21,8
SECTOR,aurora-ecosystem,64,22
SECTOR,avalanche-ecosystem,219,76
SECTOR,base-ecosystem,130,45
SECTOR,beam-ecosystem,9,8
SECTOR,believe-app-ecosystem,9,5
SECTOR,bera-chain-ecosystem,30,15
SECTOR,berachain-ecosystem,17,10
SECTOR,binance-alpha,68,24
SECTOR,binance-alpha-airdrops,54,16
SECTOR,binance-buildkey-tge,9,7
SECTOR,binance-chain,243,78
SECTOR,binance-ecosystem,47,17
SECTOR,binance-hodler-airdrops,62,20
SECTOR,binance-labs-portfolio,234,78
SECTOR,binance-launchpad,245,77
SECTOR,binance-launchpool,224,84
SECTOR,binance-liquidity-enhancement-program,9,3
SECTOR,binance-listing,40,17
SECTOR,binance-megadrop,19,7
SECTOR,binance-smart-chain,230,77
SECTOR,binance-wallet-ido,31,15
SECTOR,bitcoin-cash-ecosystem,5,3
SECTOR,bitcoin-ecosystem,128,42
SECTOR,bitgert-ecosystem,4,2
SECTOR,bittensor-ecosystem,37,14
SECTOR,bittensor-subnets,9,4
SECTOR,blake256,124,45
SECTOR,blake2b,221,87
SECTOR,blake2s,140,59
SECTOR,blast-ecosystem,85,34
SECTOR,blockchain-capital-portfolio,190,73
SECTOR,bluezilla,2,1
SECTOR,bnb-chain,107,39
SECTOR,bnb-chain-ecosystem,75,19
SECTOR,boba-network-ecosystem,17,11
SECTOR,bonk-fun-ecosystem,21,8
SECTOR,boostvc-portfolio,192,82
SECTOR,bounce-launchpad,109,35
SECTOR,bouncebit-ecosystem,14,8
SECTOR,brc-20,112,35
SECTOR,btc-ecosystem,2,2
SECTOR,btcfi,63,26
SECTOR,bullperks-launchpad,105,40
SECTOR,b²-network-ecosystem,33,11
SECTOR,canto-ecosystem,45,22
SECTOR,cardano,193,66
SECTOR,cardano-ecosystem,216,61
SECTOR,cat-themed,74,29
SECTOR,celebrity-memes,64,22
SECTOR,celo-ecosystem,209,60
SECTOR,celsius-bankruptcy-estate,117,38
SECTOR,centralized-exchange,236,77
SECTOR,chiliz-chain-ecosystem,16,11
SECTOR,chinese-meme,10,7
SECTOR,chromia-ecosystem,159,65
SECTOR,circle-ventures-portfolio,120,47
SECTOR,cmc-community-vote-winners,3,3
SECTOR,cmc-crypto-awards-2024,80,32
SECTOR,cmc-crypto-yearbook-2024-2025,56,21
SECTOR,cms-holdings-portfolio,161,77
SECTOR,coinbase-ventures-portfolio,200,79
SECTOR,coinfund-portfolio,241,77
SECTOR,coinlist-launchpad,5,3
SECTOR,collectibles-nfts,229,87
SECTOR,commodities,79,34
SECTOR,communications-social-media,208,74
SECTOR,conflux-ecosystem,24,16
SECTOR,content-creation,245,82
SECTOR,core-ecosystem,26,12
SECTOR,corn-ecosystem,34,9
SECTOR,cosmos,145,65
SECTOR,cosmos-ecosystem,238,75
SECTOR,cronos-ecosystem,103,44
SECTOR,cross-chain,165,54
SECTOR,cross-chain-aggregator-dex,5,3
SECTOR,cross-chain-dex-aggregator,100,40
SECTOR,crowdfunding,225,82
SECTOR,crowdsourcing,19,8
SECTOR,crypto-com-capital-portfolio,51,23
SECTOR,cryptonight,34,13
SECTOR,cyber-ecosystem,6,2
SECTOR,cybersecurity,159,65
SECTOR,dag,267,89
SECTOR,dao,245,80
SECTOR,dao-maker,147,42
SECTOR,dapp,227,75
SECTOR,data-availability,106,32
SECTOR,data-availability-proof,6,5
SECTOR,data-provenance,202,86
SECTOR,dcg-portfolio,194,81
SECTOR,decentralized-exchange,85,32
SECTOR,decentralized-exchange-dex-token,163,49
SECTOR,defai,48,18
SECTOR,defi,256,76
SECTOR,defi-2,190,67
SECTOR,defi-index,77,28
SECTOR,defiance-capital,15,8
SECTOR,defiance-capital-portfolio,201,60
SECTOR,depin,117,34
SECTOR,derivatives,272,74
SECTOR,desci,100,37
SECTOR,dex,207,74
SECTOR,discord-bots,63,24
SECTOR,discount-token,202,77
SECTOR,distributed-computing,283,79
SECTOR,doge-chain-ecosystem,26,12
SECTOR,doggone-doggerel,187,67
SECTOR,dpos,252,88
SECTOR,dragonfly-capital-portfolio,217,79
SECTOR,duckchain-ecosystem,43,14
SECTOR,duckstarter,5,4
SECTOR,dwf-labs-portfolio,124,40
SECTOR,e-commerce,95,42
SECTOR,education,136,59
SECTOR,egirl-capital-portfolio,87,34
SECTOR,eigenlayer-ecosystem,92,34
SECTOR,elastos-ecosystem,30,14
SECTOR,electric-capital-portfolio,194,86
SECTOR,elrond-ecosystem,159,62
SECTOR,energi-ecosystem,14,5
SECTOR,energy,212,75
SECTOR,enterprise-solutions,242,86
SECTOR,entertainment,206,85
SECTOR,eos,116,44
SECTOR,eos-ecosystem,63,21
SECTOR,equihash,199,75
SECTOR,escrow,141,54
SECTOR,eth-2-0-staking,17,7
SECTOR,eth-2-staking,54,26
SECTOR,eth-staking,36,23
SECTOR,ethash,195,84
SECTOR,ethereum,32,16
SECTOR,ethereum-classic-ecosystem,66,24
SECTOR,ethereum-ecosystem,203,62
SECTOR,ethereum-pow-ecosystem,7,7
SECTOR,ethereumpow-ecosystem,3,3
SECTOR,etherlink-ecosys,3,3
SECTOR,etherlink-ecosystem,20,10
SECTOR,eur-stablecoin,142,54
SECTOR,everscale-ecosystem,76,40
SECTOR,exnetwork-capital-portfolio,238,68
SECTOR,fabric-ventures-portfolio,222,83
SECTOR,fan-token,70,28
SECTOR,fantom-ecosystem,217,70
SECTOR,fenbushi-capital-portfolio,219,80
SECTOR,ferrum-network,2,2
SECTOR,fiat-stablecoin,73,30
SECTOR,filecoin-ecosystem,132,54
SECTOR,filesharing,276,81
SECTOR,flare-network-ecosystem,22,10
SECTOR,flow-ecosystem,51,16
SECTOR,four-meme-ecosystem,39,16
SECTOR,framework-ventures,18,7
SECTOR,framework-ventures-portfolio,197,69
SECTOR,fraxtal-ecosystem,23,9
SECTOR,ftx-bankruptcy-estate,44,31
SECTOR,fuse-ecosystem,13,9
SECTOR,fusion-network-ecosystem,49,24
SECTOR,galaxy-digital-portfolio,209,79
SECTOR,gambling,195,82
SECTOR,gaming,228,83
SECTOR,gaming-guild,174,73
SECTOR,gemini-frontier-fund,51,14
SECTOR,generative-ai,134,46
SECTOR,geospatial-services,37,15
SECTOR,gnosis-chain-ecosystem,72,18
SECTOR,governance,234,75
SECTOR,government,24,10
SECTOR,groestl,70,30
SECTOR,hardware,227,85
SECTOR,harmony-ecosystem,200,65
SECTOR,hashkey-capital-portfolio,219,79
SECTOR,hashkey-chain-ecosystem,24,8
SECTOR,health,190,68
SECTOR,heco-ecosystem,182,68
SECTOR,hedera-hashgraph-ecosystem,91,40
SECTOR,hoo-smart-chain-ecosystem,39,18
SECTOR,hospitality,91,36
SECTOR,huobi-capital,19,8
SECTOR,huobi-capital-portfolio,187,63
SECTOR,hybrid-dpow-pow,133,56
SECTOR,hybrid-pos-lpos,10,8
SECTOR,hybrid-pow-dpos,164,69
SECTOR,hybrid-pow-npos,86,33
SECTOR,hybrid-pow-pos,247,75
