horizon,from_band,to_band,count,from_total,probability,ci95_low,ci95_high
3D,1-10,1-10,21219,21558,0.984275,0.982526,0.985852
3D,1-10,11-25,333,21558,0.015447,0.013885,0.017181
3D,1-10,26-50,4,21558,0.000186,7.2e-05,0.000477
3D,1-10,51-100,1,21558,4.6e-05,8e-06,0.000263
3D,1-10,101-200,0,21558,0.0,0.0,0.000178
3D,1-10,201-300,0,21558,0.0,0.0,0.000178
3D,1-10,301-500,1,21558,4.6e-05,8e-06,0.000263
3D,1-10,EX500_OR_OUT_OF_PANEL,0,21558,0.0,0.0,0.000178
3D,11-25,1-10,332,32333,0.010268,0.009226,0.011427
3D,11-25,11-25,30802,32333,0.952649,0.95028,0.954911
3D,11-25,26-50,1173,32333,0.036279,0.034295,0.038373
3D,11-25,51-100,12,32333,0.000371,0.000212,0.000649
3D,11-25,101-200,2,32333,6.2e-05,1.7e-05,0.000226
3D,11-25,201-300,10,32333,0.000309,0.000168,0.000569
3D,11-25,301-500,2,32333,6.2e-05,1.7e-05,0.000226
3D,11-25,EX500_OR_OUT_OF_PANEL,0,32333,0.0,0.0,0.000119
3D,26-50,1-10,1,53859,1.9e-05,3e-06,0.000105
3D,26-50,11-25,1167,53859,0.021668,0.020472,0.022932
3D,26-50,26-50,50485,53859,0.937355,0.935277,0.93937
3D,26-50,51-100,2170,53859,0.04029,0.038662,0.041984
3D,26-50,101-200,16,53859,0.000297,0.000183,0.000483
3D,26-50,201-300,20,53859,0.000371,0.00024,0.000574
3D,26-50,301-500,0,53859,0.0,0.0,7.1e-05
3D,26-50,EX500_OR_OUT_OF_PANEL,0,53859,0.0,0.0,7.1e-05
3D,51-100,1-10,0,107684,0.0,0.0,3.6e-05
3D,51-100,11-25,7,107684,6.5e-05,3.1e-05,0.000134
3D,51-100,26-50,2098,107684,0.019483,0.018674,0.020326
3D,51-100,51-100,101187,107684,0.939666,0.938228,0.941073
3D,51-100,101-200,4319,107684,0.040108,0.038952,0.041297
3D,51-100,201-300,63,107684,0.000585,0.000457,0.000748
3D,51-100,301-500,10,107684,9.3e-05,5e-05,0.000171
3D,51-100,EX500_OR_OUT_OF_PANEL,0,107684,0.0,0.0,3.6e-05
3D,101-200,1-10,0,215296,0.0,0.0,1.8e-05
3D,101-200,11-25,0,215296,0.0,0.0,1.8e-05
3D,101-200,26-50,24,215296,0.000111,7.5e-05,0.000166
3D,101-200,51-100,4039,215296,0.01876,0.018196,0.019342
3D,101-200,101-200,203614,215296,0.94574,0.944775,0.946689
3D,101-200,201-300,6014,215296,0.027934,0.027246,0.028638
3D,101-200,301-500,1605,215296,0.007455,0.0071,0.007827
3D,101-200,EX500_OR_OUT_OF_PANEL,0,215296,0.0,0.0,1.8e-05
3D,201-300,1-10,1,210015,5e-06,1e-06,2.7e-05
3D,201-300,11-25,6,210015,2.9e-05,1.3e-05,6.2e-05
3D,201-300,26-50,49,210015,0.000233,0.000177,0.000308
3D,201-300,51-100,163,210015,0.000776,0.000666,0.000905
3D,201-300,101-200,5354,210015,0.025493,0.024828,0.026176
3D,201-300,201-300,188508,210015,0.897593,0.896289,0.898882
3D,201-300,301-500,15934,210015,0.075871,0.074746,0.077011
3D,201-300,EX500_OR_OUT_OF_PANEL,0,210015,0.0,0.0,1.8e-05
3D,301-500,1-10,0,402412,0.0,0.0,1e-05
3D,301-500,11-25,2,402412,5e-06,1e-06,1.8e-05
3D,301-500,26-50,1,402412,2e-06,0.0,1.4e-05
3D,301-500,51-100,16,402412,4e-05,2.4e-05,6.5e-05
3D,301-500,101-200,1789,402412,0.004446,0.004245,0.004656
3D,301-500,201-300,14430,402412,0.035859,0.035289,0.036438
3D,301-500,301-500,386174,402412,0.959648,0.959036,0.960252
3D,301-500,EX500_OR_OUT_OF_PANEL,0,402412,0.0,0.0,1e-05
3D,EX500_OR_OUT_OF_PANEL,1-10,0,0,,,
3D,EX500_OR_OUT_OF_PANEL,11-25,0,0,,,
3D,EX500_OR_OUT_OF_PANEL,26-50,0,0,,,
3D,EX500_OR_OUT_OF_PANEL,51-100,0,0,,,
3D,EX500_OR_OUT_OF_PANEL,101-200,0,0,,,
3D,EX500_OR_OUT_OF_PANEL,201-300,0,0,,,
3D,EX500_OR_OUT_OF_PANEL,301-500,0,0,,,
3D,EX500_OR_OUT_OF_PANEL,EX500_OR_OUT_OF_PANEL,0,0,,,
