lag_d,var,rank_decay_med,rank_recovery_med,diff,p,p_fdr
-7,top500_breadth_30d,0.322,0.261,0.061,0.04048409639273692,0.06539738648057501
-7,top500_dispersion_30d,0.34606938406017645,0.3003242592511318,0.045745124809044635,0.0555847571431395,0.08337713571470926
-7,vol_med,0.051547419065849746,0.05159556858436589,-4.814951851614402e-05,0.7353820560995074,0.7721511589044827
-3,top500_breadth_30d,0.356,0.239,0.11699999999999999,0.004181146133279096,0.02099727651635345
-3,top500_dispersion_30d,0.3427169848749302,0.2930689863539433,0.04964799852098689,0.017907977434836745,0.046265613591850455
-3,vol_med,0.05202968758909219,0.05216461230995752,-0.0001349247208653273,0.8951534658187197,0.8951534658187197
-1,top500_breadth_30d,0.368,0.252,0.11599999999999999,0.004999351551512725,0.02099727651635345
-1,top500_dispersion_30d,0.3349978087860878,0.28627255883334507,0.048725249952742744,0.02090940641048275,0.046265613591850455
-1,vol_med,0.051272513735114426,0.052619888388839325,-0.001347374653724899,0.6687352747025538,0.7494368220272801
0,top500_breadth_30d,0.388,0.252,0.136,0.007082855052708699,0.02478999268448045
0,top500_dispersion_30d,0.3405882965348217,0.28788456106655586,0.052703735468265844,0.022031244567547834,0.046265613591850455
0,vol_med,0.05146930379541209,0.05249300111089304,-0.0010236973154809509,0.6780618865961106,0.7494368220272801
1,top500_breadth_30d,0.409,0.322,0.08699999999999997,0.0021809713814078414,0.01526679966985489
1,top500_dispersion_30d,0.34362029647215514,0.2917764573079126,0.05184383916424257,0.012631160578121548,0.037893481734364645
1,vol_med,0.05103453985434957,0.05237571116796405,-0.0013411713136144837,0.4190543739203887,0.5176554030781272
3,top500_breadth_30d,0.416,0.276,0.13999999999999996,0.0005224236939545776,0.01097089757304613
3,top500_dispersion_30d,0.34357176741566364,0.2986936710007529,0.04487809641491075,0.03329937900059289,0.06357154172840461
3,vol_med,0.05106418170274907,0.05247578403914784,-0.0014116023363987748,0.3237326325058536,0.42489908016393285
7,top500_breadth_30d,0.443,0.316,0.127,0.0014778878059145898,0.01526679966985489
7,top500_dispersion_30d,0.3542148711084855,0.32097109646973293,0.033243774638752555,0.03775857749716837,0.06539738648057501
7,vol_med,0.04932784569238938,0.05162692550575174,-0.002299079813362366,0.3013142144577742,0.42183990024088386
