axis,subtype,n,median_axis,p_price_relapse,median_fwd_rank_vel_30d,median_breadth30,median_vol,subperiods
price_persist,WEAK_PRICE,94,0.5362155437469482,0.40425531914893614,-49.5,0.40799999237060547,0.050881870090961456,5
price_persist,MID_PRICE,94,3.3955869674682617,0.0,-25.0,0.3240000009536743,0.051492638885974884,5
price_persist,STRONG_PRICE,94,14.204912185668945,0.0,11.0,0.3840000033378601,0.05233914405107498,5
rank_decay_vel,MILD_RANK_DECAY,90,-94.0,0.08888888888888889,-57.5,0.26499998569488525,0.05801551789045334,5
rank_decay_vel,MID_RANK_DECAY,95,-24.0,0.18947368421052632,-32.0,0.40400001406669617,0.05094614997506142,5
rank_decay_vel,SEVERE_RANK_DECAY,83,-6.0,0.13253012048192772,-14.0,0.42800000309944153,0.0479837991297245,5
field_breadth,LOW_BRD,95,0.11800000071525574,0.12631578947368421,-27.5,0.11800000071525574,0.0559442937374115,5
field_breadth,MID_BRD,93,0.3919999897480011,0.15053763440860216,-25.0,0.3919999897480011,0.04917559400200844,5
field_breadth,HIGH_BRD,94,0.7300000190734863,0.1276595744680851,-30.5,0.7300000190734863,0.04964973032474518,5
RANKxFIELD,MILD_LOW,39,-91.0,0.07692307692307693,-32.5,0.1120000034570694,0.05871300399303436,5
RANKxFIELD,MILD_MID,26,-99.0,0.11538461538461539,-73.0,0.3840000033378601,0.05835431069135666,4
RANKxFIELD,MILD_HIGH,25,-94.0,0.08,-74.0,0.7279999852180481,0.050209853798151016,5
RANKxFIELD,MID_LOW,26,-23.0,0.15384615384615385,-45.0,0.11400000005960464,0.060948435217142105,5
RANKxFIELD,MID_MID,36,-26.0,0.2222222222222222,-14.0,0.37599998712539673,0.046480052173137665,5
RANKxFIELD,MID_HIGH,33,-25.0,0.18181818181818182,-59.5,0.7459999918937683,0.05094614997506142,5
RANKxFIELD,SEVERE_LOW,27,-3.0,0.14814814814814814,-17.0,0.12600000202655792,0.04724826663732529,5
RANKxFIELD,SEVERE_MID,23,-6.0,0.13043478260869565,-14.0,0.35199999809265137,0.050709083676338196,5
RANKxFIELD,SEVERE_HIGH,33,-6.0,0.12121212121212122,1.0,0.7360000014305115,0.04752105847001076,5
