lag_d,dimension,var,responds_med,no_resp_med,diff,p,p_fdr
0,FIELD,top500_breadth_30d,0.359,0.309,0.04999999999999999,0.46522218794861736,0.46522218794861736
0,FIELD,top500_dispersion_30d,0.33275796598353585,0.3074909752378171,0.025266990745718754,0.2617603687049842,0.3333221471471061
0,FIELD,vol_med,0.05282170302625434,0.05030740174374652,0.0025143012825078193,0.09152522799727623,0.20135550159400772
1,FIELD,top500_breadth_30d,0.394,0.327,0.067,0.3796312279780494,0.3977089055008136
1,FIELD,top500_dispersion_30d,0.3288673261947202,0.31442521894554454,0.014442107249175662,0.3748122484304848,0.3977089055008136
1,FIELD,vol_med,0.052298851914797606,0.0504018486955368,0.0018970032192608052,0.10965638606201283,0.21931277212402567
2,FIELD,top500_breadth_30d,0.406,0.298,0.10800000000000004,0.0718739617976699,0.17569190661652642
2,FIELD,top500_dispersion_30d,0.3386679795015271,0.30839823324722243,0.030269746254304675,0.22594031188848562,0.33137912410311227
2,FIELD,vol_med,0.05215886464496221,0.05057206957855416,0.0015867950664080477,0.13504032596176552,0.24757393092990346
3,FIELD,top500_breadth_30d,0.41,0.279,0.13099999999999995,0.010326732019669198,0.05679702610818059
3,FIELD,top500_dispersion_30d,0.33317686361919957,0.30645321698184336,0.026723646637356213,0.02141128689921872,0.07850805196380198
3,FIELD,vol_med,0.051272513735114426,0.0501957327313122,0.0010767810038022282,0.28900252610511645,0.3346345039111875
5,FIELD,top500_breadth_30d,0.405,0.264,0.14100000000000001,0.019732043571478574,0.07850805196380198
5,FIELD,top500_dispersion_30d,0.3342896335079481,0.3180193400683641,0.016270293439584027,0.18655561579271918,0.31570950364921707
5,FIELD,vol_med,0.0519727273248778,0.04890892168158465,0.0030638056432931507,0.20093920609357863,0.31576160957562355
7,FIELD,top500_breadth_30d,0.412,0.273,0.13899999999999996,0.005768628115767554,0.05679702610818059
7,FIELD,top500_dispersion_30d,0.3421677796630489,0.30845589906715204,0.03371188059589686,0.04395111829290608,0.13813208606341912
7,FIELD,vol_med,0.05140221779984211,0.04864439405532334,0.0027578237445187725,0.24714677168024668,0.3333221471471061
14,FIELD,top500_breadth_30d,0.366,0.277,0.08899999999999997,0.009748343482993492,0.05679702610818059
14,FIELD,top500_dispersion_30d,0.3486041804217099,0.3293617291052376,0.019242451316472287,0.06887202953727965,0.17569190661652642
14,FIELD,vol_med,0.051130378510526514,0.048480171180548856,0.002650207329977658,0.27271812039308685,0.3333221471471061
7,RANK,fwd_rank_vel_7d,19.0,-31.0,50.0,3.1656222367854497e-34,6.96436892092799e-33
14,PEER,peer_band_up_14d_RESPONDS,0.6518324607329843,,,,
14,PEER,peer_band_up_14d_WEAK_DELAYED,0.6625,,,,
14,PEER,peer_band_up_14d_NO_RESPONSE,0.5428571428571428,,,,
