dimension,value
n_events,210
p_price_flat_7d,0.133
p_price_declining_7d,0.833
p_price_relapse_30d,0.067
p_later_price_breakdown_30d,0.700
median_rank_vel_7d,-47.000
p_rank_decay_7d,0.852
p_rank_recovers_30d,0.210
median_breadth30,0.309
median_disp30,0.307
median_rank_depth_rel,-0.035
median_vol,0.050
median_top3_share,0.703
p_cell_HH,0.329
p_cell_LL,0.348
median_age_in_cell,7.000
p_shmc,0.052
p_shhm,0.057
p_peer_band_up_14d,NA
PHENOTYPE_FLAT_n,28
PHENOTYPE_FLAT_rank_decay_p,0.679
PHENOTYPE_FLAT_later_breakdown_p,0.464
PHENOTYPE_FLAT_median_rank_vel7,-21.500
PHENOTYPE_DECLINING_n,175
PHENOTYPE_DECLINING_rank_decay_p,0.874
PHENOTYPE_DECLINING_later_breakdown_p,0.743
PHENOTYPE_DECLINING_median_rank_vel7,-52.000
