band,n_episodes,med_breadth,med_dispersion,med_vol,med_btc7,med_stablecoin_chg7,med_tvl_chg7,med_top3_share,med_pos_ret_share,depth_idx,rho_med_breadth,p_med_breadth,rho_med_dispersion,p_med_dispersion,rho_med_vol,p_med_vol,rho_med_btc7,p_med_btc7,rho_med_stablecoin_chg7,p_med_stablecoin_chg7,rho_med_tvl_chg7,p_med_tvl_chg7,rho_med_top3_share,p_med_top3_share,verdict
26-50,572,0.339,0.3162896743608085,0.04824779376208074,0.005738058691681647,0.00460771954534811,0.003694376801703536,0.7174491789080251,0.739,0.0,0.5288077700979341,0.07711182615259607,0.7208660583865306,0.00816267557242917,0.9488905105990602,2.5199954135859526e-06,0.9630004066674477,5.131730319295649e-07,0.9046162301321169,5.288112632617484e-05,0.5679233167525973,0.054066007990267756,0.3552403472273747,0.25714603843070843,THRESHOLD_HIERARCHY_EARNED
51-100,566,0.329,0.31500910393713943,0.04851055403208625,0.006010628382995931,0.0046593659143273625,0.0032095882322344393,0.7174491789080251,0.744,0.0,0.5288077700979341,0.07711182615259607,0.7208660583865306,0.00816267557242917,0.9488905105990602,2.5199954135859526e-06,0.9630004066674477,5.131730319295649e-07,0.9046162301321169,5.288112632617484e-05,0.5679233167525973,0.054066007990267756,0.3552403472273747,0.25714603843070843,THRESHOLD_HIERARCHY_EARNED
101-150,575,0.34,0.3109585333675485,0.04843485094758479,0.006607696272720065,0.00448832404233368,0.00401272461503277,0.7173832839393507,0.744,1.0,0.5288077700979341,0.07711182615259607,0.7208660583865306,0.00816267557242917,0.9488905105990602,2.5199954135859526e-06,0.9630004066674477,5.131730319295649e-07,0.9046162301321169,5.288112632617484e-05,0.5679233167525973,0.054066007990267756,0.3552403472273747,0.25714603843070843,THRESHOLD_HIERARCHY_EARNED
151-250,567,0.314,0.31131101804794625,0.04853511286949816,0.006083881207669561,0.004626227623088397,0.0017896473512444278,0.7177561179866133,0.748,1.0,0.5288077700979341,0.07711182615259607,0.7208660583865306,0.00816267557242917,0.9488905105990602,2.5199954135859526e-06,0.9630004066674477,5.131730319295649e-07,0.9046162301321169,5.288112632617484e-05,0.5679233167525973,0.054066007990267756,0.3552403472273747,0.25714603843070843,THRESHOLD_HIERARCHY_EARNED
251-350,561,0.342,0.3158651113751665,0.0493769991818967,0.006047254795332746,0.004993963105016652,0.002723189033209117,0.7175273028124992,0.75,2.0,0.5288077700979341,0.07711182615259607,0.7208660583865306,0.00816267557242917,0.9488905105990602,2.5199954135859526e-06,0.9630004066674477,5.131730319295649e-07,0.9046162301321169,5.288112632617484e-05,0.5679233167525973,0.054066007990267756,0.3552403472273747,0.25714603843070843,THRESHOLD_HIERARCHY_EARNED
351-500,560,0.34,0.3109585333675485,0.04899307442809619,0.007996701708855136,0.004843793574607735,0.0028229948530643645,0.7174491789080251,0.754,2.0,0.5288077700979341,0.07711182615259607,0.7208660583865306,0.00816267557242917,0.9488905105990602,2.5199954135859526e-06,0.9630004066674477,5.131730319295649e-07,0.9046162301321169,5.288112632617484e-05,0.5679233167525973,0.054066007990267756,0.3552403472273747,0.25714603843070843,THRESHOLD_HIERARCHY_EARNED
501-625,538,0.34,0.31671423734645054,0.04903346110257248,0.00872060681606257,0.0053715335174781,0.0026392693577149684,0.7176909011135474,0.77,3.0,0.5288077700979341,0.07711182615259607,0.7208660583865306,0.00816267557242917,0.9488905105990602,2.5199954135859526e-06,0.9630004066674477,5.131730319295649e-07,0.9046162301321169,5.288112632617484e-05,0.5679233167525973,0.054066007990267756,0.3552403472273747,0.25714603843070843,THRESHOLD_HIERARCHY_EARNED
626-750,527,0.342,0.31442521894554454,0.0493064020074396,0.011574473319848844,0.004993963105016652,0.004207231422807434,0.7183138532314104,0.77,3.0,0.5288077700979341,0.07711182615259607,0.7208660583865306,0.00816267557242917,0.9488905105990602,2.5199954135859526e-06,0.9630004066674477,5.131730319295649e-07,0.9046162301321169,5.288112632617484e-05,0.5679233167525973,0.054066007990267756,0.3552403472273747,0.25714603843070843,THRESHOLD_HIERARCHY_EARNED
751-875,519,0.34,0.3206687086049115,0.04960084457298171,0.013360583346421429,0.0054986312040989915,0.0034963757915492666,0.7180822028848912,0.776,4.0,0.5288077700979341,0.07711182615259607,0.7208660583865306,0.00816267557242917,0.9488905105990602,2.5199954135859526e-06,0.9630004066674477,5.131730319295649e-07,0.9046162301321169,5.288112632617484e-05,0.5679233167525973,0.054066007990267756,0.3552403472273747,0.25714603843070843,THRESHOLD_HIERARCHY_EARNED
876-1000,524,0.341,0.32694260654581186,0.049648674903144355,0.01371593508115021,0.005633006977022403,0.004531565866151721,0.7184208670602455,0.774,4.0,0.5288077700979341,0.07711182615259607,0.7208660583865306,0.00816267557242917,0.9488905105990602,2.5199954135859526e-06,0.9630004066674477,5.131730319295649e-07,0.9046162301321169,5.288112632617484e-05,0.5679233167525973,0.054066007990267756,0.3552403472273747,0.25714603843070843,THRESHOLD_HIERARCHY_EARNED
1001-1500,510,0.336,0.3262633676002285,0.04969650523330701,0.014685265764152522,0.0054942250734943965,0.006397566450805081,0.7179933101438347,0.778,5.0,0.5288077700979341,0.07711182615259607,0.7208660583865306,0.00816267557242917,0.9488905105990602,2.5199954135859526e-06,0.9630004066674477,5.131730319295649e-07,0.9046162301321169,5.288112632617484e-05,0.5679233167525973,0.054066007990267756,0.3552403472273747,0.25714603843070843,THRESHOLD_HIERARCHY_EARNED
1501-2000,498,0.368,0.3427817358895337,0.049895831055120736,0.01592381324079395,0.005558439683321703,0.008719014874036812,0.7172886564672766,0.776,6.0,0.5288077700979341,0.07711182615259607,0.7208660583865306,0.00816267557242917,0.9488905105990602,2.5199954135859526e-06,0.9630004066674477,5.131730319295649e-07,0.9046162301321169,5.288112632617484e-05,0.5679233167525973,0.054066007990267756,0.3552403472273747,0.25714603843070843,THRESHOLD_HIERARCHY_EARNED
