condition,branch_entropy,n,delta_entropy,verdict,best_cond
UNCONDITIONAL,0.8666228834724191,2195,0.0,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
top500_breadth_30d=HIGH,0.7561038607663964,1102,-0.11051902270602276,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
top500_breadth_30d=LOW,0.942318051023906,1093,0.07569516755148686,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
top500_dispersion_30d=HIGH,0.7465057378380197,1044,-0.12011714563439946,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
top500_dispersion_30d=LOW,0.9266763081825058,1044,0.06005342471008668,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
vol_med=HIGH,0.837372046621067,1063,-0.029250836851352102,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
vol_med=LOW,0.8735609120824455,1062,0.006938028610026348,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
btc_return_7d=HIGH,0.7835634265101371,1072,-0.08305945696228201,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
btc_return_7d=LOW,0.9246935609850174,1071,0.05807067751259831,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
age_in_cell=HIGH,0.8652171086406537,1166,-0.001405774831765405,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
age_in_cell=LOW,0.8682059921233602,1029,0.001583108650941134,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
top3_share=HIGH,0.884166221553745,1098,0.01754333808132591,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
top3_share=LOW,0.8476862601229604,1097,-0.01893662334945867,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
cell=HIGH_BREADTH_HIGH_DISP&age=AGE_1,0.9004854334784267,79,0.033862550006007575,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS,0.6443169709154466,341,-0.22230591255697252,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
cell=HIGH_BREADTH_LOW_DISP&age=AGE_1,0.8514808683852091,83,-0.015142015087210026,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
cell=LOW_BREADTH_HIGH_DISP&age=AGE_1,0.8849636363831528,66,0.01834075291073367,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
cell=LOW_BREADTH_LOW_DISP&age=AGE_1,0.9150255357249154,103,0.04840265225249629,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
cell=LOW_BREADTH_LOW_DISP&age=AGE_15_PLUS,0.9643214736468559,298,0.09769859017443683,DIRECTION_LOCALLY_CONSTRAINED,cell=HIGH_BREADTH_HIGH_DISP&age=AGE_15_PLUS
