cell_a,cell_b,n_sig_metrics,verdict,n_metrics_tested,entropy_gap,max_pair_n
HH_HA_HE,HH_HA_LE,3,DISTINCT,7,0.43639108665839593,222
HH_HA_HE,HH_LA_HE,1,PARTIALLY_DISTINCT,7,0.11194946379558351,160
HH_HA_HE,HH_LA_LE,4,DISTINCT,7,0.4256075280391186,260
HH_HA_HE,HL_HA_HE,3,DISTINCT,7,0.1580813713408465,128
HH_HA_HE,HL_HA_LE,2,PARTIALLY_DISTINCT,7,0.02122218194202391,128
HH_HA_HE,HL_LA_HE,6,DISTINCT,7,0.24306627099674094,128
HH_HA_HE,HL_LA_LE,4,DISTINCT,7,0.1704075035938049,128
HH_HA_HE,LH_HA_HE,2,PARTIALLY_DISTINCT,7,0.10380105161551728,128
HH_HA_HE,LH_LA_HE,3,DISTINCT,7,0.15412024960095577,128
HH_HA_HE,LH_LA_LE,5,DISTINCT,7,0.16442038728285935,128
HH_HA_HE,LL_HA_HE,2,PARTIALLY_DISTINCT,7,0.14957149759317623,128
HH_HA_HE,LL_HA_LE,6,DISTINCT,7,0.42148011532200935,186
HH_HA_HE,LL_LA_HE,4,DISTINCT,7,0.18587347222202077,204
HH_HA_HE,LL_LA_LE,5,DISTINCT,7,0.6288291920832372,313
HH_HA_LE,HH_LA_HE,3,DISTINCT,7,0.5483405504539794,222
HH_HA_LE,HH_LA_LE,1,PARTIALLY_DISTINCT,7,0.036928722996619895,260
HH_HA_LE,HL_HA_HE,3,DISTINCT,7,0.3185947485085011,222
HH_HA_LE,HL_HA_LE,3,DISTINCT,7,0.45761326860041984,222
HH_HA_LE,HL_LA_HE,5,DISTINCT,7,0.6794573576551368,222
HH_HA_LE,HL_LA_LE,4,DISTINCT,7,0.6067985902522008,222
HH_HA_LE,LH_HA_HE,2,PARTIALLY_DISTINCT,7,0.4324577640831848,222
HH_HA_LE,LH_LA_HE,2,PARTIALLY_DISTINCT,7,0.5905113362593517,222
HH_HA_LE,LH_LA_LE,3,DISTINCT,7,0.6008114739412553,222
HH_HA_LE,LL_HA_HE,3,DISTINCT,7,0.5859625842515721,222
HH_HA_LE,LL_HA_LE,3,DISTINCT,7,0.395180631371258,222
HH_HA_LE,LL_LA_HE,5,DISTINCT,7,0.6222645588804168,222
HH_HA_LE,LL_LA_LE,4,DISTINCT,7,0.3006562826361076,313
HH_LA_HE,HH_LA_LE,3,DISTINCT,7,0.5256307035657173,260
HH_LA_HE,HL_HA_HE,2,PARTIALLY_DISTINCT,7,0.27003083513643,160
HH_LA_HE,HL_HA_LE,1,PARTIALLY_DISTINCT,7,0.0907272818535596,160
HH_LA_HE,HL_LA_HE,4,DISTINCT,7,0.13111680720115743,160
HH_LA_HE,HL_LA_LE,3,DISTINCT,7,0.058458039798221395,160
HH_LA_HE,LH_HA_HE,2,PARTIALLY_DISTINCT,7,0.2157505154111008,160
HH_LA_HE,LH_LA_HE,3,DISTINCT,7,0.04217078580537226,160
HH_LA_HE,LH_LA_LE,6,DISTINCT,7,0.08633244268611945,160
HH_LA_HE,LL_HA_HE,2,PARTIALLY_DISTINCT,7,0.05558434877023982,160
HH_LA_HE,LL_HA_LE,6,DISTINCT,7,0.40011512468522376,186
HH_LA_HE,LL_LA_HE,4,DISTINCT,7,0.16320917164697263,204
HH_LA_HE,LL_LA_LE,6,DISTINCT,7,0.6074642014464515,313
HH_LA_LE,HL_HA_HE,3,DISTINCT,7,0.355523471505121,260
HH_LA_LE,HL_HA_LE,3,DISTINCT,7,0.4453656984363305,260
HH_LA_LE,HL_LA_HE,4,DISTINCT,7,0.6567475107668748,260
HH_LA_LE,HL_LA_LE,4,DISTINCT,7,0.5840887433639388,260
HH_LA_LE,LH_HA_HE,2,PARTIALLY_DISTINCT,7,0.46938648707980474,260
HH_LA_LE,LH_LA_HE,2,PARTIALLY_DISTINCT,7,0.5678014893710897,260
HH_LA_LE,LH_LA_LE,3,DISTINCT,7,0.5781016270529932,260
HH_LA_LE,LL_HA_HE,3,DISTINCT,7,0.56325273736331,260
HH_LA_LE,LL_HA_LE,3,DISTINCT,7,0.37247078448299586,260
HH_LA_LE,LL_LA_HE,4,DISTINCT,7,0.5995547119921546,260
HH_LA_LE,LL_LA_LE,5,DISTINCT,7,0.2779464357478455,313
HL_HA_HE,HL_HA_LE,1,PARTIALLY_DISTINCT,7,0.1793035532828704,74
HL_HA_HE,HL_LA_HE,1,PARTIALLY_DISTINCT,7,0.40114764233758743,102
HL_HA_HE,HL_LA_LE,1,PARTIALLY_DISTINCT,7,0.3284888749346514,83
HL_HA_HE,LH_HA_HE,4,DISTINCT,7,0.1138630155746837,74
HL_HA_HE,LH_LA_HE,5,DISTINCT,7,0.31220162094180226,78
HL_HA_HE,LH_LA_LE,4,DISTINCT,7,0.32250175862370584,100
HL_HA_HE,LL_HA_HE,2,PARTIALLY_DISTINCT,7,0.3076528689340227,122
HL_HA_HE,LL_HA_LE,5,DISTINCT,7,0.3513960587880118,186
HL_HA_HE,LL_LA_HE,3,DISTINCT,7,0.34395484356286726,204
HL_HA_HE,LL_LA_LE,5,DISTINCT,7,0.5587451355492397,313
HL_HA_LE,HL_LA_HE,3,DISTINCT,7,0.22184408905471703,102
HL_HA_LE,HL_LA_LE,3,DISTINCT,7,0.149185321651781,83
HL_HA_LE,LH_HA_HE,3,DISTINCT,7,0.1250232335575412,68
HL_HA_LE,LH_LA_HE,3,DISTINCT,7,0.13289806765893186,78
HL_HA_LE,LH_LA_LE,3,DISTINCT,7,0.14319820534083544,100
HL_HA_LE,LL_HA_HE,1,PARTIALLY_DISTINCT,7,0.12834931565115232,122
