object,name,metric,value,p,n_early,n_late,sig_shift,rate_late,prop7_late,p_raw,p_fdr,sig,verdict,n_covariate_shift_sig,n_cell_transfer_sig,mean_cell_delta
P(X),breadth,cohen_d,0.22966696176932555,0.03820291730651723,1756.0,440.0,False,,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(X),dispersion,cohen_d,0.1258875121821827,5.530947853323813e-10,1649.0,440.0,False,,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(X),forcing,cohen_d,0.4045988343745069,1.699859804648539e-09,1606.0,440.0,True,,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(X),age,cohen_d,0.4275098149957146,3.587504669166397e-09,1756.0,440.0,True,,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(X),entropy,cohen_d,-0.29737636311500915,1.6332984191003767e-07,1756.0,437.0,False,,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(X),vol,cohen_d,0.9300730656052479,1.7955164750376394e-61,1686.0,440.0,True,,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(X),btc7,cohen_d,0.23769437273694147,0.0002767021884355209,1704.0,440.0,False,,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(X),rank_depth,cohen_d,-0.23285175060845978,0.0038880569984120826,1649.0,440.0,False,,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(X),concentration,cohen_d,-0.9522628667623743,3.691127673667184e-44,1756.0,440.0,True,,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(X),stablecoin,cohen_d,0.47503018743907993,8.774445839827371e-11,1756.0,440.0,True,,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(cell),grp6_occupancy,js_distance,6.105585527852935,,1756.0,440.0,,,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(outcome),propagation,rate_early,0.3707289293849658,0.0807852999188622,1756.0,440.0,,0.4159090909090909,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(outcome),reentry,rate_early,0.4367881548974943,0.010633474572781344,1756.0,440.0,,0.5045454545454545,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(outcome),rank_recruitment,rate_early,0.8530751708428246,2.2253231512672243e-07,1756.0,440.0,,0.9454545454545454,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(outcome),tail,rate_early,0.9806378132118451,0.632281915174842,1756.0,440.0,,0.9840909090909091,,,,,MIXED_DRIFT,5,4,0.24048342382665958
P(outcome|cell),grp6:6C_0,prop7_early,0.802247191011236,,,,,,0.32432432432432434,4.298501399689643e-11,1.289550419906893e-10,True,MIXED_DRIFT,5,4,0.24048342382665958
P(outcome|cell),grp6:6C_1,prop7_early,0.5833333333333334,,,,,,0.625,0.5920600547688313,0.5920600547688313,False,MIXED_DRIFT,5,4,0.24048342382665958
P(outcome|cell),grp6:6C_2,prop7_early,0.04316546762589928,,,,,,0.4024390243902439,9.412284320413434e-23,5.64737059224806e-22,True,MIXED_DRIFT,5,4,0.24048342382665958
P(outcome|cell),grp6:6C_3,prop7_early,0.37755102040816324,,,,,,0.4772727272727273,0.26359139241987506,0.31630967090385004,False,MIXED_DRIFT,5,4,0.24048342382665958
P(outcome|cell),grp6:6C_4,prop7_early,0.22343324250681199,,,,,,0.3541666666666667,0.0024457059841960006,0.003668558976294001,True,MIXED_DRIFT,5,4,0.24048342382665958
P(outcome|cell),grp6:6C_5,prop7_early,0.08994708994708994,,,,,,0.4235294117647059,1.0014760255862184e-10,2.002952051172437e-10,True,MIXED_DRIFT,5,4,0.24048342382665958
