state,age_band,subperiod,n,prop7,ren7,rank7,exit_next,fbe,verdict,age_prop_trend,n_bands,trend_sign,sign_consistent,consistency_fraction,mean_age_prop_trend
HH,AGE_1,2020-2021,16,0.4375,0.625,0.75,0.1875,0.2736654085735536,STATE_AGE_TRANSPORT_DONE,,,,,,
HH,AGE_1,2023,17,0.4117647058823529,0.7647058823529411,0.8235294117647058,0.11764705882352941,0.5089041812254698,STATE_AGE_TRANSPORT_DONE,,,,,,
HH,AGE_1,2025-2026,25,0.44,0.68,0.84,0.36,0.7488847930929569,STATE_AGE_TRANSPORT_DONE,,,,,,
HH,AGE_2_3,2020-2021,25,0.36,0.68,0.76,0.08,0.2444866288857918,STATE_AGE_TRANSPORT_DONE,,,,,,
HH,AGE_2_3,2023,26,0.5769230769230769,0.6538461538461539,0.8846153846153846,0.15384615384615385,0.4411562570743127,STATE_AGE_TRANSPORT_DONE,,,,,,
HH,AGE_2_3,2025-2026,25,0.44,0.72,0.88,0.4,0.6205398261934268,STATE_AGE_TRANSPORT_DONE,,,,,,
HH,AGE_4_7,2020-2021,40,0.45,0.6,0.8,0.075,0.2304967459393279,STATE_AGE_TRANSPORT_DONE,,,,,,
HH,AGE_4_7,2023,35,0.6,0.5428571428571428,0.8,0.11428571428571428,0.3994795730769058,STATE_AGE_TRANSPORT_DONE,,,,,,
HH,AGE_4_7,2024,17,0.35294117647058826,0.7647058823529411,0.7058823529411765,0.058823529411764705,0.5976029758636523,STATE_AGE_TRANSPORT_DONE,,,,,,
HH,AGE_4_7,2025-2026,19,0.5263157894736842,0.5263157894736842,0.8421052631578947,0.15789473684210525,0.36916347140429406,STATE_AGE_TRANSPORT_DONE,,,,,,
HH,AGE_8_14,2020-2021,50,0.44,0.56,0.86,0.04,0.16713498538012972,STATE_AGE_TRANSPORT_DONE,,,,,,
HH,AGE_8_14,2023,29,0.8620689655172413,0.5172413793103449,0.7241379310344828,0.10344827586206896,0.28782040470216985,STATE_AGE_TRANSPORT_DONE,,,,,,
