surface,cell,n,capacity_ceiling,half_sat_demand,capacity_slope,fit_rmse,mean_vol,mean_conc,occupancy_share,capacity_band
6CELL,6C_4,470,1.1,0.41,1.006,0.1108,0.05,0.707,0.233,HIGH
6CELL,6C_3,141,0.946,-2.093,0.348,0.0889,0.04,0.71,0.065,HIGH
6CELL,6C_2,417,0.937,-0.071,1.464,0.0874,0.05,0.694,0.227,MID
6CELL,6C_1,275,0.866,-0.313,0.931,0.1363,0.05,0.707,0.131,MID
6CELL,6C_5,273,0.833,-0.379,1.551,0.1233,0.06,0.698,0.125,LOW
6CELL,6C_0,473,0.808,-0.535,0.952,0.145,0.06,0.707,0.219,LOW
8CELL,8C_4,287,0.989,0.042,1.242,0.0945,0.05,0.706,0.148,HIGH
8CELL,8C_7,141,0.946,-2.093,0.348,0.0889,0.04,0.71,0.065,HIGH
8CELL,8C_6,417,0.937,-0.071,1.464,0.0874,0.05,0.694,0.227,HIGH
8CELL,8C_3,275,0.866,-0.313,0.931,0.1363,0.05,0.707,0.131,MID
8CELL,8C_5,173,0.837,-0.379,1.653,0.1162,0.06,0.702,0.079,MID
8CELL,8C_1,473,0.808,-0.535,0.952,0.145,0.06,0.707,0.219,LOW
8CELL,8C_2,183,0.641,-0.339,0.769,0.0988,0.04,0.709,0.084,LOW
8CELL,8C_0,100,0.507,-1.01,1.365,0.1195,0.06,0.69,0.046,LOW
