group,stage,feature,n,mean,sd
ABORTED,PRECONDITION,demand,266,0.0776,0.5347
ABORTED,PRECONDITION,breadth,267,0.4708,0.1016
ABORTED,PRECONDITION,dispersion,267,0.2262,0.8476
ABORTED,PRECONDITION,forcing,266,-0.1896,0.7451
ABORTED,PRECONDITION,concentration,267,0.7104,0.0447
ABORTED,PRECONDITION,rank_depth,266,-0.0326,0.047
ABORTED,PRECONDITION,exit_entropy,267,0.562,0.3839
ABORTED,INITIATION,demand,244,0.2615,0.9213
ABORTED,INITIATION,breadth,267,0.5079,0.2671
ABORTED,INITIATION,dispersion,261,0.1906,0.2773
ABORTED,INITIATION,forcing,244,-0.1037,0.8433
ABORTED,INITIATION,concentration,267,0.7101,0.0446
ABORTED,INITIATION,rank_depth,249,-0.0289,0.0498
ABORTED,INITIATION,exit_entropy,267,0.7011,0.4924
ABORTED,COMMITMENT,demand,266,0.1246,0.7086
ABORTED,COMMITMENT,breadth,267,0.4595,0.1524
ABORTED,COMMITMENT,dispersion,267,0.2645,1.0456
ABORTED,COMMITMENT,forcing,265,-0.0392,0.9264
ABORTED,COMMITMENT,concentration,267,0.7115,0.045
ABORTED,COMMITMENT,rank_depth,266,-0.0291,0.0479
ABORTED,COMMITMENT,exit_entropy,267,0.6011,0.4622
ABORTED,EARLY_SURVIVAL,demand,266,0.0195,0.6592
ABORTED,EARLY_SURVIVAL,breadth,267,0.4579,0.1304
ABORTED,EARLY_SURVIVAL,dispersion,266,0.2576,0.9877
ABORTED,EARLY_SURVIVAL,forcing,265,-0.091,1.0085
ABORTED,EARLY_SURVIVAL,concentration,267,0.7114,0.0448
ABORTED,EARLY_SURVIVAL,rank_depth,267,-0.032,0.0551
ABORTED,EARLY_SURVIVAL,exit_entropy,267,0.5047,0.4372
VIABLE,PRECONDITION,demand,213,0.0728,0.5944
VIABLE,PRECONDITION,breadth,219,0.4614,0.0937
VIABLE,PRECONDITION,dispersion,219,0.4708,1.9944
VIABLE,PRECONDITION,forcing,211,-0.0186,1.0679
VIABLE,PRECONDITION,concentration,219,0.7058,0.0477
VIABLE,PRECONDITION,rank_depth,213,-0.0362,0.0575
VIABLE,PRECONDITION,exit_entropy,219,0.6774,0.3745
VIABLE,INITIATION,demand,207,-0.0939,1.0255
VIABLE,INITIATION,breadth,219,0.4084,0.2632
VIABLE,INITIATION,dispersion,215,0.4124,3.085
VIABLE,INITIATION,forcing,206,-0.0239,1.267
VIABLE,INITIATION,concentration,219,0.7058,0.0484
VIABLE,INITIATION,rank_depth,211,-0.0362,0.0619
VIABLE,INITIATION,exit_entropy,219,0.1516,0.3565
VIABLE,COMMITMENT,demand,214,-0.0552,0.6827
VIABLE,COMMITMENT,breadth,219,0.4478,0.139
VIABLE,COMMITMENT,dispersion,218,0.2645,1.0333
VIABLE,COMMITMENT,forcing,214,-0.0664,1.3841
VIABLE,COMMITMENT,concentration,219,0.7062,0.0492
VIABLE,COMMITMENT,rank_depth,215,-0.035,0.0576
VIABLE,COMMITMENT,exit_entropy,219,0.2678,0.3856
VIABLE,EARLY_SURVIVAL,demand,217,-0.0267,0.6552
VIABLE,EARLY_SURVIVAL,breadth,219,0.4503,0.1282
VIABLE,EARLY_SURVIVAL,dispersion,219,0.268,0.791
VIABLE,EARLY_SURVIVAL,forcing,216,-0.1619,1.1532
VIABLE,EARLY_SURVIVAL,concentration,219,0.7062,0.0497
VIABLE,EARLY_SURVIVAL,rank_depth,217,-0.0391,0.0627
VIABLE,EARLY_SURVIVAL,exit_entropy,219,0.327,0.4085
