patch,conditioning,subperiod,thr50,band_width
26-100,SUBPERIOD,2020-2021,1.605,35.863
26-100,SUBPERIOD,2022,3.098,61.794
26-100,SUBPERIOD,2023,0.077,9.732
26-100,SUBPERIOD,2024,1.216,17.041
26-100,SUBPERIOD,2025-2026,0.297,7.602
101-250,SUBPERIOD,2020-2021,2.883,34.126
101-250,SUBPERIOD,2022,1.827,31.785
101-250,SUBPERIOD,2023,0.023,9.878
101-250,SUBPERIOD,2024,1.518,19.429
101-250,SUBPERIOD,2025-2026,0.171,6.931
251-500,SUBPERIOD,2020-2021,3.03,30.16
251-500,SUBPERIOD,2022,4.834,51.996
251-500,SUBPERIOD,2023,0.168,10.435
251-500,SUBPERIOD,2024,0.967,14.925
251-500,SUBPERIOD,2025-2026,0.373,7.181
501-750,SUBPERIOD,2020-2021,3.528,23.808
501-750,SUBPERIOD,2022,3.281,33.723
501-750,SUBPERIOD,2023,0.545,8.071
501-750,SUBPERIOD,2024,1.526,14.178
501-750,SUBPERIOD,2025-2026,0.69,8.47
751-1000,SUBPERIOD,2020-2021,3.046,21.08
751-1000,SUBPERIOD,2022,2.168,19.224
751-1000,SUBPERIOD,2023,0.692,6.143
751-1000,SUBPERIOD,2024,1.613,11.459
751-1000,SUBPERIOD,2025-2026,0.686,6.916
1001-1500,SUBPERIOD,2020-2021,2.887,21.201
1001-1500,SUBPERIOD,2022,2.739,26.863
1001-1500,SUBPERIOD,2023,0.687,7.304
1001-1500,SUBPERIOD,2024,2.258,12.944
1001-1500,SUBPERIOD,2025-2026,1.562,9.719
1501-2000,SUBPERIOD,2020-2021,2.052,20.281
1501-2000,SUBPERIOD,2022,1.903,30.559
1501-2000,SUBPERIOD,2023,0.538,7.282
1501-2000,SUBPERIOD,2024,2.141,10.261
1501-2000,SUBPERIOD,2025-2026,1.435,6.927
